segment,factors,factor1,factor2,n_bins,n_bets,mean_roi,std_roi,clb,pass
SURFACE_2_芝_OP重賞,omo_tekisei_code+kishu_kitai_rentai_decile,omo_tekisei_code,kishu_kitai_rentai_decile,28,15536,69.92,13.66,64.86,False
SURFACE_2_芝_OP重賞,ls_shisu_juni+chokyo_shisu_decile,ls_shisu_juni,chokyo_shisu_decile,52,14040,68.42,13.11,64.86,False
SURFACE_2_芝_OP重賞,chokyo_shisu_decile+manken_shisu_decile,chokyo_shisu_decile,manken_shisu_decile,54,13356,68.36,13.14,64.85,False
SURFACE_2_芝_OP重賞,omo_tekisei_code+ninki_shisu_decile,omo_tekisei_code,ninki_shisu_decile,27,15512,69.26,11.78,64.82,False
SURFACE_2_芝_OP重賞,kishu_shisu_decile+manken_shisu_decile,kishu_shisu_decile,manken_shisu_decile,52,13693,69.27,16.51,64.78,False
SURFACE_2_芝_OP重賞,idm_decile+kijun_ninkijun_tansho,idm_decile,kijun_ninkijun_tansho,25,13206,70.46,14.49,64.78,False
SURFACE_2_芝_OP重賞,umakigo_code+kishu_kitai_rentai_decile,umakigo_code,kishu_kitai_rentai_decile,12,14884,70.83,10.73,64.76,False
SURFACE_2_芝_OP重賞,da_tekisei_code+kyori_tekisei,da_tekisei_code,kyori_tekisei,7,2824,70.41,7.65,64.74,False
SURFACE_2_芝_OP重賞,rotation_bin+chokyo_shisu_decile,rotation_bin,chokyo_shisu_decile,48,14466,68.43,13.04,64.74,False
SURFACE_2_芝_OP重賞,agari_shisu_juni+kishu_kitai_tansho_decile,agari_shisu_juni,kishu_kitai_tansho_decile,66,10622,68.18,14.31,64.73,False
SURFACE_2_芝_OP重賞,uma_deokure_bin+chokyo_shisu_decile,uma_deokure_bin,chokyo_shisu_decile,47,15424,68.51,13.3,64.71,False
SURFACE_2_芝_OP重賞,tenkai_kigo_code+chokyo_shisu_decile,tenkai_kigo_code,chokyo_shisu_decile,38,15049,69.02,13.58,64.7,False
SURFACE_2_芝_OP重賞,kishu_kitai_tansho_decile+kishu_kitai_rentai_decile,kishu_kitai_tansho_decile,kishu_kitai_rentai_decile,20,15403,69.22,10.35,64.68,False
SURFACE_2_芝_OP重賞,rotation_bin+ninki_shisu_decile,rotation_bin,ninki_shisu_decile,42,14282,68.82,13.78,64.65,False
SURFACE_2_芝_OP重賞,pace_yoso+sogo_shisu_decile,pace_yoso,sogo_shisu_decile,12,15280,70.92,11.09,64.65,False
SURFACE_2_芝_OP重賞,idm_decile+kishu_shisu_decile,idm_decile,kishu_shisu_decile,25,14450,69.72,13.0,64.62,False
SURFACE_2_芝_OP重賞,bataiju+kyori_tekisei_2,bataiju,kyori_tekisei_2,15,1854,71.97,14.55,64.61,False
SURFACE_2_芝_OP重賞,kyuyo_riyu_bunrui_code+kyusha_shisu_decile,kyuyo_riyu_bunrui_code,kyusha_shisu_decile,10,4415,69.99,8.68,64.61,False
SURFACE_2_芝_OP重賞,sogo_shisu_decile+manken_shisu_decile,sogo_shisu_decile,manken_shisu_decile,22,14203,69.86,12.58,64.6,False
SURFACE_2_芝_OP重賞,rotation_bin+kijun_ninkijun_tansho,rotation_bin,kijun_ninkijun_tansho,56,12957,68.56,15.33,64.55,False
SURFACE_2_芝_OP重賞,joho_shisu_decile+manken_shisu_decile,joho_shisu_decile,manken_shisu_decile,37,14582,69.66,15.92,64.54,False
SURFACE_2_芝_OP重賞,uma_deokure_bin+ninki_shisu_decile,uma_deokure_bin,ninki_shisu_decile,43,15380,69.06,15.2,64.52,False
SURFACE_2_芝_OP重賞,kishu_kitai_tansho_decile+kishu_kitai_sanchakunai_ritsu,kishu_kitai_tansho_decile,kishu_kitai_sanchakunai_ritsu,31,5006,68.68,11.82,64.52,False
SURFACE_2_芝_OP重賞,uma_start_shisu_decile+sogo_shisu_decile,uma_start_shisu_decile,sogo_shisu_decile,22,14708,69.29,11.45,64.5,False
SURFACE_2_芝_OP重賞,kyakushitsu+chokyo_shisu_decile,kyakushitsu,chokyo_shisu_decile,40,15766,68.02,11.38,64.49,False
SURFACE_2_芝_OP重賞,idm_decile+sogo_shisu_decile,idm_decile,sogo_shisu_decile,11,15310,70.33,9.92,64.47,False
SURFACE_2_芝_OP重賞,uma_start_shisu_decile+chokyo_shisu_decile,uma_start_shisu_decile,chokyo_shisu_decile,59,14297,68.3,15.02,64.46,False
SURFACE_2_芝_OP重賞,kyusha_shisu_decile+ninki_shisu_decile,kyusha_shisu_decile,ninki_shisu_decile,48,14259,67.93,12.53,64.38,False
SURFACE_2_芝_OP重賞,kishu_kitai_rentai_decile+shiba_tekisei_code,kishu_kitai_rentai_decile,shiba_tekisei_code,19,15093,69.23,10.82,64.36,False
SURFACE_2_芝_OP重賞,pace_yoso+ninki_shisu_decile,pace_yoso,ninki_shisu_decile,19,15169,70.42,13.58,64.32,False
SURFACE_2_芝_OP重賞,kyusha_hyoka_code+ninki_shisu_decile,kyusha_hyoka_code,ninki_shisu_decile,15,15432,70.02,11.3,64.3,False
SURFACE_2_芝_OP重賞,kyori_tekisei+chokyo_shisu_decile,kyori_tekisei,chokyo_shisu_decile,30,15048,67.97,10.88,64.08,False
SURFACE_2_芝_OP重賞,kishu_kitai_tansho_decile+kyusha_shisu_decile,kishu_kitai_tansho_decile,kyusha_shisu_decile,45,13663,68.27,14.37,64.07,False
SURFACE_2_芝_OP重賞,kyusha_shisu_decile+sogo_shisu_decile,kyusha_shisu_decile,sogo_shisu_decile,26,14440,68.26,10.97,64.04,False
SURFACE_2_芝_OP重賞,kijun_ninkijun_tansho+chokyo_shisu_decile,kijun_ninkijun_tansho,chokyo_shisu_decile,51,12430,68.95,18.01,64.01,False
SURFACE_2_芝_OP重賞,idm_decile+chokyo_shisu_decile,idm_decile,chokyo_shisu_decile,25,14447,68.52,11.53,64.0,False
SURFACE_2_芝_OP重賞,kyori_kubun+ninki_shisu_decile,kyori_kubun,ninki_shisu_decile,35,15525,68.23,12.76,64.0,False
SURFACE_2_芝_OP重賞,kishu_shisu_decile+kyusha_shisu_decile,kishu_shisu_decile,kyusha_shisu_decile,53,14287,68.59,17.19,63.97,False
SURFACE_2_芝_OP重賞,kyusha_hyoka_code+sogo_shisu_decile,kyusha_hyoka_code,sogo_shisu_decile,10,15444,70.21,10.13,63.93,False
SURFACE_2_芝_OP重賞,kyakushitsu+ninki_shisu_decile,kyakushitsu,ninki_shisu_decile,35,15499,68.58,14.13,63.9,False
SURFACE_2_芝_OP重賞,bataiju+hizume_code,bataiju,hizume_code,22,2479,69.11,12.54,63.87,False
SURFACE_2_芝_OP重賞,kyusha_hyoka_code+manken_shisu_decile,kyusha_hyoka_code,manken_shisu_decile,16,15085,70.55,13.64,63.87,False
SURFACE_2_芝_OP重賞,kyuyo_riyu_bunrui_code+kishu_kitai_tansho_decile,kyuyo_riyu_bunrui_code,kishu_kitai_tansho_decile,10,4415,70.79,11.23,63.82,False
SURFACE_2_芝_OP重賞,kyusha_shisu_decile+shiba_tekisei_code,kyusha_shisu_decile,shiba_tekisei_code,20,15159,68.72,11.34,63.75,False
SURFACE_2_芝_OP重賞,kishu_kitai_sanchakunai_ritsu+shiba_tekisei_code,kishu_kitai_sanchakunai_ritsu,shiba_tekisei_code,21,3311,68.94,12.29,63.69,False
SURFACE_2_芝_OP重賞,kyori_tekisei_2+kishu_shisu_decile,kyori_tekisei_2,kishu_shisu_decile,28,7647,68.33,12.61,63.66,False
SURFACE_2_芝_OP重賞,manken_shirushi+ichi_shisu_juni,manken_shirushi,ichi_shisu_juni,7,729,73.89,13.82,63.66,False
