segment,factors,bin_label,n,win_roi,place_roi,confidence
SURFACE_2_ダ,pace_yoso+prev1_corner4_bin+barei,H|7-9|3,2116,89.4,77.8,0.917
SURFACE_2_ダ,pace_yoso+prev1_corner4_bin+barei,H|7-9|4,1274,101.0,86.6,0.872
SURFACE_2_ダ,pace_yoso+prev1_corner4_bin+barei,H|7-9|5,715,56.7,75.3,0.801
SURFACE_2_ダ,pace_yoso+prev1_corner4_bin+barei,H|7-9|6,284,102.8,79.3,0.644
SURFACE_2_ダ,pace_yoso+prev1_corner4_bin+barei,H|7-9|7,90,66.9,80.8,0.429
SURFACE_2_ダ,pace_yoso+prev1_corner4_bin+barei,M|1-3|2,367,83.8,67.1,0.692
SURFACE_2_ダ,pace_yoso+prev1_corner4_bin+barei,M|1-3|3,1584,80.7,76.8,0.894
SURFACE_2_ダ,pace_yoso+prev1_corner4_bin+barei,M|1-3|4,287,165.9,82.6,0.646
SURFACE_2_ダ,pace_yoso+prev1_corner4_bin+barei,M|1-3|5,119,83.4,47.4,0.479
SURFACE_2_ダ,pace_yoso+prev1_corner4_bin+barei,M|10+|2,169,29.2,75.1,0.545
SURFACE_2_ダ,pace_yoso+prev1_corner4_bin+barei,M|10+|3,1066,63.2,71.0,0.853
SURFACE_2_ダ,pace_yoso+prev1_corner4_bin+barei,M|10+|4,168,22.2,92.0,0.544
SURFACE_2_ダ,pace_yoso+prev1_corner4_bin+barei,M|10+|5,134,154.5,60.6,0.501
SURFACE_2_ダ,pace_yoso+prev1_corner4_bin+barei,M|10+|6,61,7.9,19.3,0.364
SURFACE_2_ダ,pace_yoso+prev1_corner4_bin+barei,M|4-6|2,307,59.3,97.8,0.659
SURFACE_2_ダ,pace_yoso+prev1_corner4_bin+barei,M|4-6|3,1254,68.1,82.7,0.871
SURFACE_2_ダ,pace_yoso+prev1_corner4_bin+barei,M|4-6|4,215,70.0,88.1,0.591
SURFACE_2_ダ,pace_yoso+prev1_corner4_bin+barei,M|4-6|5,115,138.2,99.6,0.473
SURFACE_2_ダ,pace_yoso+prev1_corner4_bin+barei,M|4-6|6,41,3.7,74.0,0.305
SURFACE_2_ダ,pace_yoso+prev1_corner4_bin+barei,M|7-9|2,207,54.9,63.3,0.584
SURFACE_2_ダ,pace_yoso+prev1_corner4_bin+barei,M|7-9|3,976,79.2,94.0,0.842
SURFACE_2_ダ,pace_yoso+prev1_corner4_bin+barei,M|7-9|4,201,168.9,90.9,0.578
SURFACE_2_ダ,pace_yoso+prev1_corner4_bin+barei,M|7-9|5,92,28.4,95.7,0.432
SURFACE_2_ダ,pace_yoso+prev1_corner4_bin+barei,M|7-9|6,43,22.2,55.7,0.312
SURFACE_2_ダ,pace_yoso+prev1_corner4_bin+barei,S|1-3|2,131,59.0,60.7,0.497
SURFACE_2_ダ,pace_yoso+prev1_corner4_bin+barei,S|1-3|3,98,58.9,69.1,0.444
SURFACE_2_ダ,pace_yoso+prev1_corner4_bin+barei,S|10+|2,96,92.1,52.5,0.44
SURFACE_2_ダ,pace_yoso+prev1_corner4_bin+barei,S|10+|3,76,125.1,98.0,0.4
SURFACE_2_ダ,pace_yoso+prev1_corner4_bin+barei,S|4-6|2,108,119.0,109.1,0.461
SURFACE_2_ダ,pace_yoso+prev1_corner4_bin+barei,S|4-6|3,103,47.9,77.0,0.453
SURFACE_2_ダ,pace_yoso+prev1_corner4_bin+barei,S|7-9|2,94,231.2,103.5,0.436
SURFACE_2_ダ,pace_yoso+prev1_corner4_bin+barei,S|7-9|3,69,116.6,123.3,0.384
