segment,factors,bin_label,n,win_roi,place_roi,confidence
GLOBAL,yuso_kubun+chokyoshimei,1|杉山晴紀,86,87.1,61.9,0.421
GLOBAL,yuso_kubun+chokyoshimei,1|杉浦宏昭,122,228.2,144.4,0.483
GLOBAL,yuso_kubun+chokyoshimei,1|村山明,55,41.8,68.8,0.348
GLOBAL,yuso_kubun+chokyoshimei,1|松下武士,67,49.9,149.5,0.379
GLOBAL,yuso_kubun+chokyoshimei,1|松山将樹,62,109.0,84.2,0.366
GLOBAL,yuso_kubun+chokyoshimei,1|松永幹夫,103,195.8,76.1,0.453
GLOBAL,yuso_kubun+chokyoshimei,1|松永康利,56,47.5,97.3,0.35
GLOBAL,yuso_kubun+chokyoshimei,1|松永昌博,48,47.9,103.5,0.327
GLOBAL,yuso_kubun+chokyoshimei,1|松田国英,37,45.0,164.2,0.291
GLOBAL,yuso_kubun+chokyoshimei,1|林徹,47,8.9,38.8,0.324
GLOBAL,yuso_kubun+chokyoshimei,1|栗田博憲,33,57.3,73.9,0.276
GLOBAL,yuso_kubun+chokyoshimei,1|栗田徹,107,82.8,52.5,0.459
GLOBAL,yuso_kubun+chokyoshimei,1|根本康広,74,99.1,40.9,0.395
GLOBAL,yuso_kubun+chokyoshimei,1|梅田智之,79,115.6,82.9,0.406
GLOBAL,yuso_kubun+chokyoshimei,1|森田直行,59,86.7,73.7,0.359
GLOBAL,yuso_kubun+chokyoshimei,1|森秀行,50,26.7,56.8,0.333
GLOBAL,yuso_kubun+chokyoshimei,1|橋口慎介,76,87.7,89.7,0.4
GLOBAL,yuso_kubun+chokyoshimei,1|橋田満,54,139.3,93.7,0.345
GLOBAL,yuso_kubun+chokyoshimei,1|武井亮,96,101.0,68.3,0.44
GLOBAL,yuso_kubun+chokyoshimei,1|武市康男,66,50.0,33.5,0.376
GLOBAL,yuso_kubun+chokyoshimei,1|武幸四郎,130,103.4,91.0,0.495
GLOBAL,yuso_kubun+chokyoshimei,1|武英智,125,86.5,97.1,0.488
GLOBAL,yuso_kubun+chokyoshimei,1|武藤善則,100,72.6,57.0,0.447
GLOBAL,yuso_kubun+chokyoshimei,1|水野貴広,76,20.8,38.9,0.4
GLOBAL,yuso_kubun+chokyoshimei,1|池上昌和,86,124.4,92.2,0.421
GLOBAL,yuso_kubun+chokyoshimei,1|池江泰寿,93,106.7,86.8,0.434
GLOBAL,yuso_kubun+chokyoshimei,1|池添兼雄,119,93.3,74.3,0.479
GLOBAL,yuso_kubun+chokyoshimei,1|池添学,95,63.6,55.4,0.438
GLOBAL,yuso_kubun+chokyoshimei,1|河内洋,43,43.2,124.7,0.312
GLOBAL,yuso_kubun+chokyoshimei,1|浅見秀一,98,138.2,62.9,0.444
GLOBAL,yuso_kubun+chokyoshimei,1|浅野洋一郎,39,207.4,82.9,0.298
GLOBAL,yuso_kubun+chokyoshimei,1|浜田多実雄,103,126.2,61.4,0.453
GLOBAL,yuso_kubun+chokyoshimei,1|深山雅史,43,60.1,95.2,0.312
GLOBAL,yuso_kubun+chokyoshimei,1|清水久詞,105,189.4,79.9,0.456
GLOBAL,yuso_kubun+chokyoshimei,1|清水英克,94,133.4,105.8,0.436
GLOBAL,yuso_kubun+chokyoshimei,1|渡辺薫彦,60,9.1,43.2,0.361
GLOBAL,yuso_kubun+chokyoshimei,1|牧光二,74,95.7,107.5,0.395
GLOBAL,yuso_kubun+chokyoshimei,1|牧浦充徳,100,69.9,85.5,0.447
GLOBAL,yuso_kubun+chokyoshimei,1|牧田和弥,98,60.3,86.6,0.444
GLOBAL,yuso_kubun+chokyoshimei,1|田中克典,54,133.5,101.8,0.345
GLOBAL,yuso_kubun+chokyoshimei,1|田中剛,82,33.0,97.1,0.412
GLOBAL,yuso_kubun+chokyoshimei,1|田中博康,79,100.8,76.5,0.406
GLOBAL,yuso_kubun+chokyoshimei,1|田中清隆,46,22.6,61.8,0.321
GLOBAL,yuso_kubun+chokyoshimei,1|田島俊明,65,38.8,61.0,0.374
GLOBAL,yuso_kubun+chokyoshimei,1|田所秀孝,42,30.9,76.4,0.308
GLOBAL,yuso_kubun+chokyoshimei,1|田村康仁,117,57.8,61.3,0.476
GLOBAL,yuso_kubun+chokyoshimei,1|畠山吉宏,76,66.2,109.8,0.4
GLOBAL,yuso_kubun+chokyoshimei,1|的場均,53,32.3,69.6,0.342
GLOBAL,yuso_kubun+chokyoshimei,1|相沢郁,84,16.8,38.5,0.417
GLOBAL,yuso_kubun+chokyoshimei,1|矢作芳人,283,110.8,88.6,0.644
GLOBAL,yuso_kubun+chokyoshimei,1|矢野英一,81,112.5,58.1,0.41
GLOBAL,yuso_kubun+chokyoshimei,1|石坂公一,67,40.0,92.0,0.379
GLOBAL,yuso_kubun+chokyoshimei,1|石栗龍彦,66,33.8,69.8,0.376
GLOBAL,yuso_kubun+chokyoshimei,1|石橋守,58,36.9,32.3,0.356
GLOBAL,yuso_kubun+chokyoshimei,1|石毛善彦,45,26.2,96.7,0.318
GLOBAL,yuso_kubun+chokyoshimei,1|竹内正洋,79,42.4,57.8,0.406
GLOBAL,yuso_kubun+chokyoshimei,1|笹田和秀,40,61.6,76.4,0.302
GLOBAL,yuso_kubun+chokyoshimei,1|粕谷昌央,55,164.9,62.4,0.348
GLOBAL,yuso_kubun+chokyoshimei,1|羽月友彦,115,100.3,70.9,0.473
GLOBAL,yuso_kubun+chokyoshimei,1|茶木太樹,32,52.7,87.3,0.272
GLOBAL,yuso_kubun+chokyoshimei,1|荒川義之,76,18.9,78.4,0.4
GLOBAL,yuso_kubun+chokyoshimei,1|菊川正達,82,185.3,111.2,0.412
GLOBAL,yuso_kubun+chokyoshimei,1|菊沢隆徳,82,45.1,48.2,0.412
GLOBAL,yuso_kubun+chokyoshimei,1|萩原清,97,147.1,104.4,0.442
