segment,factors,bin_label,n,win_roi,place_roi,confidence
SURFACE_2_ダ,babajotai_heavy+kishumei,稍重|三浦皇成,101,132.7,129.2,0.449
SURFACE_2_ダ,babajotai_heavy+kishumei,稍重|川又賢治,44,100.4,50.8,0.315
SURFACE_2_ダ,babajotai_heavy+kishumei,稍重|川須栄彦,30,54.6,43.9,0.264
SURFACE_2_ダ,babajotai_heavy+kishumei,稍重|戸崎圭太,129,107.0,61.3,0.494
SURFACE_2_ダ,babajotai_heavy+kishumei,稍重|斎藤新,92,95.1,112.4,0.432
SURFACE_2_ダ,babajotai_heavy+kishumei,稍重|木幡初也,55,29.4,27.3,0.348
SURFACE_2_ダ,babajotai_heavy+kishumei,稍重|木幡巧也,116,71.1,64.1,0.474
SURFACE_2_ダ,babajotai_heavy+kishumei,稍重|木幡育也,38,37.1,76.6,0.295
SURFACE_2_ダ,babajotai_heavy+kishumei,稍重|松岡正海,59,14.9,80.1,0.359
SURFACE_2_ダ,babajotai_heavy+kishumei,稍重|松本大輝,39,231.5,102.3,0.298
SURFACE_2_ダ,babajotai_heavy+kishumei,稍重|柴山雄一,67,61.7,52.8,0.379
SURFACE_2_ダ,babajotai_heavy+kishumei,稍重|柴田善臣,58,29.2,90.1,0.356
SURFACE_2_ダ,babajotai_heavy+kishumei,稍重|柴田大知,95,96.1,47.1,0.438
SURFACE_2_ダ,babajotai_heavy+kishumei,稍重|柴田裕一郎,31,244.5,79.4,0.268
SURFACE_2_ダ,babajotai_heavy+kishumei,稍重|横山典弘,75,94.0,86.5,0.397
SURFACE_2_ダ,babajotai_heavy+kishumei,稍重|横山和生,73,175.9,106.3,0.393
SURFACE_2_ダ,babajotai_heavy+kishumei,稍重|横山武史,122,107.1,83.7,0.483
SURFACE_2_ダ,babajotai_heavy+kishumei,稍重|横山琉人,67,206.2,85.1,0.379
SURFACE_2_ダ,babajotai_heavy+kishumei,稍重|武士沢友治,37,121.0,35.9,0.291
SURFACE_2_ダ,babajotai_heavy+kishumei,稍重|武藤雅,75,72.4,87.7,0.397
SURFACE_2_ダ,babajotai_heavy+kishumei,稍重|武豊,42,26.3,56.3,0.308
SURFACE_2_ダ,babajotai_heavy+kishumei,稍重|永島まなみ,48,44.7,106.4,0.327
SURFACE_2_ダ,babajotai_heavy+kishumei,稍重|江田照男,56,0.0,29.7,0.35
SURFACE_2_ダ,babajotai_heavy+kishumei,稍重|池添謙一,60,55.8,58.3,0.361
SURFACE_2_ダ,babajotai_heavy+kishumei,稍重|泉谷楓真,40,83.9,70.4,0.302
SURFACE_2_ダ,babajotai_heavy+kishumei,稍重|津村明秀,112,49.5,59.8,0.468
SURFACE_2_ダ,babajotai_heavy+kishumei,稍重|田中勝春,46,119.3,103.5,0.321
SURFACE_2_ダ,babajotai_heavy+kishumei,稍重|田辺裕信,82,98.0,78.5,0.412
SURFACE_2_ダ,babajotai_heavy+kishumei,稍重|石川裕紀人,79,98.1,57.1,0.406
SURFACE_2_ダ,babajotai_heavy+kishumei,稍重|石橋脩,98,125.8,120.4,0.444
SURFACE_2_ダ,babajotai_heavy+kishumei,稍重|秋山稔樹,45,53.6,75.1,0.318
SURFACE_2_ダ,babajotai_heavy+kishumei,稍重|荻野極,62,76.9,49.3,0.366
SURFACE_2_ダ,babajotai_heavy+kishumei,稍重|菅原明良,82,146.9,94.3,0.412
SURFACE_2_ダ,babajotai_heavy+kishumei,稍重|菊沢一樹,128,32.7,87.0,0.492
SURFACE_2_ダ,babajotai_heavy+kishumei,稍重|菱田裕二,100,111.5,81.9,0.447
SURFACE_2_ダ,babajotai_heavy+kishumei,稍重|藤岡佑介,52,79.6,79.8,0.339
SURFACE_2_ダ,babajotai_heavy+kishumei,稍重|藤岡康太,36,64.8,37.4,0.287
SURFACE_2_ダ,babajotai_heavy+kishumei,稍重|藤田菜七子,117,28.0,63.0,0.476
SURFACE_2_ダ,babajotai_heavy+kishumei,稍重|蛯名正義,38,0.0,49.2,0.295
SURFACE_2_ダ,babajotai_heavy+kishumei,稍重|西村淳也,61,159.9,123.0,0.364
SURFACE_2_ダ,babajotai_heavy+kishumei,稍重|角田大和,45,72.8,82.3,0.318
SURFACE_2_ダ,babajotai_heavy+kishumei,稍重|野中悠太郎,68,54.5,19.7,0.381
SURFACE_2_ダ,babajotai_heavy+kishumei,稍重|長岡禎仁,37,111.0,129.3,0.291
SURFACE_2_ダ,babajotai_heavy+kishumei,稍重|長浜鴻緒,37,85.0,48.0,0.291
SURFACE_2_ダ,babajotai_heavy+kishumei,稍重|鮫島克駿,90,31.3,76.0,0.429
SURFACE_2_ダ,babajotai_heavy+kishumei,稍重|黛弘人,64,30.8,40.4,0.371
SURFACE_2_ダ,babajotai_heavy+kishumei,稍重|Ｃ．ルメール,66,55.3,82.3,0.376
SURFACE_2_ダ,babajotai_heavy+kishumei,稍重|Ｍ．デムーロ,34,169.1,109.7,0.28
SURFACE_2_ダ,babajotai_heavy+kishumei,良|三浦皇成,360,54.3,73.8,0.688
SURFACE_2_ダ,babajotai_heavy+kishumei,良|中井裕二,122,175.4,103.7,0.483
SURFACE_2_ダ,babajotai_heavy+kishumei,良|中谷雄太,42,69.5,153.4,0.308
SURFACE_2_ダ,babajotai_heavy+kishumei,良|丸山元気,470,65.2,80.7,0.735
SURFACE_2_ダ,babajotai_heavy+kishumei,良|丸田恭介,278,59.2,61.4,0.64
SURFACE_2_ダ,babajotai_heavy+kishumei,良|丹内祐次,677,57.5,78.9,0.793
SURFACE_2_ダ,babajotai_heavy+kishumei,良|亀田温心,244,92.2,89.4,0.616
SURFACE_2_ダ,babajotai_heavy+kishumei,良|井上敏樹,121,124.2,109.6,0.482
SURFACE_2_ダ,babajotai_heavy+kishumei,良|今村聖奈,91,96.2,88.0,0.431
SURFACE_2_ダ,babajotai_heavy+kishumei,良|伊藤工真,61,57.8,46.2,0.364
SURFACE_2_ダ,babajotai_heavy+kishumei,良|伴啓太,76,9.4,90.8,0.4
SURFACE_2_ダ,babajotai_heavy+kishumei,良|佐々木大輔,232,78.3,83.8,0.606
SURFACE_2_ダ,babajotai_heavy+kishumei,良|内田博幸,473,101.6,63.8,0.736
SURFACE_2_ダ,babajotai_heavy+kishumei,良|加藤祥太,163,88.6,82.8,0.538
SURFACE_2_ダ,babajotai_heavy+kishumei,良|勝浦正樹,390,31.3,84.2,0.703
SURFACE_2_ダ,babajotai_heavy+kishumei,良|北村友一,152,78.4,88.6,0.525
SURFACE_2_ダ,babajotai_heavy+kishumei,良|北村宏司,223,76.7,73.4,0.598
SURFACE_2_ダ,babajotai_heavy+kishumei,良|原優介,205,24.0,66.2,0.582
SURFACE_2_ダ,babajotai_heavy+kishumei,良|原田和真,92,58.1,43.7,0.432
SURFACE_2_ダ,babajotai_heavy+kishumei,良|古川吉洋,246,70.7,57.0,0.617
SURFACE_2_ダ,babajotai_heavy+kishumei,良|古川奈穂,124,105.6,62.9,0.486
SURFACE_2_ダ,babajotai_heavy+kishumei,良|吉田豊,260,97.5,68.6,0.628
SURFACE_2_ダ,babajotai_heavy+kishumei,良|吉田隼人,483,103.0,97.2,0.74
SURFACE_2_ダ,babajotai_heavy+kishumei,良|和田竜二,86,15.7,76.4,0.421
SURFACE_2_ダ,babajotai_heavy+kishumei,良|和田翼,41,0.0,23.8,0.305
SURFACE_2_ダ,babajotai_heavy+kishumei,良|嘉藤貴行,86,77.3,128.3,0.421
SURFACE_2_ダ,babajotai_heavy+kishumei,良|四位洋文,33,40.5,73.9,0.276
SURFACE_2_ダ,babajotai_heavy+kishumei,良|団野大成,198,57.2,94.8,0.575
SURFACE_2_ダ,babajotai_heavy+kishumei,良|国分恭介,110,98.8,147.5,0.464
SURFACE_2_ダ,babajotai_heavy+kishumei,良|坂井瑠星,215,91.3,86.6,0.591
SURFACE_2_ダ,babajotai_heavy+kishumei,良|城戸義政,115,118.8,129.4,0.473
SURFACE_2_ダ,babajotai_heavy+kishumei,良|大野拓弥,453,32.1,65.7,0.729
SURFACE_2_ダ,babajotai_heavy+kishumei,良|太宰啓介,35,2.2,94.6,0.284
SURFACE_2_ダ,babajotai_heavy+kishumei,良|宮崎北斗,83,117.4,98.1,0.415
SURFACE_2_ダ,babajotai_heavy+kishumei,良|富田暁,259,113.2,74.8,0.627
SURFACE_2_ダ,babajotai_heavy+kishumei,良|小崎綾也,102,108.8,67.9,0.451
SURFACE_2_ダ,babajotai_heavy+kishumei,良|小林凌大,177,100.1,89.7,0.554
SURFACE_2_ダ,babajotai_heavy+kishumei,良|小林勝太,110,272.2,149.9,0.464
SURFACE_2_ダ,babajotai_heavy+kishumei,良|小林美駒,123,130.1,77.6,0.485
SURFACE_2_ダ,babajotai_heavy+kishumei,良|小林脩斗,112,27.9,77.4,0.468
SURFACE_2_ダ,babajotai_heavy+kishumei,良|小沢大仁,199,79.6,78.6,0.576
SURFACE_2_ダ,babajotai_heavy+kishumei,良|山田敬士,129,41.0,51.6,0.494
SURFACE_2_ダ,babajotai_heavy+kishumei,良|岩田康誠,263,66.6,69.8,0.63
SURFACE_2_ダ,babajotai_heavy+kishumei,良|岩田望来,97,66.9,67.6,0.442
SURFACE_2_ダ,babajotai_heavy+kishumei,良|嶋田純次,65,29.0,84.8,0.374
SURFACE_2_ダ,babajotai_heavy+kishumei,良|川又賢治,183,19.5,53.2,0.56
SURFACE_2_ダ,babajotai_heavy+kishumei,良|川島信二,46,153.3,43.7,0.321
SURFACE_2_ダ,babajotai_heavy+kishumei,良|川田将雅,61,87.2,84.5,0.364
SURFACE_2_ダ,babajotai_heavy+kishumei,良|川端海翼,50,30.7,34.1,0.333
SURFACE_2_ダ,babajotai_heavy+kishumei,良|川須栄彦,83,205.7,115.3,0.415
SURFACE_2_ダ,babajotai_heavy+kishumei,良|幸英明,54,27.8,81.2,0.345
SURFACE_2_ダ,babajotai_heavy+kishumei,良|戸崎圭太,469,74.7,83.8,0.735
SURFACE_2_ダ,babajotai_heavy+kishumei,良|斎藤新,318,99.4,85.5,0.666
SURFACE_2_ダ,babajotai_heavy+kishumei,良|木幡初也,199,124.8,88.3,0.576
SURFACE_2_ダ,babajotai_heavy+kishumei,良|木幡巧也,371,91.9,73.6,0.694
SURFACE_2_ダ,babajotai_heavy+kishumei,良|木幡育也,139,138.6,88.8,0.508
SURFACE_2_ダ,babajotai_heavy+kishumei,良|杉原誠人,150,117.6,73.3,0.522
SURFACE_2_ダ,babajotai_heavy+kishumei,良|村田一誠,38,56.9,45.3,0.295
SURFACE_2_ダ,babajotai_heavy+kishumei,良|松山弘平,70,50.4,104.3,0.386
SURFACE_2_ダ,babajotai_heavy+kishumei,良|松岡正海,262,51.2,63.9,0.629
SURFACE_2_ダ,babajotai_heavy+kishumei,良|松本大輝,132,59.7,88.1,0.498
SURFACE_2_ダ,babajotai_heavy+kishumei,良|松田大作,61,72.2,60.9,0.364
SURFACE_2_ダ,babajotai_heavy+kishumei,良|松若風馬,46,157.2,71.1,0.321
SURFACE_2_ダ,babajotai_heavy+kishumei,良|柴山雄一,249,78.2,63.6,0.619
SURFACE_2_ダ,babajotai_heavy+kishumei,良|柴田善臣,215,67.6,69.9,0.591
SURFACE_2_ダ,babajotai_heavy+kishumei,良|柴田大知,285,120.4,67.6,0.645
SURFACE_2_ダ,babajotai_heavy+kishumei,良|柴田裕一郎,43,28.1,58.5,0.312
SURFACE_2_ダ,babajotai_heavy+kishumei,良|森裕太朗,54,262.1,98.7,0.345
SURFACE_2_ダ,babajotai_heavy+kishumei,良|横山典弘,183,71.4,87.2,0.56
SURFACE_2_ダ,babajotai_heavy+kishumei,良|横山和生,310,108.0,102.6,0.661
SURFACE_2_ダ,babajotai_heavy+kishumei,良|横山武史,457,64.9,68.4,0.73
SURFACE_2_ダ,babajotai_heavy+kishumei,良|横山琉人,188,95.5,58.0,0.565
SURFACE_2_ダ,babajotai_heavy+kishumei,良|武士沢友治,113,92.4,85.3,0.469
SURFACE_2_ダ,babajotai_heavy+kishumei,良|武藤雅,288,49.2,66.6,0.647
SURFACE_2_ダ,babajotai_heavy+kishumei,良|武豊,185,114.3,94.0,0.562
SURFACE_2_ダ,babajotai_heavy+kishumei,良|水口優也,65,111.0,81.4,0.374
SURFACE_2_ダ,babajotai_heavy+kishumei,良|水沼元輝,33,0.0,64.9,0.276
SURFACE_2_ダ,babajotai_heavy+kishumei,良|永島まなみ,179,26.1,73.3,0.556
SURFACE_2_ダ,babajotai_heavy+kishumei,良|永野猛蔵,123,123.6,86.2,0.485
SURFACE_2_ダ,babajotai_heavy+kishumei,良|江田照男,216,57.5,46.2,0.592
SURFACE_2_ダ,babajotai_heavy+kishumei,良|池添謙一,206,83.8,85.7,0.583
SURFACE_2_ダ,babajotai_heavy+kishumei,良|泉谷楓真,113,124.5,94.2,0.469
SURFACE_2_ダ,babajotai_heavy+kishumei,良|津村明秀,418,78.7,87.5,0.715
SURFACE_2_ダ,babajotai_heavy+kishumei,良|浜中俊,72,86.0,83.8,0.391
SURFACE_2_ダ,babajotai_heavy+kishumei,良|田中勝春,178,66.7,112.3,0.555
SURFACE_2_ダ,babajotai_heavy+kishumei,良|田辺裕信,337,121.9,91.3,0.676
SURFACE_2_ダ,babajotai_heavy+kishumei,良|的場勇人,41,87.4,65.2,0.305
SURFACE_2_ダ,babajotai_heavy+kishumei,良|石川裕紀人,299,78.9,63.4,0.654
SURFACE_2_ダ,babajotai_heavy+kishumei,良|石橋脩,331,76.1,95.5,0.673
SURFACE_2_ダ,babajotai_heavy+kishumei,良|石田拓郎,78,102.6,48.7,0.404
SURFACE_2_ダ,babajotai_heavy+kishumei,良|石神深道,68,13.9,59.2,0.381
SURFACE_2_ダ,babajotai_heavy+kishumei,良|福永祐一,120,49.0,74.8,0.48
SURFACE_2_ダ,babajotai_heavy+kishumei,良|秋山真一郎,69,67.3,92.1,0.384
SURFACE_2_ダ,babajotai_heavy+kishumei,良|秋山稔樹,214,121.1,87.4,0.59
SURFACE_2_ダ,babajotai_heavy+kishumei,良|義英真,34,37.1,71.6,0.28
SURFACE_2_ダ,babajotai_heavy+kishumei,良|舟山瑠泉,48,21.7,89.6,0.327
SURFACE_2_ダ,babajotai_heavy+kishumei,良|荻野極,221,152.5,96.8,0.597
SURFACE_2_ダ,babajotai_heavy+kishumei,良|荻野琢真,95,184.9,110.5,0.438
SURFACE_2_ダ,babajotai_heavy+kishumei,良|菅原明良,335,65.8,69.0,0.675
SURFACE_2_ダ,babajotai_heavy+kishumei,良|菊沢一樹,476,56.6,86.3,0.737
SURFACE_2_ダ,babajotai_heavy+kishumei,良|菱田裕二,397,113.3,102.1,0.706
SURFACE_2_ダ,babajotai_heavy+kishumei,良|藤岡佑介,167,93.9,68.1,0.543
SURFACE_2_ダ,babajotai_heavy+kishumei,良|藤岡康太,137,68.0,66.4,0.505
SURFACE_2_ダ,babajotai_heavy+kishumei,良|藤懸貴志,85,68.3,84.4,0.419
SURFACE_2_ダ,babajotai_heavy+kishumei,良|藤田菜七子,391,70.9,72.5,0.703
SURFACE_2_ダ,babajotai_heavy+kishumei,良|蛯名正義,197,35.6,87.1,0.574
SURFACE_2_ダ,babajotai_heavy+kishumei,良|西塚洸二,91,103.1,82.6,0.431
SURFACE_2_ダ,babajotai_heavy+kishumei,良|西村太一,31,0.0,39.6,0.268
SURFACE_2_ダ,babajotai_heavy+kishumei,良|西村淳也,237,62.7,90.2,0.61
SURFACE_2_ダ,babajotai_heavy+kishumei,良|西田雄一郎,58,196.8,111.9,0.356
SURFACE_2_ダ,babajotai_heavy+kishumei,良|角田大和,168,47.4,58.3,0.544
SURFACE_2_ダ,babajotai_heavy+kishumei,良|角田大河,41,49.9,58.3,0.305
SURFACE_2_ダ,babajotai_heavy+kishumei,良|酒井学,50,26.0,44.0,0.333
SURFACE_2_ダ,babajotai_heavy+kishumei,良|野中悠太郎,193,71.8,54.3,0.57
SURFACE_2_ダ,babajotai_heavy+kishumei,良|長岡禎仁,115,130.5,129.8,0.473
SURFACE_2_ダ,babajotai_heavy+kishumei,良|長浜鴻緒,63,52.4,41.5,0.369
SURFACE_2_ダ,babajotai_heavy+kishumei,良|高杉吏麒,82,159.6,82.8,0.412
SURFACE_2_ダ,babajotai_heavy+kishumei,良|鮫島克駿,372,122.5,95.4,0.694
SURFACE_2_ダ,babajotai_heavy+kishumei,良|鮫島良太,31,64.2,60.7,0.268
SURFACE_2_ダ,babajotai_heavy+kishumei,良|鷲頭虎太,71,58.0,88.6,0.388
SURFACE_2_ダ,babajotai_heavy+kishumei,良|黛弘人,280,50.6,76.4,0.642
SURFACE_2_ダ,babajotai_heavy+kishumei,良|Ｃ．ルメール,299,54.3,69.5,0.654
SURFACE_2_ダ,babajotai_heavy+kishumei,良|Ｊ．モレイラ,45,108.6,119.8,0.318
SURFACE_2_ダ,babajotai_heavy+kishumei,良|Ｍ．デムーロ,140,98.5,98.4,0.509
SURFACE_2_ダ,babajotai_heavy+kishumei,重以上|三浦皇成,79,74.6,94.5,0.406
SURFACE_2_ダ,babajotai_heavy+kishumei,重以上|中井裕二,33,15.9,121.7,0.276
SURFACE_2_ダ,babajotai_heavy+kishumei,重以上|丸山元気,100,81.8,88.9,0.447
SURFACE_2_ダ,babajotai_heavy+kishumei,重以上|丸田恭介,60,44.5,92.8,0.361
SURFACE_2_ダ,babajotai_heavy+kishumei,重以上|丹内祐次,181,57.1,80.6,0.558
SURFACE_2_ダ,babajotai_heavy+kishumei,重以上|亀田温心,73,97.0,82.6,0.393
SURFACE_2_ダ,babajotai_heavy+kishumei,重以上|佐々木大輔,64,75.7,79.6,0.371
SURFACE_2_ダ,babajotai_heavy+kishumei,重以上|内田博幸,86,87.9,103.0,0.421
SURFACE_2_ダ,babajotai_heavy+kishumei,重以上|加藤祥太,51,9.1,47.0,0.336
SURFACE_2_ダ,babajotai_heavy+kishumei,重以上|勝浦正樹,106,78.5,85.7,0.458
SURFACE_2_ダ,babajotai_heavy+kishumei,重以上|北村友一,67,145.8,65.7,0.379
SURFACE_2_ダ,babajotai_heavy+kishumei,重以上|北村宏司,34,235.3,117.3,0.28
SURFACE_2_ダ,babajotai_heavy+kishumei,重以上|原優介,36,0.0,23.9,0.287
SURFACE_2_ダ,babajotai_heavy+kishumei,重以上|古川吉洋,66,18.6,81.5,0.376
SURFACE_2_ダ,babajotai_heavy+kishumei,重以上|吉田豊,37,5.0,63.6,0.291
SURFACE_2_ダ,babajotai_heavy+kishumei,重以上|吉田隼人,119,76.2,69.1,0.479
SURFACE_2_ダ,babajotai_heavy+kishumei,重以上|団野大成,48,43.9,49.0,0.327
SURFACE_2_ダ,babajotai_heavy+kishumei,重以上|坂井瑠星,62,22.1,78.4,0.366
SURFACE_2_ダ,babajotai_heavy+kishumei,重以上|大野拓弥,68,80.0,116.4,0.381
SURFACE_2_ダ,babajotai_heavy+kishumei,重以上|富田暁,42,0.0,37.2,0.308
SURFACE_2_ダ,babajotai_heavy+kishumei,重以上|小崎綾也,30,44.7,70.5,0.264
SURFACE_2_ダ,babajotai_heavy+kishumei,重以上|小林凌大,36,20.0,30.0,0.287
SURFACE_2_ダ,babajotai_heavy+kishumei,重以上|小林勝太,33,0.0,33.2,0.276
SURFACE_2_ダ,babajotai_heavy+kishumei,重以上|小林美駒,31,106.5,67.1,0.268
SURFACE_2_ダ,babajotai_heavy+kishumei,重以上|小林脩斗,33,108.9,54.0,0.276
SURFACE_2_ダ,babajotai_heavy+kishumei,重以上|山田敬士,45,56.2,61.3,0.318
SURFACE_2_ダ,babajotai_heavy+kishumei,重以上|岩田康誠,72,104.7,54.2,0.391
SURFACE_2_ダ,babajotai_heavy+kishumei,重以上|川又賢治,42,111.3,77.2,0.308
SURFACE_2_ダ,babajotai_heavy+kishumei,重以上|戸崎圭太,89,65.0,86.7,0.427
SURFACE_2_ダ,babajotai_heavy+kishumei,重以上|斎藤新,87,59.9,59.0,0.423
SURFACE_2_ダ,babajotai_heavy+kishumei,重以上|木幡初也,52,31.5,108.6,0.339
SURFACE_2_ダ,babajotai_heavy+kishumei,重以上|木幡巧也,76,182.0,107.2,0.4
SURFACE_2_ダ,babajotai_heavy+kishumei,重以上|木幡育也,37,61.6,128.9,0.291
SURFACE_2_ダ,babajotai_heavy+kishumei,重以上|松岡正海,65,26.9,49.2,0.374
SURFACE_2_ダ,babajotai_heavy+kishumei,重以上|柴山雄一,58,56.3,28.8,0.356
SURFACE_2_ダ,babajotai_heavy+kishumei,重以上|柴田善臣,36,167.3,88.2,0.287
SURFACE_2_ダ,babajotai_heavy+kishumei,重以上|柴田大知,42,0.0,25.5,0.308
SURFACE_2_ダ,babajotai_heavy+kishumei,重以上|横山典弘,40,15.6,23.0,0.302
SURFACE_2_ダ,babajotai_heavy+kishumei,重以上|横山和生,81,86.2,70.1,0.41
SURFACE_2_ダ,babajotai_heavy+kishumei,重以上|横山武史,124,83.4,84.5,0.486
SURFACE_2_ダ,babajotai_heavy+kishumei,重以上|横山琉人,39,214.6,78.3,0.298
SURFACE_2_ダ,babajotai_heavy+kishumei,重以上|武藤雅,58,45.9,42.6,0.356
SURFACE_2_ダ,babajotai_heavy+kishumei,重以上|武豊,43,126.2,81.7,0.312
SURFACE_2_ダ,babajotai_heavy+kishumei,重以上|永島まなみ,39,42.9,47.0,0.298
SURFACE_2_ダ,babajotai_heavy+kishumei,重以上|江田照男,51,6.2,35.6,0.336
SURFACE_2_ダ,babajotai_heavy+kishumei,重以上|池添謙一,50,36.9,70.5,0.333
SURFACE_2_ダ,babajotai_heavy+kishumei,重以上|泉谷楓真,38,22.6,61.3,0.295
SURFACE_2_ダ,babajotai_heavy+kishumei,重以上|津村明秀,85,169.2,110.8,0.419
SURFACE_2_ダ,babajotai_heavy+kishumei,重以上|田辺裕信,63,122.7,99.6,0.369
SURFACE_2_ダ,babajotai_heavy+kishumei,重以上|石川裕紀人,53,149.4,150.7,0.342
SURFACE_2_ダ,babajotai_heavy+kishumei,重以上|石橋脩,50,65.9,76.4,0.333
SURFACE_2_ダ,babajotai_heavy+kishumei,重以上|秋山稔樹,64,146.4,97.9,0.371
SURFACE_2_ダ,babajotai_heavy+kishumei,重以上|荻野極,36,170.2,94.3,0.287
SURFACE_2_ダ,babajotai_heavy+kishumei,重以上|荻野琢真,34,73.3,69.5,0.28
SURFACE_2_ダ,babajotai_heavy+kishumei,重以上|菅原明良,96,66.7,75.1,0.44
SURFACE_2_ダ,babajotai_heavy+kishumei,重以上|菊沢一樹,100,128.8,97.5,0.447
SURFACE_2_ダ,babajotai_heavy+kishumei,重以上|菱田裕二,85,36.5,41.4,0.419
SURFACE_2_ダ,babajotai_heavy+kishumei,重以上|藤岡佑介,58,81.5,73.6,0.356
SURFACE_2_ダ,babajotai_heavy+kishumei,重以上|藤岡康太,41,18.6,82.1,0.305
SURFACE_2_ダ,babajotai_heavy+kishumei,重以上|藤田菜七子,103,23.6,40.6,0.453
SURFACE_2_ダ,babajotai_heavy+kishumei,重以上|蛯名正義,32,22.3,28.0,0.272
SURFACE_2_ダ,babajotai_heavy+kishumei,重以上|西村淳也,88,54.0,77.0,0.425
SURFACE_2_ダ,babajotai_heavy+kishumei,重以上|角田大和,38,45.6,72.2,0.295
SURFACE_2_ダ,babajotai_heavy+kishumei,重以上|野中悠太郎,33,356.5,98.4,0.276
SURFACE_2_ダ,babajotai_heavy+kishumei,重以上|鮫島克駿,105,96.0,96.5,0.456
SURFACE_2_ダ,babajotai_heavy+kishumei,重以上|黛弘人,77,63.9,65.0,0.402
SURFACE_2_ダ,babajotai_heavy+kishumei,重以上|Ｃ．ルメール,67,69.3,76.4,0.379
SURFACE_2_ダ,babajotai_heavy+kishumei,重以上|Ｍ．デムーロ,34,44.2,57.9,0.28
