combo,combo_ja,phases,n_segments,n_bins_total,max_n_horses,min_n_horses,all_bin_keys_le20,sample_bin_keys,bin_type_primary,current_bin_rule
ichi_shisu+ten_shisu_juni,位置指数＋テン指数順位,2,1,3245,116,1,(3245個),"-31.4|13.0, -30.0|13.0, -29.5|10.0, -28.1|8.0, -28.0|14.0, -27.0|16.0, -26.8|2.0, -26.4|12.0, -26.4|5.0, -25.9|14.0",numeric_range,数値そのままビン化
ichi_shisu_juni+agari_shisu_juni+kakutoku_shokin_ruikei,位置指数順位＋上がり指数順位＋獲得賞金累計,3,1,2477,113,1,(2477個),"1.0|1.0|0, 1.0|1.0|180, 1.0|1.0|280, 1.0|1.0|390, 1.0|1.0|955, 1.0|10.0|0, 1.0|10.0|1073, 1.0|10.0|125, 1.0|10.0|180, 1.0|10.0|200",rank_bucket,数値そのままビン化
ichi_shisu_juni+kyakushitsu,位置指数順位＋脚質,2,1,62,116,1,(62個),"1.0|1, 1.0|2, 1.0|3, 1.0|4, 2.0|1, 2.0|2, 2.0|3, 2.0|4, 3.0|1, 3.0|2",rank_bucket,数値そのままビン化
ichi_shisu_juni+pace_shisu_juni,位置指数順位＋ペース指数順位,2,1,184,201,1,(184個),"1.0|1.0, 1.0|10.0, 1.0|11.0, 1.0|12.0, 1.0|13.0, 1.0|2.0, 1.0|3.0, 1.0|4.0, 1.0|5.0, 1.0|6.0",rank_bucket,数値そのままビン化
ichi_shisu_juni+pace_shisu_juni+gekiso_juni,位置指数順位＋ペース指数順位＋激走順位,3,1,2843,166,1,(2843個),"1.0|1.0|1.0, 1.0|1.0|10.0, 1.0|1.0|11.0, 1.0|1.0|12.0, 1.0|1.0|13.0, 1.0|1.0|14.0, 1.0|1.0|15.0, 1.0|1.0|16.0, 1.0|1.0|17.0, 1.0|1.0|2.0",rank_bucket,数値そのままビン化
ichi_shisu_juni+ten_shisu_juni,位置指数順位＋テン指数順位,2,1,217,232,1,(217個),"1.0|1.0, 1.0|10.0, 1.0|11.0, 1.0|12.0, 1.0|13.0, 1.0|14.0, 1.0|15.0, 1.0|2.0, 1.0|3.0, 1.0|4.0",rank_bucket,数値そのままビン化
ichi_shisu_juni+ten_shisu_juni+agari_shisu_juni,位置指数順位＋テン指数順位＋上がり指数順位,3,1,2560,155,1,(2560個),"1.0|1.0|1.0, 1.0|1.0|10.0, 1.0|1.0|11.0, 1.0|1.0|12.0, 1.0|1.0|13.0, 1.0|1.0|14.0, 1.0|1.0|15.0, 1.0|1.0|16.0, 1.0|1.0|17.0, 1.0|1.0|18.0",rank_bucket,数値そのままビン化
ichi_shisu_juni+ten_shisu_juni+hizume_code,位置指数順位＋テン指数順位＋蹄コード,3,1,3046,191,1,(3046個),"1.0|1.0|01, 1.0|1.0|02, 1.0|1.0|03, 1.0|1.0|04, 1.0|1.0|06, 1.0|1.0|07, 1.0|1.0|09, 1.0|1.0|10, 1.0|1.0|11, 1.0|1.0|12",rank_bucket,数値そのままビン化
ichi_shisu_juni+ten_shisu_juni+ls_shisu_juni,位置指数順位＋テン指数順位＋LS指数順位,3,1,2077,193,1,(2077個),"1.0|1.0|1.0, 1.0|1.0|2.0, 1.0|1.0|3.0, 1.0|1.0|4.0, 1.0|1.0|5.0, 1.0|1.0|6.0, 1.0|1.0|7.0, 1.0|1.0|8.0, 1.0|1.0|9.0, 1.0|10.0|1.0",rank_bucket,数値そのままビン化
ichi_shisu_juni+umakigo_code+pace_shisu_juni,位置指数順位＋馬記号＋ペース指数順位,3,1,381,183,1,(381個),"1.0|00|1.0, 1.0|00|10.0, 1.0|00|11.0, 1.0|00|12.0, 1.0|00|13.0, 1.0|00|2.0, 1.0|00|3.0, 1.0|00|4.0, 1.0|00|5.0, 1.0|00|6.0",rank_bucket,数値そのままビン化
idm+kyori_tekisei,IDM指数＋距離適性,2,1,678,110,1,(678個),"15.0|5, 19.0|2, 20.0|0, 20.0|1, 20.0|2, 20.0|5, 20.1|0, 21.1|2, 22.0|0, 25.0|0",numeric_range,数値そのままビン化
idm+tenkai_kigo_code+da_tekisei_code,IDM指数＋展開記号＋ダ適性,3,1,1852,115,1,(1852個),"10.0|0|3, 10.0|1|3, 10.0|2|3, 10.0|3|3, 10.0|4|3, 10.1|0|3, 10.2|0|3, 10.2|4|3, 10.6|1|3, 10.6|4|3",numeric_range,数値そのままビン化
joho_shisu,情報指数,1,2,67,106910,1,(67個),"-1.0, 0.0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8",numeric_range,数値そのままビン化
joho_shisu+da_tekisei_code+kishu_kitai_rentai_ritsu+kyakushitsu,情報指数＋ダ適性＋騎手期待連対率＋脚質,4,1,11020,103,1,(11020個),"-1.0|1|1.8|1, -1.0|1|1.8|2, -1.0|1|1.8|3, -1.0|1|1.8|4, -1.0|1|2.0|2, -1.0|1|2.7|2, -1.0|1|2.7|4, -1.0|1|2.9|2, -1.0|1|2.9|4, -1.0|1|3.1|2",numeric_range,数値そのままビン化
joken_class_code+agari_shisu_juni+ichi_shisu_juni+pace_shisu_juni,条件クラス＋上がり指数順位＋位置指数順位＋ペース指数順位,4,1,8210,178,1,(8210個),"0|1.0|1.0|1.0, 0|1.0|1.0|12.0, 0|1.0|1.0|13.0, 0|1.0|1.0|15.0, 0|1.0|1.0|17.0, 0|1.0|1.0|3.0, 0|1.0|1.0|4.0, 0|1.0|1.0|5.0, 0|1.0|1.0|6.0, 0|1.0|1.0|7.0",categorical,条件クラスコード(0/1/2/3/9)そのままビン化
joken_class_code+ichi_shisu_juni+kyakushitsu+uma_start_shisu,条件クラス＋位置指数順位＋脚質＋馬スタート指数,4,1,3109,138,1,(3109個),"0|1.0|1|-0.1, 0|1.0|1|-0.2, 0|1.0|1|-0.3, 0|1.0|1|-0.4, 0|1.0|1|-0.5, 0|1.0|1|-0.7, 0|1.0|1|-1.0, 0|1.0|1|-1.5, 0|1.0|1|-3.0, 0|1.0|1|0.0",categorical,条件クラスコード(0/1/2/3/9)そのままビン化
joken_class_code+joshodo_code+kyakushitsu+gekiso_juni,条件クラス＋上昇度＋脚質＋激走順位,4,1,323,121,1,(323個),"0|0|0|1.0, 0|0|0|10.0, 0|0|0|11.0, 0|0|0|12.0, 0|0|0|13.0, 0|0|0|14.0, 0|0|0|2.0, 0|0|0|3.0, 0|0|0|4.0, 0|0|0|5.0",categorical,条件クラスコード(0/1/2/3/9)そのままビン化
joken_class_code+joshodo_code+kyakushitsu+ten_shisu_juni,条件クラス＋上昇度＋脚質＋テン指数順位,4,1,309,123,1,(309個),"0|0|0|1.0, 0|0|0|10.0, 0|0|0|11.0, 0|0|0|12.0, 0|0|0|13.0, 0|0|0|2.0, 0|0|0|3.0, 0|0|0|4.0, 0|0|0|5.0, 0|0|0|6.0",categorical,条件クラスコード(0/1/2/3/9)そのままビン化
joken_class_code+kyakushitsu+gekiso_juni,条件クラス＋脚質＋激走順位,3,1,246,122,1,(246個),"0|0|1.0, 0|0|10.0, 0|0|11.0, 0|0|12.0, 0|0|13.0, 0|0|14.0, 0|0|2.0, 0|0|3.0, 0|0|4.0, 0|0|5.0",categorical,条件クラスコード(0/1/2/3/9)そのままビン化
joken_class_code+kyakushitsu+pace_shisu_juni,条件クラス＋脚質＋ペース指数順位,3,1,243,112,1,(243個),"0|0|1.0, 0|0|10.0, 0|0|11.0, 0|0|12.0, 0|0|13.0, 0|0|14.0, 0|0|2.0, 0|0|3.0, 0|0|4.0, 0|0|5.0",categorical,条件クラスコード(0/1/2/3/9)そのままビン化
joken_class_code+kyakushitsu+ten_shisu_juni,条件クラス＋脚質＋テン指数順位,3,1,235,125,1,(235個),"0|0|1.0, 0|0|10.0, 0|0|11.0, 0|0|12.0, 0|0|13.0, 0|0|14.0, 0|0|2.0, 0|0|3.0, 0|0|4.0, 0|0|5.0",categorical,条件クラスコード(0/1/2/3/9)そのままビン化
joken_class_code+kyakushitsu+umakigo_code+gekiso_juni,条件クラス＋脚質＋馬記号＋激走順位,4,1,432,117,1,(432個),"0|0|00|1.0, 0|0|00|10.0, 0|0|00|11.0, 0|0|00|12.0, 0|0|00|13.0, 0|0|00|14.0, 0|0|00|2.0, 0|0|00|3.0, 0|0|00|4.0, 0|0|00|5.0",categorical,条件クラスコード(0/1/2/3/9)そのままビン化
joken_class_code+kyori_tekisei+da_tekisei_code+ten_shisu_juni,条件クラス＋距離適性＋ダ適性＋テン指数順位,4,1,533,108,1,(533個),"0|0|2|1.0, 0|0|2|10.0, 0|0|2|12.0, 0|0|2|14.0, 0|0|2|15.0, 0|0|2|2.0, 0|0|2|3.0, 0|0|2|5.0, 0|0|2|6.0, 0|0|2|7.0",categorical,条件クラスコード(0/1/2/3/9)そのままビン化
joken_class_code+kyori_tekisei+uma_start_shisu+tenkai_kigo_code,条件クラス＋距離適性＋馬スタート指数＋展開記号,4,1,1061,184,1,(1061個),"0|0|-0.1|0, 0|0|-0.1|1, 0|0|-0.1|3, 0|0|-0.1|4, 0|0|-0.2|0, 0|0|-0.2|1, 0|0|-0.2|2, 0|0|-0.2|3, 0|0|-0.2|4, 0|0|-0.3|0",categorical,条件クラスコード(0/1/2/3/9)そのままビン化
joken_class_code+manken_shirushi+pace_shisu_juni,条件クラス＋万券印＋ペース指数順位,3,1,639,126,1,(639個),"0|1|1.0, 0|1|10.0, 0|1|11.0, 0|1|12.0, 0|1|13.0, 0|1|14.0, 0|1|15.0, 0|1|16.0, 0|1|2.0, 0|1|3.0",categorical,条件クラスコード(0/1/2/3/9)そのままビン化
joken_class_code+manken_shirushi+ten_shisu_juni,条件クラス＋万券印＋テン指数順位,3,2,704,170,1,(704個),"0|1|1.0, 0|1|10.0, 0|1|11.0, 0|1|12.0, 0|1|13.0, 0|1|14.0, 0|1|15.0, 0|1|16.0, 0|1|17.0, 0|1|18.0",categorical,条件クラスコード(0/1/2/3/9)そのままビン化
joken_class_code+pace_shisu_juni+gekiso_juni,条件クラス＋ペース指数順位＋激走順位,3,1,1349,186,1,(1349個),"0|1.0|1.0, 0|1.0|10.0, 0|1.0|11.0, 0|1.0|12.0, 0|1.0|13.0, 0|1.0|14.0, 0|1.0|15.0, 0|1.0|16.0, 0|1.0|17.0, 0|1.0|18.0",categorical,条件クラスコード(0/1/2/3/9)そのままビン化
joken_class_code+pace_shisu_juni+omo_tekisei_code+uma_start_shisu,条件クラス＋ペース指数順位＋重適性＋馬スタート指数,4,1,3063,112,1,(3063個),"0|1.0|0|0.0, 0|1.0|2|-0.1, 0|1.0|2|-0.2, 0|1.0|2|-0.3, 0|1.0|2|-0.4, 0|1.0|2|-0.5, 0|1.0|2|-0.6, 0|1.0|2|-0.7, 0|1.0|2|-0.8, 0|1.0|2|-1.0",categorical,条件クラスコード(0/1/2/3/9)そのままビン化
