bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
えりも|08,30,1,,3.3,,69.7,25.9,X
新ひだか|05,6158,494,,8.0,,89.3,81.1,O
新ひだか|06,6148,398,,6.5,,77.5,74.2,X
新ひだか|07,5914,338,,5.7,,78.0,78.7,X
新ひだか|08,5547,270,,4.9,,71.3,70.4,X
新ひだか|09,5048,237,,4.7,,79.9,74.8,X
新ひだか|10,4661,184,,3.9,,66.5,73.9,X
新ひだか|11,3929,159,,4.0,,92.5,77.4,X
新ひだか|12,3344,120,,3.6,,79.4,77.0,X
新ひだか|13,2635,75,,2.8,,65.3,68.6,X
新ひだか|14,2169,61,,2.8,,76.1,83.5,O
新ひだか|15,1517,46,,3.0,,87.8,63.5,X
新ひだか|16,993,35,,3.5,,114.5,89.9,O
新ひだか|17,225,8,,3.6,,50.3,44.6,X
新ひだか|18,141,3,,2.1,,66.6,52.7,X
新冠|01,4007,832,,20.8,,76.9,82.9,O
新冠|02,4309,605,,14.0,,78.0,80.8,O
新冠|03,4486,504,,11.2,,78.8,81.2,O
新冠|04,4499,444,,9.9,,77.2,83.8,O
新冠|05,4472,389,,8.7,,93.0,85.5,O
新冠|06,4389,288,,6.6,,74.3,79.5,X
新冠|07,4224,225,,5.3,,84.4,77.6,X
新冠|08,3935,196,,5.0,,72.5,80.2,O
新冠|09,3589,179,,5.0,,102.5,82.2,O
新冠|10,3106,144,,4.6,,82.7,72.8,X
新冠|11,2584,105,,4.1,,91.0,81.2,O
新冠|12,2118,70,,3.3,,60.1,74.2,X
新冠|13,1733,69,,4.0,,99.7,82.2,O
新冠|14,1390,44,,3.2,,60.5,67.5,X
新冠|15,1009,28,,2.8,,101.9,99.5,O
新冠|16,598,18,,3.0,,72.4,69.4,X
新冠|17,136,2,,1.5,,17.8,60.5,X
新冠|18,86,1,,1.2,,4.2,29.1,X
日高|01,4192,941,,22.4,,77.2,80.2,O
日高|02,4326,676,,15.6,,88.1,83.6,O
日高|03,4351,550,,12.6,,79.5,82.4,O
日高|04,4567,417,,9.1,,70.4,80.7,O
日高|05,4522,369,,8.2,,82.6,83.9,O
日高|06,4288,282,,6.6,,68.5,82.5,O
日高|07,4259,261,,6.1,,82.5,75.6,X
日高|08,3948,179,,4.5,,80.7,76.3,X
日高|09,3587,164,,4.6,,96.5,83.3,O
日高|10,3177,104,,3.3,,61.2,70.3,X
日高|11,2651,93,,3.5,,68.6,84.8,O
日高|12,2331,84,,3.6,,83.5,71.5,X
日高|13,1886,68,,3.6,,120.4,83.9,O
日高|14,1459,45,,3.1,,73.5,76.6,X
日高|15,1063,33,,3.1,,69.0,90.9,O
日高|16,646,21,,3.3,,104.3,71.9,X
日高|17,127,6,,4.7,,98.1,62.7,X
日高|18,97,3,,3.1,,78.3,43.5,X
栃木|01,54,12,,22.2,,90.8,66.5,X
栃木|02,64,14,,21.9,,110.6,89.4,O
栃木|03,65,7,,10.8,,48.8,92.0,O
栃木|04,59,1,,1.7,,1.2,76.6,X
栃木|05,56,5,,8.9,,130.5,96.5,O
栃木|06,49,8,,16.3,,405.3,125.0,O
栃木|07,57,4,,7.0,,132.6,75.7,X
栃木|08,44,0,,0.0,,0.0,35.1,X
栃木|09,48,1,,2.1,,10.8,87.8,O
栃木|10,30,1,,3.3,,21.3,110.9,O
栃木|11,43,0,,0.0,,0.0,0.0,X
様似|01,137,17,,12.4,,63.7,62.4,X
様似|02,218,34,,15.6,,77.0,76.6,X
様似|03,218,28,,12.8,,95.9,72.2,X
様似|04,193,12,,6.2,,30.3,71.3,X
様似|05,231,13,,5.6,,93.1,87.4,O
様似|06,233,15,,6.4,,123.5,88.8,O
様似|07,223,11,,4.9,,83.5,86.6,O
様似|08,201,5,,2.5,,10.9,55.4,X
様似|09,224,4,,1.8,,44.1,73.8,X
様似|10,183,5,,2.7,,87.2,51.9,X
様似|11,156,7,,4.5,,107.5,70.1,X
様似|12,127,3,,2.4,,135.4,99.0,O
様似|13,115,3,,2.6,,17.6,59.8,X
様似|14,62,0,,0.0,,0.0,8.5,X
様似|15,68,0,,0.0,,0.0,59.9,X
様似|16,44,2,,4.5,,149.7,95.5,O
洞爺湖|01,273,56,,20.5,,59.0,78.3,X
洞爺湖|02,265,39,,14.7,,66.8,73.5,X
洞爺湖|03,283,50,,17.7,,92.6,70.1,X
洞爺湖|04,251,35,,13.9,,96.2,79.8,X
洞爺湖|05,234,21,,9.0,,103.6,61.0,X
洞爺湖|06,231,24,,10.4,,95.6,98.1,O
洞爺湖|07,205,17,,8.3,,82.0,56.4,X
洞爺湖|08,176,8,,4.5,,38.6,51.2,X
洞爺湖|09,144,5,,3.5,,123.4,79.2,X
洞爺湖|10,133,7,,5.3,,114.3,45.9,X
洞爺湖|11,125,5,,4.0,,59.8,68.9,X
洞爺湖|12,86,3,,3.5,,30.2,72.5,X
洞爺湖|13,54,3,,5.6,,76.3,86.9,O
洞爺湖|14,55,3,,5.5,,17.3,50.9,X
洞爺湖|15,35,1,,2.9,,38.9,72.7,X
浦河|01,4684,1018,,21.7,,74.6,83.6,O
浦河|02,5042,779,,15.5,,78.5,83.4,O
浦河|03,5238,589,,11.2,,70.8,82.2,O
浦河|04,5274,514,,9.7,,88.2,79.1,X
浦河|05,5366,423,,7.9,,83.0,81.3,O
浦河|06,5331,362,,6.8,,85.5,80.4,O
浦河|07,5093,261,,5.1,,73.1,75.2,X
浦河|08,4830,217,,4.5,,74.0,78.2,X
浦河|09,4300,200,,4.7,,84.7,80.1,O
浦河|10,3844,153,,4.0,,77.8,77.2,X
浦河|11,3497,143,,4.1,,78.8,74.6,X
浦河|12,2787,92,,3.3,,78.8,85.9,O
浦河|13,2344,75,,3.2,,98.6,79.9,X
浦河|14,1766,57,,3.2,,87.8,87.8,O
浦河|15,1284,48,,3.7,,82.4,77.8,X
浦河|16,890,22,,2.5,,70.3,87.6,O
浦河|17,179,5,,2.8,,34.0,34.4,X
浦河|18,103,1,,1.0,,5.2,67.5,X
熊本|02,34,6,,17.6,,100.1,58.9,X
熊本|03,38,5,,13.2,,70.0,106.5,O
熊本|04,38,3,,7.9,,25.4,39.6,X
熊本|05,42,4,,9.5,,97.8,55.3,X
熊本|06,31,4,,12.9,,110.2,57.8,X
熊本|07,41,5,,12.2,,234.5,129.7,O
熊本|08,32,2,,6.2,,150.4,48.6,X
登別|01,61,12,,19.7,,46.2,63.4,X
登別|02,54,11,,20.4,,115.3,99.2,O
登別|03,54,4,,7.4,,23.0,91.3,O
登別|04,47,4,,8.5,,44.5,37.6,X
登別|05,53,2,,3.8,,28.2,69.1,X
登別|06,61,6,,9.8,,136.3,47.4,X
登別|07,64,6,,9.4,,77.9,84.7,O
登別|08,76,6,,7.9,,222.7,110.5,O
登別|09,63,9,,14.3,,267.1,90.8,O
登別|10,57,1,,1.8,,16.3,100.1,O
登別|11,30,2,,6.7,,86.5,104.5,O
登別|13,33,3,,9.1,,159.9,41.0,X
白老|01,1062,242,,22.8,,72.2,79.6,X
白老|02,965,149,,15.4,,76.0,77.8,X
白老|03,951,132,,13.9,,82.5,78.6,X
白老|04,918,95,,10.3,,79.9,82.8,O
白老|05,845,70,,8.3,,60.8,80.8,O
白老|06,724,55,,7.6,,97.7,76.8,X
白老|07,749,35,,4.7,,31.2,77.8,X
白老|08,678,40,,5.9,,72.5,71.6,X
白老|09,591,39,,6.6,,81.8,80.8,O
白老|10,503,24,,4.8,,46.6,87.3,O
白老|11,458,17,,3.7,,67.0,52.1,X
白老|12,342,15,,4.4,,100.1,81.1,O
白老|13,282,12,,4.3,,73.6,58.2,X
白老|14,200,7,,3.5,,128.7,89.8,O
白老|15,158,6,,3.8,,55.8,91.6,O
白老|16,92,3,,3.3,,22.3,100.0,O
米|01,1075,315,,29.3,,81.4,87.3,O
米|02,953,200,,21.0,,92.0,90.9,O
米|03,833,129,,15.5,,76.6,77.3,X
米|04,720,94,,13.1,,68.7,79.7,X
米|05,675,78,,11.6,,68.9,84.9,O
米|06,657,64,,9.7,,90.2,82.1,O
米|07,581,43,,7.4,,64.7,71.7,X
米|08,553,54,,9.8,,132.4,86.3,O
米|09,546,39,,7.1,,69.1,78.8,X
米|10,483,34,,7.0,,145.3,94.4,O
米|11,393,14,,3.6,,73.9,72.2,X
米|12,354,21,,5.9,,114.1,73.5,X
米|13,296,15,,5.1,,40.0,94.0,O
米|14,227,6,,2.6,,41.8,96.5,O
米|15,176,8,,4.5,,39.9,41.8,X
米|16,109,5,,4.6,,33.2,90.7,O
英|01,171,36,,21.1,,71.7,72.8,X
英|02,123,22,,17.9,,100.1,93.7,O
英|03,110,14,,12.7,,53.3,55.0,X
英|04,107,8,,7.5,,23.8,66.1,X
英|05,126,18,,14.3,,79.3,58.7,X
英|06,101,8,,7.9,,56.1,64.8,X
英|07,105,7,,6.7,,48.8,71.8,X
英|08,82,5,,6.1,,51.5,67.5,X
英|09,76,3,,3.9,,70.0,101.1,O
英|10,61,4,,6.6,,97.9,110.3,O
英|11,51,4,,7.8,,77.9,52.7,X
英|12,44,2,,4.5,,45.2,172.8,O
英|13,44,1,,2.3,,97.9,86.5,O
豊浦|05,34,1,,2.9,,22.1,37.7,X
豊浦|06,34,1,,2.9,,7.6,67.1,X
豊浦|10,30,0,,0.0,,0.0,67.4,X
豪|01,36,11,,30.6,,58.6,92.5,O
豪|02,42,9,,21.4,,71.1,62.4,X
青森|01,73,20,,27.4,,81.4,76.6,X
青森|02,86,7,,8.1,,45.6,64.4,X
青森|03,94,15,,16.0,,78.2,82.4,O
青森|04,130,13,,10.0,,52.6,44.4,X
青森|05,111,3,,2.7,,54.7,90.9,O
青森|06,126,5,,4.0,,14.4,37.4,X
青森|07,125,4,,3.2,,96.2,102.2,O
青森|08,136,7,,5.1,,41.6,88.5,O
青森|09,99,5,,5.1,,137.6,109.5,O
青森|10,92,5,,5.4,,119.1,61.6,X
青森|11,70,2,,2.9,,97.7,104.9,O
青森|12,58,1,,1.7,,3.6,57.9,X
青森|13,45,0,,0.0,,0.0,57.0,X
青森|14,41,1,,2.4,,12.1,139.2,O
鹿児島|03,33,4,,12.1,,103.4,89.2,O
鹿児島|05,33,0,,0.0,,0.0,54.4,X
鹿児島|06,30,2,,6.7,,134.9,54.5,X
鹿児島|07,30,3,,10.0,,64.0,57.0,X
鹿児島|08,33,1,,3.0,,6.2,33.7,X
