bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
7-9|62.0,148,16,,10.8,,117.7,83.7,O
7-9|64.0,66,4,,6.1,,53.9,135.5,O
7-9|67.0,1285,105,,8.2,,79.9,81.1,O
7-9|69.0,42,1,,2.4,,6.7,80.3,O
7-9|7.0,1138,88,,7.7,,97.3,78.2,X
7-9|70.0,40,1,,2.5,,23.5,50.3,X
7-9|71.0,122,9,,7.4,,62.5,53.0,X
7-9|73.0,40,4,,10.0,,53.4,110.4,O
7-9|75.0,486,38,,7.8,,52.6,73.1,X
7-9|8.0,1449,86,,5.9,,70.5,74.7,X
7-9|80.0,195,18,,9.2,,52.8,71.9,X
7-9|83.0,98,10,,10.2,,57.2,63.2,X
7-9|86.0,43,2,,4.7,,22.5,64.4,X
7-9|9.0,1089,75,,6.9,,75.5,82.7,O
7-9|99.9,3805,324,,8.5,,80.4,76.2,X
