bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
えりも|5,30,0,,0.0,,0.0,176.2,O
洞爺湖|1,292,93,,31.8,,89.2,84.5,O
洞爺湖|2,285,55,,19.3,,80.3,83.6,O
洞爺湖|3,278,37,,13.3,,78.4,77.8,X
洞爺湖|4,258,25,,9.7,,69.7,77.7,X
洞爺湖|5,259,23,,8.9,,87.3,57.5,X
洞爺湖|6,193,11,,5.7,,49.8,64.5,X
浦河|1,4670,1264,,27.1,,77.5,85.9,O
浦河|2,5003,866,,17.3,,77.2,80.6,O
浦河|3,5186,650,,12.5,,74.5,79.3,X
浦河|4,5479,549,,10.0,,81.0,79.7,X
浦河|5,5490,391,,7.1,,72.3,78.2,X
浦河|6,5556,299,,5.4,,73.8,80.2,O
熊本|3,37,12,,32.4,,232.8,104.8,O
熊本|4,31,3,,9.7,,61.1,80.1,O
熊本|5,38,5,,13.2,,139.1,88.3,O
登別|1,44,10,,22.7,,51.4,65.1,X
登別|2,76,17,,22.4,,81.0,84.2,O
登別|3,47,10,,21.3,,103.9,79.2,X
登別|4,57,7,,12.3,,203.1,81.2,O
登別|5,66,6,,9.1,,94.2,80.7,O
登別|6,59,5,,8.5,,127.9,57.1,X
白老|1,1032,305,,29.6,,84.0,85.1,O
白老|2,1001,179,,17.9,,66.3,73.2,X
白老|3,966,144,,14.9,,72.9,80.4,O
白老|4,993,95,,9.6,,74.9,71.1,X
白老|5,872,61,,7.0,,60.0,68.5,X
白老|6,817,47,,5.8,,51.8,76.6,X
米|1,1230,428,,34.8,,87.8,86.4,O
米|2,1032,213,,20.6,,79.3,84.2,O
米|3,903,141,,15.6,,76.9,84.4,O
米|4,822,88,,10.7,,72.0,80.0,O
米|5,784,71,,9.1,,85.2,83.4,O
米|6,662,41,,6.2,,52.8,78.3,X
苫小牧|3,30,6,,20.0,,123.7,113.5,O
英|1,180,46,,25.6,,60.9,80.5,O
英|2,137,28,,20.4,,91.1,70.7,X
英|3,119,17,,14.3,,75.5,90.1,O
英|4,138,7,,5.1,,38.9,59.0,X
英|5,132,12,,9.1,,82.0,69.8,X
英|6,107,6,,5.6,,54.7,55.3,X
豊浦|4,31,3,,9.7,,101.5,106.2,O
豊浦|5,30,1,,3.3,,21.0,44.7,X
豊浦|6,37,0,,0.0,,0.0,73.8,X
豪|1,80,26,,32.5,,67.8,87.5,O
豪|2,51,10,,19.6,,78.0,92.8,O
豪|3,39,8,,20.5,,85.0,79.4,X
豪|4,39,5,,12.8,,130.0,107.2,O
豪|5,40,3,,7.5,,55.1,84.5,O
豪|6,32,1,,3.1,,14.4,74.7,X
青森|1,66,15,,22.7,,53.7,78.7,X
青森|2,99,18,,18.2,,69.9,82.8,O
青森|3,107,15,,14.0,,63.6,106.7,O
青森|4,94,12,,12.8,,100.3,90.8,O
青森|5,115,12,,10.4,,154.7,80.5,O
青森|6,131,3,,2.3,,45.0,61.1,X
