bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
富田暁|8,242,15,,6.2,,70.5,80.9,O
小崎綾也|1,68,4,,5.9,,56.0,80.1,O
小崎綾也|2,89,7,,7.9,,211.7,116.8,O
小崎綾也|3,89,5,,5.6,,57.6,47.1,X
小崎綾也|4,97,4,,4.1,,30.6,73.6,X
小崎綾也|5,82,9,,11.0,,169.7,70.1,X
小崎綾也|6,107,8,,7.5,,121.3,83.4,O
小崎綾也|7,115,5,,4.3,,184.4,80.8,O
小崎綾也|8,112,4,,3.6,,47.4,71.0,X
小林凌大|1,30,1,,3.3,,92.2,28.4,X
小林凌大|2,41,1,,2.4,,5.2,185.1,O
小林凌大|3,41,1,,2.4,,9.0,57.1,X
小林凌大|4,45,2,,4.4,,32.2,42.7,X
小林凌大|5,34,3,,8.8,,210.5,87.7,O
小林凌大|7,39,0,,0.0,,0.0,25.0,X
小林凌大|8,51,0,,0.0,,0.0,68.4,X
小林勝太|3,30,1,,3.3,,24.1,18.3,X
小林勝太|6,42,2,,4.8,,62.2,72.8,X
小林勝太|8,31,1,,3.2,,79.8,41.1,X
小林美駒|2,39,2,,5.1,,113.8,118.9,O
小林美駒|3,41,7,,17.1,,271.9,122.0,O
小林美駒|4,40,3,,7.5,,70.9,54.4,X
小林美駒|5,39,1,,2.6,,138.6,57.1,X
小林美駒|6,43,2,,4.7,,29.8,45.7,X
小林美駒|7,30,2,,6.7,,272.9,101.6,O
小林美駒|8,50,6,,12.0,,168.1,88.1,O
小林脩斗|1,36,0,,0.0,,0.0,61.8,X
小林脩斗|3,51,2,,3.9,,18.7,58.5,X
小林脩斗|4,37,2,,5.4,,111.5,62.5,X
小林脩斗|5,30,0,,0.0,,0.0,96.2,O
小林脩斗|6,34,2,,5.9,,235.4,98.8,O
小林脩斗|7,49,2,,4.1,,22.4,20.1,X
小林脩斗|8,44,0,,0.0,,0.0,48.3,X
小沢大仁|1,76,5,,6.6,,72.1,65.0,X
小沢大仁|2,114,6,,5.3,,73.5,73.1,X
小沢大仁|3,109,5,,4.6,,19.6,60.7,X
小沢大仁|4,97,2,,2.1,,13.7,62.7,X
小沢大仁|5,93,5,,5.4,,44.6,58.6,X
小沢大仁|6,107,6,,5.6,,64.0,40.3,X
小沢大仁|7,131,7,,5.3,,103.8,60.8,X
小沢大仁|8,136,7,,5.1,,83.1,76.4,X
小牧太|1,52,4,,7.7,,49.6,40.9,X
小牧太|2,83,4,,4.8,,19.4,82.0,O
小牧太|3,68,4,,5.9,,34.0,65.5,X
小牧太|4,66,4,,6.1,,40.7,85.5,O
小牧太|5,56,2,,3.6,,4.8,77.2,X
小牧太|6,76,4,,5.3,,49.2,41.1,X
小牧太|7,66,2,,3.0,,8.0,98.0,O
小牧太|8,84,3,,3.6,,41.4,89.2,O
山田敬士|2,36,2,,5.6,,93.4,21.9,X
山田敬士|3,47,1,,2.1,,13.5,77.6,X
山田敬士|5,38,1,,2.6,,94.2,47.6,X
山田敬士|6,36,2,,5.6,,117.9,85.5,O
山田敬士|7,48,2,,4.2,,46.1,46.9,X
山田敬士|8,45,3,,6.7,,71.0,61.1,X
岡田祥嗣|7,35,3,,8.6,,367.0,121.2,O
岡田祥嗣|8,30,2,,6.7,,24.3,72.5,X
岩田康誠|1,268,23,,8.6,,96.3,90.7,O
岩田康誠|2,294,21,,7.1,,69.5,58.1,X
