bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
新冠|04,3702,318,,8.6,,76.9,83.5,O
新冠|05,3669,305,,8.3,,80.0,77.5,X
新冠|06,3726,327,,8.8,,85.2,81.6,O
新冠|07,3698,309,,8.4,,75.0,82.2,O
新冠|08,3609,318,,8.8,,84.9,80.4,O
新冠|09,3521,288,,8.2,,78.3,72.8,X
新冠|10,3255,251,,7.7,,75.6,77.8,X
新冠|11,3037,242,,8.0,,66.4,82.9,O
新冠|12,2889,232,,8.0,,84.6,81.1,O
新冠|13,2487,185,,7.4,,77.3,84.0,O
新冠|14,2251,193,,8.6,,93.1,83.7,O
新冠|15,1920,156,,8.1,,99.7,83.1,O
新冠|16,1456,116,,8.0,,128.5,85.2,O
新冠|17,261,12,,4.6,,55.9,57.9,X
新冠|18,210,8,,3.8,,26.6,84.9,O
日高|01,3762,308,,8.2,,86.0,76.3,X
日高|02,3824,309,,8.1,,86.0,79.9,X
日高|03,3698,317,,8.6,,91.7,80.1,O
日高|04,3713,329,,8.9,,83.7,80.9,O
日高|05,3620,285,,7.9,,71.6,79.0,X
日高|06,3689,346,,9.4,,81.7,78.6,X
日高|07,3607,279,,7.7,,74.3,76.3,X
日高|08,3665,326,,8.9,,82.2,85.1,O
日高|09,3473,293,,8.4,,79.1,80.9,O
日高|10,3417,283,,8.3,,73.2,82.3,O
日高|11,3288,310,,9.4,,95.3,82.0,O
日高|12,2883,225,,7.8,,78.2,80.0,O
日高|13,2532,206,,8.1,,62.0,81.2,O
日高|14,2352,179,,7.6,,84.1,79.5,X
日高|15,1872,143,,7.6,,74.4,76.4,X
日高|16,1576,127,,8.1,,63.2,79.7,X
日高|17,277,13,,4.7,,42.9,103.1,O
日高|18,229,18,,7.9,,71.4,72.0,X
栃木|01,39,3,,7.7,,40.1,152.4,O
栃木|02,49,4,,8.2,,47.2,93.8,O
栃木|03,44,1,,2.3,,2.8,43.8,X
栃木|04,50,5,,10.0,,60.5,51.0,X
栃木|05,49,5,,10.2,,102.0,81.4,O
栃木|06,55,5,,9.1,,162.8,74.4,X
栃木|07,48,4,,8.3,,130.8,90.9,O
栃木|08,54,8,,14.8,,94.1,85.0,O
栃木|09,33,5,,15.2,,149.8,89.5,O
栃木|10,45,3,,6.7,,319.0,90.5,O
栃木|11,33,0,,0.0,,0.0,25.2,X
栃木|12,35,5,,14.3,,84.8,135.0,O
栃木|13,37,2,,5.4,,4.2,49.7,X
栃木|16,36,2,,5.6,,24.3,98.4,O
様似|01,185,8,,4.3,,165.7,85.4,O
様似|02,186,11,,5.9,,30.0,72.1,X
様似|03,186,14,,7.5,,89.8,75.0,X
様似|04,196,9,,4.6,,45.7,52.1,X
様似|05,190,13,,6.8,,83.5,107.0,O
様似|06,182,12,,6.6,,31.5,62.2,X
様似|07,220,20,,9.1,,131.7,87.8,O
様似|08,184,8,,4.3,,35.8,48.2,X
様似|09,160,8,,5.0,,47.8,33.6,X
様似|10,172,6,,3.5,,21.8,51.7,X
様似|11,148,9,,6.1,,59.5,79.9,X
様似|12,166,13,,7.8,,80.5,90.1,O
様似|13,136,7,,5.1,,55.7,76.1,X
様似|14,123,9,,7.3,,101.9,90.7,O
様似|15,112,5,,4.5,,94.3,38.9,X
様似|16,79,7,,8.9,,69.6,101.5,O
洞爺湖|01,195,14,,7.2,,38.0,47.6,X
洞爺湖|02,210,34,,16.2,,100.8,62.1,X
洞爺湖|03,184,18,,9.8,,147.4,81.6,O
洞爺湖|04,215,30,,14.0,,90.8,94.3,O
洞爺湖|05,197,19,,9.6,,50.7,86.0,O
洞爺湖|06,196,19,,9.7,,86.0,66.0,X
洞爺湖|07,182,18,,9.9,,87.1,68.0,X
洞爺湖|08,168,19,,11.3,,48.4,71.7,X
洞爺湖|09,186,15,,8.1,,31.1,47.8,X
洞爺湖|10,164,16,,9.8,,143.1,89.3,O
洞爺湖|11,163,24,,14.7,,133.4,83.1,O
洞爺湖|12,126,12,,9.5,,49.6,64.0,X
洞爺湖|13,111,9,,8.1,,46.4,60.0,X
洞爺湖|14,101,9,,8.9,,34.0,59.6,X
洞爺湖|15,102,15,,14.7,,123.6,88.1,O
洞爺湖|16,58,6,,10.3,,113.3,87.2,O
浦河|01,4406,350,,7.9,,71.3,75.7,X
浦河|02,4487,326,,7.3,,81.1,78.7,X
浦河|03,4639,392,,8.5,,89.2,79.6,X
浦河|04,4528,431,,9.5,,91.4,80.8,O
浦河|05,4508,357,,7.9,,76.0,81.4,O
浦河|06,4519,362,,8.0,,90.3,87.7,O
浦河|07,4494,355,,7.9,,66.8,81.0,O
浦河|08,4401,368,,8.4,,75.3,79.6,X
浦河|09,4203,307,,7.3,,79.3,75.0,X
浦河|10,4079,342,,8.4,,88.3,80.8,O
浦河|11,3644,266,,7.3,,65.0,73.0,X
浦河|12,3463,296,,8.5,,78.9,82.9,O
浦河|13,3127,244,,7.8,,80.7,79.9,X
浦河|14,2681,217,,8.1,,83.6,81.9,O
浦河|15,2320,169,,7.3,,67.1,83.0,O
浦河|16,1783,142,,8.0,,94.3,88.7,O
浦河|17,328,20,,6.1,,52.8,74.2,X
浦河|18,242,15,,6.2,,93.7,85.9,O
熊本|01,35,1,,2.9,,3.4,26.6,X
熊本|02,38,5,,13.2,,90.3,79.7,X
熊本|03,30,2,,6.7,,88.9,15.8,X
熊本|05,33,4,,12.1,,151.9,102.1,O
熊本|07,36,3,,8.3,,177.3,170.3,O
熊本|08,30,5,,16.7,,451.0,134.8,O
熊本|11,30,0,,0.0,,0.0,15.6,X
登別|01,59,3,,5.1,,18.1,101.7,O
登別|02,61,11,,18.0,,301.2,104.8,O
登別|03,45,4,,8.9,,52.9,86.3,O
登別|04,57,6,,10.5,,185.3,153.5,O
登別|05,45,6,,13.3,,96.2,94.2,O
登別|06,49,9,,18.4,,91.3,39.2,X
登別|07,58,5,,8.6,,67.7,52.7,X
登別|08,47,3,,6.4,,45.1,32.6,X
登別|09,52,0,,0.0,,0.0,123.8,O
登別|10,50,4,,8.0,,35.5,92.2,O
登別|11,46,6,,13.0,,118.1,64.8,X
登別|12,41,2,,4.9,,170.6,72.3,X
登別|15,36,1,,2.8,,5.9,42.4,X
白老|01,682,61,,8.9,,55.5,73.6,X
白老|02,741,88,,11.9,,76.9,85.9,O
白老|03,706,84,,11.9,,104.0,86.6,O
白老|04,713,73,,10.2,,81.9,80.2,O
白老|05,733,70,,9.5,,52.0,67.8,X
白老|06,724,72,,9.9,,102.3,92.3,O
白老|07,673,62,,9.2,,67.9,70.2,X
白老|08,695,71,,10.2,,75.8,84.5,O
白老|09,630,70,,11.1,,57.1,78.0,X
白老|10,607,60,,9.9,,85.1,89.1,O
白老|11,575,43,,7.5,,61.5,51.7,X
白老|12,522,50,,9.6,,85.4,83.9,O
白老|13,445,36,,8.1,,56.9,68.9,X
白老|14,399,39,,9.8,,44.9,62.0,X
白老|15,312,33,,10.6,,85.1,83.4,O
白老|16,270,22,,8.1,,58.3,89.3,O
白老|17,67,3,,4.5,,66.6,115.1,O
白老|18,67,6,,9.0,,43.2,75.0,X
米|01,611,81,,13.3,,74.5,97.4,O
米|02,568,66,,11.6,,67.3,74.2,X
米|03,596,60,,10.1,,72.4,74.7,X
米|04,632,73,,11.6,,99.3,71.9,X
米|05,609,85,,14.0,,76.7,85.3,O
米|06,587,96,,16.4,,108.8,85.9,O
米|07,645,87,,13.5,,79.6,74.9,X
米|08,620,72,,11.6,,54.1,78.5,X
米|09,606,74,,12.2,,54.7,69.5,X
米|10,575,87,,15.1,,88.0,90.3,O
米|11,545,62,,11.4,,128.5,82.9,O
米|12,524,82,,15.6,,92.2,101.2,O
米|13,455,56,,12.3,,68.9,76.6,X
米|14,414,59,,14.3,,97.0,87.0,O
米|15,323,41,,12.7,,104.1,108.9,O
米|16,284,37,,13.0,,93.0,74.4,X
米|17,35,1,,2.9,,4.6,47.5,X
英|01,95,18,,18.9,,190.0,90.5,O
英|02,90,9,,10.0,,23.2,63.5,X
英|03,94,7,,7.4,,26.8,30.6,X
英|04,96,9,,9.4,,72.0,64.3,X
英|05,97,14,,14.4,,95.4,59.9,X
英|06,91,13,,14.3,,96.5,99.6,O
英|07,80,14,,17.5,,117.2,66.7,X
英|08,92,7,,7.6,,89.0,89.2,O
英|09,90,7,,7.8,,54.9,75.4,X
英|10,74,6,,8.1,,13.4,92.1,O
英|11,84,9,,10.7,,45.3,125.8,O
英|12,67,9,,13.4,,49.0,78.2,X
英|13,67,4,,6.0,,24.7,46.4,X
英|14,54,3,,5.6,,40.0,69.8,X
英|15,54,3,,5.6,,29.7,87.0,O
英|16,33,1,,3.0,,30.4,33.3,X
豊浦|11,30,3,,10.0,,164.7,148.4,O
豪|04,31,3,,9.7,,277.4,177.8,O
