bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
えりも|6,31,0,,0.0,,0.0,51.3,X
英|6,98,10,,10.2,,90.1,77.4,X
豊浦|6,39,3,,7.7,,31.1,68.0,X
豪|1,69,17,,24.6,,77.3,82.6,O
豪|2,45,10,,22.2,,52.7,84.4,O
豪|3,40,10,,25.0,,105.4,90.4,O
豪|4,39,5,,12.8,,110.3,119.6,O
豪|5,43,5,,11.6,,62.1,76.7,X
豪|6,35,3,,8.6,,29.6,76.7,X
青森|1,69,13,,18.8,,114.9,111.2,O
青森|2,94,18,,19.1,,81.7,70.1,X
青森|3,104,12,,11.5,,75.1,89.3,O
青森|4,113,7,,6.2,,45.5,82.9,O
青森|5,131,9,,6.9,,46.1,79.5,X
青森|6,115,10,,8.7,,80.0,74.9,X
鹿児島|1,30,6,,20.0,,29.7,76.4,X
鹿児島|3,33,3,,9.1,,21.6,73.6,X
鹿児島|5,33,2,,6.1,,21.8,51.3,X
