segment,factors,factor1,factor2,factor3,n_bins,n_bets,mean_roi,std_roi,clb,pass
KEIBAJO_SURFACE_07_芝_条件戦,hizume_code+omo_tekisei_code+ichi_shisu_juni,hizume_code,omo_tekisei_code,ichi_shisu_juni,5,570,79.04,7.37,72.59,False
KEIBAJO_SURFACE_07_芝_条件戦,pace_yoso+omo_tekisei_code+pace_shisu_juni,pace_yoso,omo_tekisei_code,pace_shisu_juni,5,554,83.6,12.64,72.52,False
KEIBAJO_SURFACE_07_芝_条件戦,kyori_tekisei+omo_tekisei_code+tenkai_kigo_code,kyori_tekisei,omo_tekisei_code,tenkai_kigo_code,12,3166,77.49,8.86,72.48,False
KEIBAJO_SURFACE_07_芝_条件戦,pace_yoso+kyori_kubun+omo_tekisei_code,pace_yoso,kyori_kubun,omo_tekisei_code,15,3993,76.23,7.5,72.44,False
KEIBAJO_SURFACE_07_芝_条件戦,kyori_tekisei+uma_start_shisu+omo_tekisei_code,kyori_tekisei,uma_start_shisu,omo_tekisei_code,8,1882,77.01,6.65,72.4,False
KEIBAJO_SURFACE_07_芝_条件戦,uma_deokure_ritsu+kyori_kubun+gekiso_juni,uma_deokure_ritsu,kyori_kubun,gekiso_juni,4,450,80.3,8.26,72.21,False
KEIBAJO_SURFACE_07_芝_条件戦,uma_deokure_ritsu+kyori_tekisei+gekiso_juni,uma_deokure_ritsu,kyori_tekisei,gekiso_juni,4,440,80.85,8.83,72.19,False
KEIBAJO_SURFACE_07_芝_条件戦,uma_deokure_ritsu+kyakushitsu+kijun_ninkijun_tansho,uma_deokure_ritsu,kyakushitsu,kijun_ninkijun_tansho,4,431,85.07,13.26,72.07,False
KEIBAJO_SURFACE_07_芝_条件戦,rotation+kyori_tekisei+kyakushitsu,rotation,kyori_tekisei,kyakushitsu,7,833,76.1,5.52,72.02,False
KEIBAJO_SURFACE_07_芝_条件戦,nyukyu_nannichimae+ichi_shisu+kakutoku_shokin_ruikei,nyukyu_nannichimae,ichi_shisu,kakutoku_shokin_ruikei,5,539,81.83,11.25,71.97,False
KEIBAJO_SURFACE_07_芝_条件戦,kyori_kubun+kyori_tekisei+kijun_ninkijun_tansho,kyori_kubun,kyori_tekisei,kijun_ninkijun_tansho,17,2154,78.64,14.12,71.93,False
KEIBAJO_SURFACE_07_芝_条件戦,uma_deokure_ritsu+kyori_tekisei+uma_start_shisu,uma_deokure_ritsu,kyori_tekisei,uma_start_shisu,5,1676,75.55,4.13,71.93,False
KEIBAJO_SURFACE_07_芝_条件戦,uma_start_shisu+tenkai_kigo_code+agari_shisu_juni,uma_start_shisu,tenkai_kigo_code,agari_shisu_juni,7,1015,81.38,12.82,71.89,False
KEIBAJO_SURFACE_07_芝_条件戦,uma_deokure_ritsu+manken_shirushi+omo_tekisei_code,uma_deokure_ritsu,manken_shirushi,omo_tekisei_code,7,745,78.53,8.99,71.86,False
KEIBAJO_SURFACE_07_芝_条件戦,kyori_tekisei+nyukyu_nannichimae+kyakushitsu,kyori_tekisei,nyukyu_nannichimae,kyakushitsu,5,537,82.0,11.58,71.85,False
KEIBAJO_SURFACE_07_芝_条件戦,nyukyu_nannichimae+kyakushitsu+kakutoku_shokin_ruikei,nyukyu_nannichimae,kyakushitsu,kakutoku_shokin_ruikei,5,537,82.0,11.58,71.85,False
KEIBAJO_SURFACE_07_芝_条件戦,nyukyu_nannichimae+kyakushitsu+ichi_shisu,nyukyu_nannichimae,kyakushitsu,ichi_shisu,5,537,82.0,11.58,71.85,False
KEIBAJO_SURFACE_07_芝_条件戦,rotation+hizume_code+kyori_tekisei,rotation,hizume_code,kyori_tekisei,4,562,74.5,2.7,71.85,False
KEIBAJO_SURFACE_07_芝_条件戦,kyori_tekisei+nyukyu_nannichimae+ichi_shisu,kyori_tekisei,nyukyu_nannichimae,ichi_shisu,5,538,81.99,11.58,71.84,False
KEIBAJO_SURFACE_07_芝_条件戦,hizume_code+omo_tekisei_code+kyakushitsu,hizume_code,omo_tekisei_code,kyakushitsu,13,2767,79.45,14.24,71.71,False
KEIBAJO_SURFACE_07_芝_条件戦,hizume_code+kyori_tekisei+tenkai_kigo_code,hizume_code,kyori_tekisei,tenkai_kigo_code,8,1586,78.36,9.61,71.7,False
KEIBAJO_SURFACE_07_芝_条件戦,kyori_kubun+ichi_shisu_juni+ichi_shisu,kyori_kubun,ichi_shisu_juni,ichi_shisu,3,1714,72.82,1.09,71.59,False
KEIBAJO_SURFACE_07_芝_条件戦,pace_yoso+hizume_code+kyakushitsu,pace_yoso,hizume_code,kyakushitsu,12,1903,78.49,12.22,71.57,False
KEIBAJO_SURFACE_07_芝_条件戦,uma_start_shisu+kyakushitsu+ichi_shisu_juni,uma_start_shisu,kyakushitsu,ichi_shisu_juni,5,585,76.88,6.09,71.54,False
KEIBAJO_SURFACE_07_芝_条件戦,rotation+hizume_code+omo_tekisei_code,rotation,hizume_code,omo_tekisei_code,6,1075,76.68,6.43,71.53,False
KEIBAJO_SURFACE_07_芝_条件戦,omo_tekisei_code+ichi_shisu_juni+tenkai_kigo_code,omo_tekisei_code,ichi_shisu_juni,tenkai_kigo_code,9,1120,78.51,10.8,71.45,False
KEIBAJO_SURFACE_07_芝_条件戦,pace_yoso+kyori_kubun+manken_shirushi,pace_yoso,kyori_kubun,manken_shirushi,15,2037,76.5,9.99,71.44,False
KEIBAJO_SURFACE_07_芝_条件戦,pace_yoso+omo_tekisei_code+tenkai_kigo_code,pace_yoso,omo_tekisei_code,tenkai_kigo_code,14,3705,75.97,8.67,71.43,False
KEIBAJO_SURFACE_07_芝_条件戦,rotation+omo_tekisei_code+kyakushitsu,rotation,omo_tekisei_code,kyakushitsu,10,1476,75.31,6.3,71.4,False
KEIBAJO_SURFACE_07_芝_条件戦,uma_deokure_ritsu+uma_start_shisu+agari_shisu_juni,uma_deokure_ritsu,uma_start_shisu,agari_shisu_juni,8,1005,80.03,12.57,71.32,False
KEIBAJO_SURFACE_07_芝_条件戦,pace_yoso+kyakushitsu+ichi_shisu_juni,pace_yoso,kyakushitsu,ichi_shisu_juni,4,1941,76.36,5.14,71.32,False
KEIBAJO_SURFACE_07_芝_条件戦,hizume_code+omo_tekisei_code+pace_shisu_juni,hizume_code,omo_tekisei_code,pace_shisu_juni,4,422,75.67,4.48,71.28,False
KEIBAJO_SURFACE_07_芝_条件戦,pace_yoso+kyori_kubun+kyori_tekisei,pace_yoso,kyori_kubun,kyori_tekisei,19,5505,74.86,8.02,71.25,False
KEIBAJO_SURFACE_07_芝_条件戦,kyori_tekisei+nyukyu_nannichimae+kakutoku_shokin_ruikei,kyori_tekisei,nyukyu_nannichimae,kakutoku_shokin_ruikei,5,562,81.76,11.98,71.25,False
KEIBAJO_SURFACE_07_芝_条件戦,omo_tekisei_code+kyakushitsu+ichi_shisu_juni,omo_tekisei_code,kyakushitsu,ichi_shisu_juni,7,815,80.36,12.32,71.23,False
KEIBAJO_SURFACE_07_芝_条件戦,kyori_kubun+hizume_code+kyakushitsu,kyori_kubun,hizume_code,kyakushitsu,10,1637,78.24,11.32,71.23,False
KEIBAJO_SURFACE_07_芝_条件戦,hizume_code+omo_tekisei_code+agari_shisu_juni,hizume_code,omo_tekisei_code,agari_shisu_juni,5,580,79.01,8.88,71.22,False
KEIBAJO_SURFACE_07_芝_条件戦,pace_yoso+omo_tekisei_code+kyakushitsu,pace_yoso,omo_tekisei_code,kyakushitsu,21,4442,75.49,10.04,71.19,False
KEIBAJO_SURFACE_07_芝_条件戦,pace_yoso+omo_tekisei_code+ichi_shisu_juni,pace_yoso,omo_tekisei_code,ichi_shisu_juni,6,694,78.72,9.5,71.11,False
KEIBAJO_SURFACE_07_芝_条件戦,kyori_tekisei+uma_start_shisu+kyakushitsu,kyori_tekisei,uma_start_shisu,kyakushitsu,8,1489,76.18,7.38,71.07,False
KEIBAJO_SURFACE_07_芝_条件戦,kyori_tekisei+tenkai_kigo_code+agari_shisu_juni,kyori_tekisei,tenkai_kigo_code,agari_shisu_juni,23,3283,75.69,11.31,71.07,False
KEIBAJO_SURFACE_07_芝_条件戦,kyori_kubun+kyori_tekisei+ls_shisu_juni,kyori_kubun,kyori_tekisei,ls_shisu_juni,23,4685,76.73,14.02,71.0,False
KEIBAJO_SURFACE_07_芝_条件戦,hizume_code+uma_start_shisu+kyakushitsu,hizume_code,uma_start_shisu,kyakushitsu,4,837,77.29,6.43,70.99,False
KEIBAJO_SURFACE_07_芝_条件戦,omo_tekisei_code+pace_shisu_juni+tenkai_kigo_code,omo_tekisei_code,pace_shisu_juni,tenkai_kigo_code,12,1554,76.45,9.73,70.95,False
KEIBAJO_SURFACE_07_芝_条件戦,hizume_code+kyori_tekisei+uma_start_shisu,hizume_code,kyori_tekisei,uma_start_shisu,4,846,76.14,5.29,70.95,False
KEIBAJO_SURFACE_07_芝_条件戦,uma_deokure_ritsu+pace_yoso+ichi_shisu_juni,uma_deokure_ritsu,pace_yoso,ichi_shisu_juni,6,719,78.45,9.4,70.93,False
KEIBAJO_SURFACE_07_芝_条件戦,pace_yoso+kyori_kubun+ichi_shisu,pace_yoso,kyori_kubun,ichi_shisu,3,1709,72.24,1.19,70.89,False
KEIBAJO_SURFACE_07_芝_条件戦,rotation+kyori_kubun+omo_tekisei_code,rotation,kyori_kubun,omo_tekisei_code,11,1738,74.89,6.77,70.89,False
KEIBAJO_SURFACE_07_芝_条件戦,uma_deokure_ritsu+pace_yoso+manken_shirushi,uma_deokure_ritsu,pace_yoso,manken_shirushi,3,317,76.77,5.23,70.86,False
KEIBAJO_SURFACE_07_芝_条件戦,rotation+kyori_kubun+hizume_code,rotation,kyori_kubun,hizume_code,4,541,72.89,2.12,70.81,False
KEIBAJO_SURFACE_07_芝_条件戦,pace_yoso+ichi_shisu_juni+tenkai_kigo_code,pace_yoso,ichi_shisu_juni,tenkai_kigo_code,11,2423,77.12,10.94,70.66,False
KEIBAJO_SURFACE_07_芝_条件戦,manken_shirushi+ichi_shisu_juni+ichi_shisu,manken_shirushi,ichi_shisu_juni,ichi_shisu,7,1045,76.48,7.91,70.62,False
KEIBAJO_SURFACE_07_芝_条件戦,pace_yoso+ichi_shisu_juni+agari_shisu_juni,pace_yoso,ichi_shisu_juni,agari_shisu_juni,8,1164,77.34,9.72,70.61,False
KEIBAJO_SURFACE_07_芝_条件戦,omo_tekisei_code+ten_shisu_juni+ls_shisu_juni,omo_tekisei_code,ten_shisu_juni,ls_shisu_juni,4,409,83.98,13.65,70.6,False
KEIBAJO_SURFACE_07_芝_条件戦,kyori_kubun+ichi_shisu_juni+ls_shisu_juni,kyori_kubun,ichi_shisu_juni,ls_shisu_juni,7,1491,81.17,14.34,70.54,False
KEIBAJO_SURFACE_07_芝_条件戦,kyori_kubun+hizume_code+omo_tekisei_code,kyori_kubun,hizume_code,omo_tekisei_code,12,2748,75.49,8.8,70.51,False
KEIBAJO_SURFACE_07_芝_条件戦,manken_shirushi+kyakushitsu+ichi_shisu_juni,manken_shirushi,kyakushitsu,ichi_shisu_juni,7,1042,76.13,7.65,70.47,False
KEIBAJO_SURFACE_07_芝_条件戦,pace_yoso+kyori_tekisei+agari_shisu_juni,pace_yoso,kyori_tekisei,agari_shisu_juni,9,1447,75.82,8.3,70.4,False
KEIBAJO_SURFACE_07_芝_条件戦,omo_tekisei_code+tenkai_kigo_code+gekiso_juni,omo_tekisei_code,tenkai_kigo_code,gekiso_juni,12,1393,75.65,9.46,70.29,False
KEIBAJO_SURFACE_07_芝_条件戦,uma_start_shisu+tenkai_kigo_code+kijun_ninkijun_tansho,uma_start_shisu,tenkai_kigo_code,kijun_ninkijun_tansho,4,429,77.01,6.96,70.19,False
KEIBAJO_SURFACE_07_芝_条件戦,pace_yoso+uma_start_shisu+tenkai_kigo_code,pace_yoso,uma_start_shisu,tenkai_kigo_code,8,1719,75.92,8.36,70.13,False
KEIBAJO_SURFACE_07_芝_条件戦,uma_deokure_ritsu+pace_yoso+kyori_tekisei,uma_deokure_ritsu,pace_yoso,kyori_tekisei,11,2256,74.28,7.06,70.1,False
KEIBAJO_SURFACE_07_芝_条件戦,rotation+kyori_kubun+kyakushitsu,rotation,kyori_kubun,kyakushitsu,5,707,77.74,8.72,70.1,False
KEIBAJO_SURFACE_07_芝_条件戦,kyori_kubun+tenkai_kigo_code+agari_shisu_juni,kyori_kubun,tenkai_kigo_code,agari_shisu_juni,18,2756,76.01,12.87,70.06,False
KEIBAJO_SURFACE_07_芝_条件戦,rotation+uma_start_shisu+kyakushitsu,rotation,uma_start_shisu,kyakushitsu,5,698,74.07,4.62,70.03,False
KEIBAJO_SURFACE_07_芝_条件戦,rotation+kyori_kubun+kyori_tekisei,rotation,kyori_kubun,kyori_tekisei,7,1246,74.18,5.67,69.98,False
KEIBAJO_SURFACE_07_芝_条件戦,kyori_kubun+kyori_tekisei+ichi_shisu,kyori_kubun,kyori_tekisei,ichi_shisu,3,1952,70.57,0.55,69.95,False
KEIBAJO_SURFACE_07_芝_条件戦,kyori_kubun+kyori_tekisei+kyakushitsu,kyori_kubun,kyori_tekisei,kyakushitsu,18,4840,75.22,11.4,69.95,False
KEIBAJO_SURFACE_07_芝_条件戦,kyori_kubun+omo_tekisei_code+kyakushitsu,kyori_kubun,omo_tekisei_code,kyakushitsu,18,3902,75.99,13.07,69.95,False
KEIBAJO_SURFACE_07_芝_条件戦,kyori_kubun+kyori_tekisei+ichi_shisu_juni,kyori_kubun,kyori_tekisei,ichi_shisu_juni,6,2097,77.23,9.09,69.95,False
KEIBAJO_SURFACE_07_芝_条件戦,uma_deokure_ritsu+uma_start_shisu+ichi_shisu_juni,uma_deokure_ritsu,uma_start_shisu,ichi_shisu_juni,7,1155,76.17,8.4,69.94,False
KEIBAJO_SURFACE_07_芝_条件戦,uma_deokure_ritsu+omo_tekisei_code+gekiso_juni,uma_deokure_ritsu,omo_tekisei_code,gekiso_juni,9,1056,76.22,9.66,69.91,False
KEIBAJO_SURFACE_07_芝_条件戦,kyori_kubun+kyori_tekisei+tenkai_kigo_code,kyori_kubun,kyori_tekisei,tenkai_kigo_code,19,5101,75.3,12.0,69.9,False
KEIBAJO_SURFACE_07_芝_条件戦,kyori_tekisei+uma_start_shisu+tenkai_kigo_code,kyori_tekisei,uma_start_shisu,tenkai_kigo_code,7,1433,75.72,7.94,69.84,False
KEIBAJO_SURFACE_07_芝_条件戦,uma_deokure_ritsu+hizume_code+kyori_tekisei,uma_deokure_ritsu,hizume_code,kyori_tekisei,7,1252,74.82,6.83,69.76,False
KEIBAJO_SURFACE_07_芝_条件戦,kyori_tekisei+omo_tekisei_code+kyakushitsu,kyori_tekisei,omo_tekisei_code,kyakushitsu,18,3703,75.48,12.46,69.72,False
KEIBAJO_SURFACE_07_芝_条件戦,hizume_code+manken_shirushi+omo_tekisei_code,hizume_code,manken_shirushi,omo_tekisei_code,5,603,77.93,9.38,69.7,False
KEIBAJO_SURFACE_07_芝_条件戦,kyakushitsu+tenkai_kigo_code+agari_shisu_juni,kyakushitsu,tenkai_kigo_code,agari_shisu_juni,24,3227,74.36,11.76,69.66,False
KEIBAJO_SURFACE_07_芝_条件戦,kyori_kubun+manken_shirushi+ichi_shisu_juni,kyori_kubun,manken_shirushi,ichi_shisu_juni,6,667,78.71,11.36,69.63,False
KEIBAJO_SURFACE_07_芝_条件戦,uma_deokure_ritsu+kyakushitsu+ten_shisu_juni,uma_deokure_ritsu,kyakushitsu,ten_shisu_juni,3,344,86.43,14.86,69.62,False
KEIBAJO_SURFACE_07_芝_条件戦,uma_deokure_ritsu+pace_yoso+kyori_kubun,uma_deokure_ritsu,pace_yoso,kyori_kubun,10,2364,73.22,5.84,69.6,False
KEIBAJO_SURFACE_07_芝_条件戦,hizume_code+kyakushitsu+ls_shisu_juni,hizume_code,kyakushitsu,ls_shisu_juni,7,1236,75.41,7.88,69.57,False
KEIBAJO_SURFACE_07_芝_条件戦,uma_deokure_ritsu+kyori_kubun+ichi_shisu_juni,uma_deokure_ritsu,kyori_kubun,ichi_shisu_juni,6,725,77.67,10.18,69.53,False
