segment,factors,factor1,factor2,factor3,n_bins,n_bets,mean_roi,std_roi,clb,pass
KEIBAJO_SURFACE_01_芝,pace_yoso+manken_shirushi+umakigo_code,pace_yoso,manken_shirushi,umakigo_code,22,5732,76.49,8.68,72.86,False
KEIBAJO_SURFACE_01_芝,kyori_kubun+kyori_tekisei+ichi_shisu_juni,kyori_kubun,kyori_tekisei,ichi_shisu_juni,23,4014,75.75,7.08,72.85,False
KEIBAJO_SURFACE_01_芝,kyori_tekisei_2+kyori_tekisei+umakigo_code,kyori_tekisei_2,kyori_tekisei,umakigo_code,3,1472,76.61,3.32,72.85,False
KEIBAJO_SURFACE_01_芝,kyakushitsu+uma_deokure_ritsu+pace_shisu_juni,kyakushitsu,uma_deokure_ritsu,pace_shisu_juni,7,871,76.45,4.89,72.83,False
KEIBAJO_SURFACE_01_芝,joken_class_code+pace_shisu_juni+joshodo_code,joken_class_code,pace_shisu_juni,joshodo_code,40,7090,75.26,8.01,72.78,False
KEIBAJO_SURFACE_01_芝,pace_yoso+kyakushitsu+kakutoku_shokin_ruikei,pace_yoso,kyakushitsu,kakutoku_shokin_ruikei,3,1060,76.98,3.73,72.75,False
KEIBAJO_SURFACE_01_芝,kyori_kubun+pace_yoso+joshodo_code,kyori_kubun,pace_yoso,joshodo_code,16,9442,74.0,2.58,72.74,False
KEIBAJO_SURFACE_01_芝,uma_start_shisu+hizume_code+umakigo_code,uma_start_shisu,hizume_code,umakigo_code,17,3272,77.21,9.41,72.74,False
KEIBAJO_SURFACE_01_芝,manken_shirushi+kyori_tekisei+umakigo_code,manken_shirushi,kyori_tekisei,umakigo_code,32,5685,76.54,11.0,72.73,False
KEIBAJO_SURFACE_01_芝,joken_class_code+uma_start_shisu+joshodo_code,joken_class_code,uma_start_shisu,joshodo_code,22,5594,76.59,9.26,72.72,False
KEIBAJO_SURFACE_01_芝,manken_shirushi+rotation+joshodo_code,manken_shirushi,rotation,joshodo_code,15,2087,76.52,7.62,72.67,False
KEIBAJO_SURFACE_01_芝,joken_class_code+uma_start_shisu+kyakushitsu,joken_class_code,uma_start_shisu,kyakushitsu,16,2891,78.07,11.11,72.63,False
KEIBAJO_SURFACE_01_芝,uma_deokure_ritsu+hizume_code+joshodo_code,uma_deokure_ritsu,hizume_code,joshodo_code,8,2515,78.97,9.16,72.62,False
KEIBAJO_SURFACE_01_芝,kyori_kubun+joken_class_code+umakigo_code,kyori_kubun,joken_class_code,umakigo_code,16,8772,74.37,3.56,72.62,False
