phase,segment,combo,bin_key,n_horses,tansho_n,tansho_hit_rate,tansho_roi_raw,tansho_roi_corr,fukusho_n,fukusho_hit_rate,fukusho_roi_raw,fukusho_roi_corr,combo_clb,combo_mean_roi
3,GLOBAL_条件戦,kyori_tekisei_2+uma_deokure_ritsu+kyori_tekisei,5|0.0|1,327,327,22.94,76.76,81.68,327,49.85,84.95,85.29,83.88,87.99
3,SURFACE_2_芝_条件戦,kyori_tekisei_2+joshodo_code+omo_tekisei_code,2|3|3,289,289,14.88,53.18,62.19,289,46.37,84.81,85.21,84.61,88.74
3,SURFACE_2_芝_条件戦,kyori_tekisei_2+kyori_kubun+kyori_tekisei,2|中距離|5,343,343,15.74,57.73,63.63,343,46.94,85.39,85.08,85.79,88.53
3,COURSE_27_02_芝_短距離,pace_yoso+uma_start_shisu+tenkai_kigo_code,H|0.0|0,320,320,8.44,83.47,90.61,320,25.94,94.69,84.72,84.22,90.99
3,GLOBAL_条件戦,kyori_tekisei_2+umakigo_code+da_tekisei_code,5|00|2,486,486,22.84,66.87,77.31,486,51.65,77.76,84.71,82.05,88.19
3,SURFACE_2_芝_条件戦,kyori_tekisei_2+kyori_tekisei+joshodo_code,5|1|3,299,299,17.73,99.36,79.5,299,44.48,83.11,84.58,82.35,86.71
3,GLOBAL_条件戦,kyori_tekisei_2+pace_yoso+umakigo_code,5|M|00,390,390,19.49,84.82,81.67,390,45.64,84.26,84.53,85.08,88.56
3,GLOBAL_条件戦,kyori_tekisei_2+umakigo_code+omo_tekisei_code,5|00|2,558,558,19.35,65.0,78.12,558,46.42,81.09,84.19,85.06,89.11
3,KEIBAJO_SURFACE_06_ダ_新馬,kishu_minarai_code+umakigo_code+kyusha_hyoka_code,1|00|3,291,291,8.25,120.34,99.91,291,24.74,93.47,83.54,80.63,83.2
3,COURSE_27_02_芝_短距離,kyori_tekisei+uma_start_shisu+uma_deokure_ritsu,1|0.0|0.0,303,303,12.21,84.98,75.24,303,34.98,93.17,83.51,85.96,95.52
3,GLOBAL_条件戦,kyori_tekisei_2+umakigo_code+kyakushitsu,5|00|2,429,429,20.75,69.3,82.08,429,46.39,76.29,82.24,84.66,88.97
3,COURSE_27_05_ダ_マイル,da_tekisei_code+ten_shisu_juni+pace_shisu_juni,2|1.0|1.0,429,429,17.25,65.85,77.94,429,40.56,85.41,82.15,80.46,84.91
3,COURSE_27_02_芝_短距離,kyori_tekisei+uma_start_shisu+tenkai_kigo_code,1|0.0|0,332,332,8.43,104.34,85.54,332,27.41,89.73,82.1,84.95,92.97
3,KEIBAJO_SURFACE_08_芝_条件戦,tenkai_kigo_code+hizume_code+uma_start_shisu,0|10|0.0,425,425,9.88,122.24,90.79,425,31.53,92.73,81.99,80.32,85.05
3,GLOBAL_条件戦,kyori_tekisei_2+pace_yoso+umakigo_code,5|H|00,498,498,16.87,74.16,68.85,498,44.98,78.05,81.78,85.08,88.56
3,KEIBAJO_SURFACE_09_ダ_新馬,kyuyo_riyu_bunrui_code+pace_yoso+uma_start_shisu,01|H|0.0,438,438,8.45,93.9,76.01,438,27.17,94.98,80.87,83.75,86.52
3,COURSE_27_02_芝_短距離,umakigo_code+ls_shisu_juni+uma_deokure_ritsu,00|4.0|0.0,690,690,6.67,79.68,88.07,690,24.06,97.45,80.62,80.08,84.26
3,KEIBAJO_SURFACE_06_ダ_新馬,kishu_minarai_code+umakigo_code+kyusha_hyoka_code,3|00|3,572,572,6.47,80.19,76.18,572,22.73,86.43,79.37,80.63,83.2
3,GLOBAL_条件戦,kyori_tekisei_2+umakigo_code+omo_tekisei_code,5|00|3,298,298,14.09,107.35,79.08,298,37.58,80.13,79.14,85.06,89.11
3,COURSE_27_05_芝_マイル,hizume_code+uma_deokure_ritsu+kyakushitsu,23|0.0|3,310,310,10.32,90.97,76.6,310,31.61,82.71,77.42,80.28,83.12
3,KEIBAJO_SURFACE_04_芝_条件戦,uma_start_shisu+rotation+tenkai_kigo_code,0.0|2.0|0,330,330,6.36,56.79,67.58,330,26.97,69.45,76.71,81.97,83.96
3,GLOBAL_条件戦,kyori_tekisei_2+kyori_kubun+umakigo_code,5|中距離|00,336,336,13.1,79.46,74.91,336,36.31,79.14,76.51,83.65,88.11
3,KEIBAJO_SURFACE_08_芝_条件戦,tenkai_kigo_code+hizume_code+uma_start_shisu,0|22|0.0,289,289,7.96,77.58,87.5,289,26.64,87.23,76.16,80.32,85.05
3,GLOBAL_条件戦,kyori_tekisei_2+umakigo_code+kyori_tekisei,5|00|2,303,303,12.54,45.08,68.65,303,35.97,70.3,74.68,80.28,86.29
