phase,segment,factor_count,total_bins,bins_1_9,bins_10_99,bins_100_149,bins_150_299,bins_300_499,bins_500_plus,ratio_1_9,ratio_10_99,ratio_100_149,ratio_150_299,ratio_300_499,ratio_500_plus,factors_with_any_1digit_bin,factors_with_any_2digit_bin,factors_with_all_bins_ge_150,factors_with_all_bins_ge_300,factors_with_all_bins_ge_500
4,KEIBAJO_SURFACE_02_芝_条件戦,7,12087,11875,191,17,4,0,0,0.9825,0.0158,0.0014,0.0003,0.0,0.0,7,7,0,0,0
4,KEIBAJO_SURFACE_03_ダ,1,3566,3389,174,3,0,0,0,0.9504,0.0488,0.0008,0.0,0.0,0.0,1,1,0,0,0
4,KEIBAJO_SURFACE_03_芝,1,6416,6316,97,3,0,0,0,0.9844,0.0151,0.0005,0.0,0.0,0.0,1,1,0,0,0
4,KEIBAJO_SURFACE_04_ダ,5,13535,12317,1194,22,2,0,0,0.91,0.0882,0.0016,0.0001,0.0,0.0,5,5,0,0,0
4,KEIBAJO_SURFACE_04_ダ_条件戦,2,4751,4628,116,5,2,0,0,0.9741,0.0244,0.0011,0.0004,0.0,0.0,2,2,0,0,0
4,KEIBAJO_SURFACE_05_ダ_条件戦,1,1999,1780,216,3,0,0,0,0.8904,0.1081,0.0015,0.0,0.0,0.0,1,1,0,0,0
4,KEIBAJO_SURFACE_05_芝,10,16019,14698,1288,19,11,3,0,0.9175,0.0804,0.0012,0.0007,0.0002,0.0,10,10,0,0,0
4,KEIBAJO_SURFACE_05_芝_未勝利,1,344,265,76,3,0,0,0,0.7703,0.2209,0.0087,0.0,0.0,0.0,1,1,0,0,0
4,KEIBAJO_SURFACE_05_芝_条件戦,2,2243,1877,360,6,0,0,0,0.8368,0.1605,0.0027,0.0,0.0,0.0,2,2,0,0,0
4,KEIBAJO_SURFACE_06_ダ_新馬,1,688,472,213,3,0,0,0,0.686,0.3096,0.0044,0.0,0.0,0.0,1,1,0,0,0
4,KEIBAJO_SURFACE_06_ダ_未勝利,1,605,490,112,3,0,0,0,0.8099,0.1851,0.005,0.0,0.0,0.0,1,1,0,0,0
4,KEIBAJO_SURFACE_06_ダ_条件戦,6,9795,8228,1535,27,5,0,0,0.84,0.1567,0.0028,0.0005,0.0,0.0,6,6,0,0,0
4,KEIBAJO_SURFACE_06_芝,1,1255,908,340,7,0,0,0,0.7235,0.2709,0.0056,0.0,0.0,0.0,1,1,0,0,0
4,KEIBAJO_SURFACE_06_芝_1勝クラス,1,173,116,54,3,0,0,0,0.6705,0.3121,0.0173,0.0,0.0,0.0,1,1,0,0,0
4,KEIBAJO_SURFACE_07_ダ,4,8274,7315,938,16,5,0,0,0.8841,0.1134,0.0019,0.0006,0.0,0.0,4,4,0,0,0
4,KEIBAJO_SURFACE_07_ダ_条件戦,3,2516,2169,336,11,0,0,0,0.8621,0.1335,0.0044,0.0,0.0,0.0,3,3,0,0,0
4,KEIBAJO_SURFACE_07_芝,8,25668,23292,2345,29,2,0,0,0.9074,0.0914,0.0011,0.0001,0.0,0.0,8,8,0,0,0
4,KEIBAJO_SURFACE_07_芝_条件戦,6,14132,13717,394,11,10,0,0,0.9706,0.0279,0.0008,0.0007,0.0,0.0,6,6,0,0,0
4,KEIBAJO_SURFACE_08_ダ,4,9345,8010,1322,13,0,0,0,0.8571,0.1415,0.0014,0.0,0.0,0.0,4,4,0,0,0
4,KEIBAJO_SURFACE_08_ダ_条件戦,3,5269,4849,411,7,2,0,0,0.9203,0.078,0.0013,0.0004,0.0,0.0,3,3,0,0,0
4,KEIBAJO_SURFACE_08_芝,1,3063,2751,308,4,0,0,0,0.8981,0.1006,0.0013,0.0,0.0,0.0,1,1,0,0,0
4,KEIBAJO_SURFACE_09_ダ,2,6756,6000,734,22,0,0,0,0.8881,0.1086,0.0033,0.0,0.0,0.0,2,2,0,0,0
4,KEIBAJO_SURFACE_09_ダ_新馬,2,218,156,49,7,6,0,0,0.7156,0.2248,0.0321,0.0275,0.0,0.0,2,2,0,0,0
4,KEIBAJO_SURFACE_09_ダ_未勝利,3,1179,886,284,8,1,0,0,0.7515,0.2409,0.0068,0.0008,0.0,0.0,3,3,0,0,0
4,KEIBAJO_SURFACE_09_ダ_条件戦,11,18635,16583,1989,56,7,0,0,0.8899,0.1067,0.003,0.0004,0.0,0.0,11,11,0,0,0
4,KEIBAJO_SURFACE_09_芝_1勝クラス,1,33,18,11,4,0,0,0,0.5455,0.3333,0.1212,0.0,0.0,0.0,1,1,0,0,0
4,KEIBAJO_SURFACE_10_ダ,3,4170,3630,528,12,0,0,0,0.8705,0.1266,0.0029,0.0,0.0,0.0,3,3,0,0,0
4,KEIBAJO_SURFACE_10_芝,2,1666,1142,517,7,0,0,0,0.6855,0.3103,0.0042,0.0,0.0,0.0,2,2,0,0,0
4,KEIBAJO_SURFACE_10_芝_条件戦,1,164,82,78,4,0,0,0,0.5,0.4756,0.0244,0.0,0.0,0.0,1,1,0,0,0
4,SURFACE_2_ダ_OP重賞,1,1957,1784,170,3,0,0,0,0.9116,0.0869,0.0015,0.0,0.0,0.0,1,1,0,0,0
4,SURFACE_2_ダ_未勝利,2,7045,6471,567,7,0,0,0,0.9185,0.0805,0.001,0.0,0.0,0.0,2,2,0,0,0
4,SURFACE_2_ダ_条件戦,2,7509,5054,2399,48,8,0,0,0.6731,0.3195,0.0064,0.0011,0.0,0.0,2,2,0,0,0
4,SURFACE_2_芝_条件戦,7,443,267,150,17,8,1,0,0.6027,0.3386,0.0384,0.0181,0.0023,0.0,7,7,0,0,0
