phase,segment,combo,adoption_level,reason,total_bins,min_bin_n,median_bin_n,eff_min_bin_n,ratio_1_9,ratio_10_99,ratio_500_plus,small_headcount_sensitive,all_existing_bins_ge_150,all_existing_bins_ge_300,all_existing_bins_ge_500,reviewer_comment
2,GLOBAL_条件戦,kyori_tekisei_2+pace_shisu_juni,reject,too many bins (67); combo splits data too finely,67,1,17.0,1,0.2687,0.6119,0.0,True,False,False,False,18 bins with n<10; only 67/90 possible bins observed
2,GLOBAL_条件戦,kyori_tekisei_2+pace_yoso,reject,"min_bin_n=14 fails 150 threshold (bins_10_99=4, bins_100_149=4)",12,14,129.0,14,0.0,0.3333,0.1667,False,False,False,False,only 12/25 possible bins observed
2,GLOBAL_条件戦,kyori_tekisei_2+rotation_bin,reject,too many bins (32); combo splits data too finely,32,1,36.0,1,0.1562,0.5625,0.0,False,False,False,False,5 bins with n<10
2,GLOBAL_条件戦,kyori_tekisei_2+sogo_shisu_decile,reject,too many bins (34); combo splits data too finely,34,1,29.0,1,0.2647,0.4412,0.0,False,False,False,False,9 bins with n<10
2,GLOBAL_条件戦,kyori_tekisei_2+ten_shisu_juni,reject,too many bins (67); combo splits data too finely,67,1,20.0,1,0.2687,0.5821,0.0,True,False,False,False,18 bins with n<10; only 67/90 possible bins observed
2,GLOBAL_条件戦,kyori_tekisei_2+tenkai_kigo_code,reject,has 1-digit bins (bins_1_9=2),20,2,62.5,2,0.1,0.45,0.05,False,False,False,False,2 bins with n<10; only 20/30 possible bins observed
2,GLOBAL_条件戦,kyori_tekisei_2+uma_deokure_bin,reject,has 1-digit bins (bins_1_9=3),20,1,57.5,1,0.15,0.55,0.0,False,False,False,False,3 bins with n<10
2,GLOBAL_条件戦,kyori_tekisei_2+uma_start_shisu_decile,reject,too many bins (32); combo splits data too finely,32,7,63.5,7,0.0938,0.625,0.0,False,False,False,False,3 bins with n<10
2,GLOBAL_条件戦,kyori_tekisei_2+umakigo_code,reject,has 1-digit bins (bins_1_9=3),9,1,35.0,1,0.3333,0.2222,0.2222,False,False,False,False,3 bins with n<10; only 9/30 possible bins observed
2,KEIBAJO_SURFACE_01_ダ,agari_shisu_juni+chokyo_shisu_decile,reject,too many bins (140); combo splits data too finely,140,3,44.0,6,0.0786,0.85,0.0,True,False,False,False,11 bins with n<10; 14 SHS tail bins excluded from eff. check
2,KEIBAJO_SURFACE_01_ダ,agari_shisu_juni+kijun_ninkijun_tansho,reject,too many bins (196); combo splits data too finely,196,1,35.0,1,0.148,0.8367,0.0,True,False,False,False,29 bins with n<10; 27 SHS tail bins excluded from eff. check
2,KEIBAJO_SURFACE_01_ダ,gekiso_juni+kyusha_shisu_decile,reject,too many bins (140); combo splits data too finely,140,7,46.0,9,0.0286,0.9357,0.0,True,False,False,False,4 bins with n<10; 16 SHS tail bins excluded from eff. check
2,KEIBAJO_SURFACE_01_ダ,gekiso_juni+ninki_shisu_decile,reject,too many bins (139); combo splits data too finely,139,1,49.0,1,0.1439,0.7986,0.0,True,False,False,False,20 bins with n<10; 13 SHS tail bins excluded from eff. check
2,KEIBAJO_SURFACE_01_ダ,manken_shirushi+agari_shisu_juni,reject,too many bins (112); combo splits data too finely,112,5,40.0,5,0.0714,0.9018,0.0,True,False,False,False,8 bins with n<10; only 112/162 possible bins observed
2,KEIBAJO_SURFACE_01_ダ,pace_shisu_juni+chokyo_shisu_decile,reject,too many bins (140); combo splits data too finely,140,5,42.0,5,0.05,0.9,0.0,True,False,False,False,7 bins with n<10; 14 SHS tail bins excluded from eff. check
2,KEIBAJO_SURFACE_01_ダ,ten_shisu_juni+chokyo_shisu_decile,reject,too many bins (140); combo splits data too finely,140,5,46.5,5,0.0214,0.9429,0.0,True,False,False,False,3 bins with n<10; 16 SHS tail bins excluded from eff. check
2,KEIBAJO_SURFACE_01_ダ_新馬,kishu_shisu_decile+kijun_ninkijun_tansho,reject,too many bins (66); combo splits data too finely,66,1,20.5,1,0.3939,0.5303,0.0,False,False,False,False,26 bins with n<10
2,KEIBAJO_SURFACE_01_ダ_新馬,kyusha_shisu_decile+sogo_shisu_decile,reject,too many bins (73); combo splits data too finely,73,1,23.0,1,0.3288,0.6301,0.0,False,False,False,False,24 bins with n<10
2,KEIBAJO_SURFACE_01_ダ_新馬,uma_deokure_bin+kyusha_shisu_decile,reject,too many bins (50); combo splits data too finely,50,13,34.5,13,0.0,0.92,0.0,False,False,False,False,ok
2,KEIBAJO_SURFACE_01_ダ_条件戦,bataiju_zogen+hizume_code,reject,too many bins (274); combo splits data too finely,274,1,3.0,1,0.7044,0.281,0.0,False,False,False,False,193 bins with n<10
2,KEIBAJO_SURFACE_01_ダ_条件戦,rotation_bin+chokyo_shisu_decile,reject,too many bins (80); combo splits data too finely,80,1,34.0,1,0.1875,0.7625,0.0,False,False,False,False,15 bins with n<10
2,KEIBAJO_SURFACE_01_芝,agari_shisu_juni+gekiso_juni,reject,too many bins (256); combo splits data too finely,256,1,32.0,4,0.1602,0.8125,0.0,True,False,False,False,41 bins with n<10; 58 SHS tail bins excluded from eff. check; only 256/324 possible bins observed
2,KEIBAJO_SURFACE_01_芝,kyori_tekisei_2+kishu_shisu_decile,reject,too many bins (39); combo splits data too finely,39,1,44.0,1,0.3077,0.5897,0.0,False,False,False,False,12 bins with n<10
