phase,segment,combo,bin_key,n_horses,tansho_n,tansho_hit_rate,tansho_roi_raw,tansho_roi_corr,fukusho_n,fukusho_hit_rate,fukusho_roi_raw,fukusho_roi_corr,combo_clb,combo_mean_roi
1,COURSE_27_04_芝_短距離,kishu_kitai_sanchakunai_ritsu,16.3,77,77,2.6,37.66,42.9,77,10.39,32.34,43.25,76.76,87.53
1,COURSE_27_04_芝_短距離,kishu_kitai_sanchakunai_ritsu,11.4,67,67,1.49,50.15,38.51,67,7.46,41.04,39.95,76.76,87.53
1,COURSE_27_06_ダ_長距離,manken_shirushi,3,105,105,16.19,226.76,132.99,105,34.29,115.05,92.98,76.92,88.52
1,COURSE_27_06_ダ_長距離,manken_shirushi,7,87,87,10.34,45.98,91.24,87,32.18,85.75,90.45,76.92,88.52
1,COURSE_27_06_ダ_長距離,manken_shirushi,1,108,108,7.41,84.54,80.39,108,27.78,94.35,87.03,76.92,88.52
1,COURSE_27_06_ダ_長距離,manken_shirushi,2,106,106,11.32,106.7,90.46,106,31.13,92.64,84.71,76.92,88.52
1,COURSE_27_06_ダ_長距離,manken_shirushi,6,97,97,7.22,57.63,60.48,97,26.8,82.27,70.18,76.92,88.52
1,COURSE_27_06_ダ_長距離,manken_shirushi,4,103,103,9.71,51.26,98.68,103,23.3,58.25,67.76,76.92,88.52
1,COURSE_27_06_ダ_長距離,manken_shirushi,5,97,97,11.34,76.6,89.46,97,25.77,58.04,66.57,76.92,88.52
1,COURSE_27_06_ダ_長距離,manken_shirushi,8,84,84,5.95,35.71,43.42,84,16.67,37.86,39.66,76.92,88.52
1,COURSE_27_08_ダ_短距離,kishu_minarai_code,2,169,169,7.1,61.95,91.44,169,22.49,79.82,77.99,76.51,78.48
1,COURSE_27_08_ダ_短距離,kishu_minarai_code,1,293,293,7.51,86.86,103.04,293,21.5,76.14,76.44,76.51,78.48
1,COURSE_27_08_ダ_短距離,kishu_minarai_code,3,259,259,6.56,90.27,88.18,259,20.46,90.69,71.99,76.51,78.48
1,COURSE_27_08_芝_マイル,rotation,13.0,121,121,14.88,107.69,133.88,121,32.23,92.31,88.61,75.08,78.81
1,COURSE_27_08_芝_マイル,rotation,12.0,157,157,9.55,137.64,93.39,157,29.3,102.42,83.81,75.08,78.81
1,COURSE_27_08_芝_マイル,rotation,7.0,298,298,11.41,101.81,89.73,298,31.88,82.01,81.77,75.08,78.81
1,COURSE_27_08_芝_マイル,rotation,0.0,101,101,6.93,99.7,114.77,101,21.78,94.46,80.72,75.08,78.81
1,COURSE_27_08_芝_マイル,rotation,4.0,396,396,9.6,57.8,78.29,396,29.8,79.62,77.89,75.08,78.81
1,COURSE_27_08_芝_マイル,rotation,9.0,244,244,11.07,100.66,94.0,244,27.05,80.0,77.09,75.08,78.81
1,COURSE_27_08_芝_マイル,rotation,14.0,101,101,6.93,132.57,69.36,101,25.74,102.67,76.82,75.08,78.81
1,COURSE_27_08_芝_マイル,rotation,5.0,310,310,9.35,70.13,70.5,310,29.68,83.81,76.45,75.08,78.81
1,COURSE_27_08_芝_マイル,rotation,2.0,1139,1139,11.41,104.06,88.86,1139,30.47,83.19,76.06,75.08,78.81
1,COURSE_27_08_芝_マイル,rotation,8.0,279,279,8.96,74.95,78.11,279,27.6,95.7,74.42,75.08,78.81
1,COURSE_27_08_芝_マイル,rotation,16.0,53,53,13.21,189.62,152.42,53,24.53,89.06,74.26,75.08,78.81
1,COURSE_27_08_芝_マイル,rotation,10.0,227,227,7.93,87.31,63.37,227,27.31,88.68,73.25,75.08,78.81
1,COURSE_27_08_芝_マイル,rotation,3.0,842,842,9.03,50.11,66.52,842,29.93,77.16,71.86,75.08,78.81
1,COURSE_27_08_芝_マイル,rotation,1.0,687,687,8.15,80.63,79.94,687,25.62,74.4,71.6,75.08,78.81
1,COURSE_27_08_芝_マイル,rotation,11.0,157,157,8.92,41.85,78.61,157,25.48,67.07,71.17,75.08,78.81
1,COURSE_27_08_芝_マイル,rotation,6.0,292,292,9.93,73.15,85.07,292,26.37,67.36,70.5,75.08,78.81
1,COURSE_27_08_芝_マイル,rotation,15.0,70,70,7.14,70.14,59.56,70,21.43,52.71,60.23,75.08,78.81
1,COURSE_27_08_芝_マイル,rotation,17.0,51,51,5.88,46.47,63.09,51,15.69,71.76,48.59,75.08,78.81
1,GLOBAL,joho_shisu,5.6,71,71,46.48,115.77,108.73,71,71.83,91.13,96.37,75.58,77.86
1,GLOBAL,joho_shisu,5.5,93,93,25.81,69.14,71.75,93,64.52,92.37,92.16,75.58,77.86
1,GLOBAL,joho_shisu,5.2,175,175,36.0,109.09,87.38,175,66.29,88.97,90.67,75.58,77.86
1,GLOBAL,joho_shisu,4.9,434,434,34.56,73.73,77.19,434,67.51,85.71,89.85,75.58,77.86
1,GLOBAL,joho_shisu,5.4,111,111,26.13,85.68,65.48,111,63.96,87.84,89.52,75.58,77.86
1,GLOBAL,joho_shisu,4.2,1828,1828,34.25,87.98,85.2,1828,65.97,88.58,89.52,75.58,77.86
1,GLOBAL,joho_shisu,4.6,804,804,37.06,83.78,86.47,804,65.8,87.11,88.51,75.58,77.86
1,GLOBAL,joho_shisu,4.5,1009,1009,36.57,86.41,86.31,1009,65.51,86.86,87.47,75.58,77.86
1,GLOBAL,joho_shisu,4.7,632,632,35.13,83.24,83.37,632,64.87,85.38,87.37,75.58,77.86
1,GLOBAL,joho_shisu,4.4,1144,1144,34.44,81.64,82.23,1144,64.77,84.99,87.29,75.58,77.86
