phase,segment,combo,bin_key,n_horses,tansho_n,tansho_hit_rate,tansho_roi_raw,tansho_roi_corr,fukusho_n,fukusho_hit_rate,fukusho_roi_raw,fukusho_roi_corr,combo_clb,combo_mean_roi
4,GLOBAL_条件戦,kyori_tekisei_2+uma_deokure_ritsu+pace_yoso+umakigo_code,2|0.0|M|00,181,181,23.76,78.73,80.9,181,56.35,85.36,93.09,82.42,87.39
4,KEIBAJO_SURFACE_09_ダ_条件戦,omo_tekisei_code+kyori_tekisei+ichi_shisu_juni+hizume_code,2|2|2.0|10,139,139,17.27,62.66,77.79,139,51.08,91.87,93.08,81.3,96.39
4,COURSE_27_09_ダ_中距離,joken_class_code+joshodo_code+kijun_ninkijun_tansho+gekiso_juni,0|3|1|1.0,221,221,36.65,72.62,69.66,221,76.47,87.96,92.99,81.28,87.38
4,KEIBAJO_SURFACE_06_ダ_条件戦,hizume_code+pace_yoso+tenkai_kigo_code+agari_shisu_juni,23|H|3|2.0,136,136,17.65,94.34,96.8,136,44.12,109.49,92.65,87.22,91.51
4,KEIBAJO_SURFACE_09_ダ_条件戦,uma_deokure_ritsu+omo_tekisei_code+manken_shirushi+hizume_code,0.0|2|4|10,144,144,14.58,42.08,82.1,144,44.44,102.92,92.63,81.22,86.45
4,GLOBAL_条件戦,kyori_tekisei_2+manken_shirushi+umakigo_code+kyori_tekisei,2|1|00|5,195,195,22.56,67.74,72.23,195,54.87,87.28,92.58,87.83,92.13
4,KEIBAJO_SURFACE_04_ダ,manken_shirushi+kyori_kubun+kyori_tekisei+uma_start_shisu,1|中距離|2|0.0,145,145,7.59,53.17,63.56,145,33.79,106.76,92.56,83.2,86.29
4,COURSE_27_09_ダ_中距離,omo_tekisei_code+joshodo_code+kijun_ninkijun_tansho+gekiso_juni,2|3|1|1.0,198,198,39.39,76.01,76.92,198,75.76,88.38,92.52,82.38,85.81
4,KEIBAJO_SURFACE_05_芝,kyori_tekisei_2+omo_tekisei_code+kyori_tekisei+uma_deokure_ritsu,3|2|2|0.0,147,147,17.01,63.2,86.14,147,44.9,91.77,92.5,87.14,89.45
4,SURFACE_2_芝_条件戦,kyori_tekisei_2+pace_yoso+kyori_tekisei+joshodo_code,2|M|5|3,266,266,19.17,62.07,73.65,266,53.76,88.61,92.44,80.02,85.84
4,COURSE_27_06_ダ_短距離,pace_yoso+manken_shirushi+da_tekisei_code+gekiso_juni,H|2|2|1.0,139,139,25.18,82.09,94.72,139,51.8,91.29,91.98,82.81,87.39
4,KEIBAJO_SURFACE_02_芝_条件戦,pace_yoso+kyori_kubun+kyakushitsu+uma_deokure_ritsu,H|短距離|2|0.0,156,156,8.97,78.53,79.47,156,30.77,107.37,91.86,84.22,94.78
4,COURSE_27_08_芝_中距離,rotation+hizume_code+shiba_tekisei_code+joshodo_code,2.0|22|2|3,155,155,14.19,81.1,84.82,155,43.87,101.29,91.84,83.01,87.72
4,GLOBAL_条件戦,kyori_tekisei_2+kyori_kubun+umakigo_code+uma_start_shisu,2|中距離|00|0.0,206,206,19.42,79.13,77.86,206,49.51,91.75,91.8,84.2,92.53
4,COURSE_27_07_ダ_短距離,joken_class_code+kishu_minarai_code+ls_shisu_juni+umakigo_code,1|3|5.0|00,134,134,6.72,93.88,116.2,134,21.64,93.81,91.69,83.5,87.74
4,COURSE_27_09_ダ_中距離,omo_tekisei_code+umakigo_code+kijun_ninkijun_tansho+gekiso_juni,2|00|1|1.0,201,201,39.3,74.88,75.73,201,75.12,87.11,91.68,82.64,86.08
4,COURSE_27_10_芝_中距離,pace_yoso+hizume_code+joken_class_code+kyakushitsu,M|10|0|2,132,132,17.42,120.15,119.0,132,37.12,84.47,91.54,81.78,86.68
4,KEIBAJO_SURFACE_06_ダ_条件戦,pace_yoso+rotation+tenkai_kigo_code+agari_shisu_juni,H|2.0|2|1.0,161,161,19.88,51.3,77.29,161,50.31,93.42,91.44,82.14,88.89
4,GLOBAL_条件戦,kyori_tekisei_2+uma_deokure_ritsu+kyori_kubun+umakigo_code,2|0.0|マイル|00,151,151,24.5,82.98,75.28,151,58.94,80.46,91.4,85.9,88.32
4,GLOBAL_条件戦,kyori_tekisei_2+pace_yoso+kyori_tekisei+uma_start_shisu,2|H|5|0.0,151,151,18.54,79.01,78.02,151,47.02,85.5,91.34,89.17,91.89
4,KEIBAJO_SURFACE_04_ダ,manken_shirushi+kyori_kubun+kyori_tekisei+uma_start_shisu,2|中距離|2|0.0,137,137,10.95,66.72,62.86,137,39.42,90.88,91.24,83.2,86.29
4,GLOBAL_条件戦,kyori_tekisei_2+manken_shirushi+umakigo_code+kyori_tekisei,2|3|00|5,151,151,25.17,78.54,81.76,151,56.29,81.39,91.1,87.83,92.13
4,KEIBAJO_SURFACE_06_ダ_新馬,kyori_kubun+kyakushitsu+kyori_tekisei+kijun_ninkijun_tansho,短距離|2|1|1,136,136,35.29,102.43,96.5,136,63.24,87.79,90.86,86.33,87.59
4,GLOBAL_条件戦,kyori_tekisei_2+uma_deokure_ritsu+kyori_kubun+kyori_tekisei,2|0.0|マイル|5,148,148,24.32,82.3,73.91,148,58.78,79.46,90.54,85.4,88.47
4,GLOBAL_条件戦,kyori_tekisei_2+pace_yoso+kyori_kubun+umakigo_code,2|H|中距離|00,345,345,17.68,63.65,75.02,345,48.12,82.64,90.5,81.25,87.4
4,GLOBAL_条件戦,kyori_tekisei_2+kyori_kubun+umakigo_code+kyori_tekisei,2|マイル|00|5,321,321,22.43,68.07,72.9,321,56.39,77.98,90.46,83.16,88.05
4,GLOBAL_条件戦,kyori_tekisei_2+umakigo_code+kyori_tekisei+hizume_code,5|00|1|10,157,157,24.2,73.38,83.78,157,54.14,87.96,90.23,82.25,90.42
4,COURSE_27_01_ダ_中距離,pace_yoso+hizume_code+kyakushitsu+kyori_tekisei,H|10|2|2,137,137,12.41,68.83,79.43,137,37.23,94.74,90.19,85.08,89.76
4,KEIBAJO_SURFACE_02_芝_条件戦,kyori_kubun+kyori_tekisei+uma_start_shisu+uma_deokure_ritsu,短距離|1|0.0|0.0,152,152,16.45,79.28,78.82,152,44.74,92.04,90.18,80.66,87.69
4,COURSE_27_05_ダ_マイル,da_tekisei_code+joshodo_code+ten_shisu_juni+pace_shisu_juni,2|3|2.0|2.0,201,201,16.42,68.26,80.35,201,43.28,86.47,90.08,80.29,84.66
4,KEIBAJO_SURFACE_04_ダ,kyori_kubun+joho_shisu+kishu_shisu+uma_start_shisu,短距離|0.0|0.4|0.0,159,159,2.52,68.55,65.71,159,18.24,127.36,90.01,87.71,93.33
4,GLOBAL_条件戦,kyori_tekisei_2+umakigo_code+kyori_tekisei+hizume_code,2|00|5|23,223,223,19.28,55.92,66.98,223,53.36,77.85,89.99,82.25,90.42
4,KEIBAJO_SURFACE_06_ダ_条件戦,pace_yoso+rotation+tenkai_kigo_code+agari_shisu_juni,H|2.0|3|2.0,154,154,14.29,59.35,69.6,154,46.75,86.23,89.98,82.14,88.89
4,KEIBAJO_SURFACE_01_ダ,pace_yoso+kyakushitsu+kyori_tekisei+hizume_code,H|3|2|10,138,138,7.97,65.29,67.25,138,33.33,87.25,89.95,84.25,88.44
4,KEIBAJO_SURFACE_04_ダ_条件戦,uma_start_shisu+omo_tekisei_code+uma_deokure_ritsu+hizume_code,0.0|2|0.0|10,204,204,14.71,72.35,106.55,204,37.75,98.63,89.94,82.19,86.76
4,KEIBAJO_SURFACE_07_芝,omo_tekisei_code+joken_class_code+nyukyu_nannichimae+umakigo_code,2|1|23.0|00,144,144,18.75,95.62,123.34,144,36.81,90.76,89.93,80.21,84.49
4,GLOBAL_条件戦,kyori_tekisei_2+pace_yoso+kyori_tekisei+uma_start_shisu,2|M|5|0.0,139,139,23.74,75.54,83.64,139,53.24,84.82,89.73,89.17,91.89
4,GLOBAL_条件戦,kyori_tekisei_2+uma_deokure_ritsu+umakigo_code+kyori_tekisei,2|0.0|00|5,406,406,22.41,78.03,74.37,406,53.94,84.7,89.72,82.52,87.2
4,KEIBAJO_SURFACE_05_芝,kyori_tekisei_2+pace_yoso+omo_tekisei_code+uma_deokure_ritsu,2|H|2|0.0,294,294,12.59,68.44,95.89,294,34.69,82.69,89.5,86.57,89.06
4,COURSE_27_06_ダ_短距離,da_tekisei_code+umakigo_code+uma_start_shisu+gekiso_juni,2|00|0.0|2.0,154,154,14.94,91.75,87.65,154,41.56,106.36,89.26,80.53,83.87
4,SURFACE_2_芝_条件戦,kyori_tekisei_2+kyori_kubun+kyori_tekisei+joshodo_code,2|マイル|5|3,229,229,19.21,64.06,70.22,229,52.84,76.24,89.25,85.43,88.74
4,GLOBAL_条件戦,kyori_tekisei_2+kyori_kubun+umakigo_code+hizume_code,2|中距離|00|23,139,139,17.99,65.32,65.4,139,52.52,77.41,89.23,81.03,91.99
4,KEIBAJO_SURFACE_09_ダ_条件戦,uma_deokure_ritsu+omo_tekisei_code+manken_shirushi+hizume_code,0.0|2|5|10,143,143,16.78,83.71,102.98,143,43.36,116.99,89.21,81.22,86.45
4,KEIBAJO_SURFACE_05_芝,kyori_tekisei_2+kyori_kubun+kyori_tekisei+uma_deokure_ritsu,2|中距離|5|0.0,254,254,11.02,52.8,77.55,254,37.8,87.91,89.17,81.92,86.53
4,KEIBAJO_SURFACE_07_芝,agari_shisu_juni+ichi_shisu_juni+pace_shisu_juni+umakigo_code,7.0|1.0|7.0|00,130,130,4.62,121.62,117.69,130,21.54,142.0,89.16,80.84,88.9
4,SURFACE_2_ダ_条件戦,pace_yoso+manken_shirushi+keibajo_code+hizume_code,M|1|09|10,203,203,15.27,94.93,98.27,203,37.93,76.95,89.15,80.41,83.35
4,GLOBAL_条件戦,kyori_tekisei_2+pace_yoso+kyori_kubun+kyori_tekisei,2|M|中距離|5,259,259,23.17,76.33,80.59,259,54.44,84.56,89.15,81.49,89.35
4,COURSE_27_09_ダ_短距離,manken_shirushi+kyakushitsu+kyori_tekisei+da_tekisei_code,1|2|1|2,139,139,7.19,58.56,44.09,139,36.69,96.12,89.07,82.04,90.54
4,KEIBAJO_SURFACE_05_芝,kyori_tekisei_2+kyori_kubun+kyori_tekisei+uma_deokure_ritsu,2|マイル|5|0.0,354,354,15.25,63.98,89.67,354,38.14,83.64,89.06,81.92,86.53
4,COURSE_27_07_芝_中距離,uma_deokure_ritsu+pace_yoso+kyori_tekisei+omo_tekisei_code,0.0|H|2|2,204,204,13.73,84.02,95.91,204,36.27,102.55,89.04,80.33,84.05
4,KEIBAJO_SURFACE_09_ダ,manken_shirushi+joken_class_code+hizume_code+kyakushitsu,5|0|10|3,130,130,10.77,72.92,88.78,130,36.15,121.54,88.93,80.97,86.32
4,KEIBAJO_SURFACE_09_ダ_条件戦,manken_shirushi+kyakushitsu+joshodo_code+hizume_code,5|3|3|10,130,130,10.77,72.92,88.78,130,36.15,121.54,88.93,81.38,86.39
