segment,n_rows,p1_factors,n_combos_eval,n_pass,best_clb,best_factors,best_mean_roi
KEIBAJO_SURFACE_02_芝_未勝利,1113,20,15,0,77.17,shiba_tekisei_code+kishu_kitai_rentai_decile+kishu_shisu_decile,81.13
KEIBAJO_SURFACE_02_芝_条件戦,3999,25,595,10,86.97,uma_start_shisu_decile+kishu_minarai_code+kyusha_shisu_decile,93.17
KEIBAJO_SURFACE_03_ダ,10869,25,1596,2,83.74,kyori_tekisei+kyakushitsu+agari_shisu_juni,90.99
KEIBAJO_SURFACE_03_ダ_新馬,4520,25,558,1,82.38,joho_shisu_decile+kyori_tekisei+kyusha_shisu_decile,88.72
KEIBAJO_SURFACE_03_ダ_未勝利,1219,20,2,0,73.03,kyakushitsu+omo_tekisei_code+tenkai_kigo_code,84.06
KEIBAJO_SURFACE_03_ダ_条件戦,4390,25,616,1,81.09,omo_tekisei_code+agari_shisu_juni+kishu_minarai_code,86.84
KEIBAJO_SURFACE_03_芝,14090,25,1272,0,78.36,manken_shirushi+kyakushitsu+rotation_bin,90.03
KEIBAJO_SURFACE_03_芝_新馬,5405,25,800,0,75.51,pace_yoso+kyusha_shisu_decile+ninki_shisu_decile,80.08
KEIBAJO_SURFACE_03_芝_未勝利,1422,25,15,0,74.62,kyori_kubun+sogo_shisu_decile+idm_decile,77.16
KEIBAJO_SURFACE_03_芝_条件戦,6001,25,808,7,89.48,agari_shisu_juni+kishu_kitai_tansho_decile+kishu_kitai_rentai_decile,93.12
KEIBAJO_SURFACE_04_ダ,14747,25,1511,6,88.29,omo_tekisei_code+kijun_ninkijun_tansho+gekiso_juni,88.59
KEIBAJO_SURFACE_04_ダ_新馬,5855,25,778,3,82.53,bataiju_zogen+umakigo_code+kishu_kitai_tansho_decile,88.76
KEIBAJO_SURFACE_04_ダ_未勝利,1617,25,14,0,64.35,kishu_kitai_rentai_decile+ninki_shisu_decile+kishu_kitai_tansho_decile,79.39
KEIBAJO_SURFACE_04_ダ_条件戦,6405,25,771,1,82.44,kishu_minarai_code+uma_start_shisu_decile+gekiso_juni,85.04
KEIBAJO_SURFACE_04_芝,18170,25,1647,8,86.8,agari_shisu_juni+kyakushitsu+kijun_ninkijun_tansho,91.45
KEIBAJO_SURFACE_04_芝_1勝クラス,1019,17,0,0,,,
KEIBAJO_SURFACE_04_芝_OP重賞,1275,20,10,0,74.41,kyori_kubun+kyori_tekisei+omo_tekisei_code,78.77
KEIBAJO_SURFACE_04_芝_新馬,5932,25,734,2,80.31,rotation_bin+kishu_shisu_decile+joho_shisu_decile,86.11
KEIBAJO_SURFACE_04_芝_未勝利,1802,25,88,0,74.8,tenkai_kigo_code+uma_start_shisu_decile+kyakushitsu,76.96
KEIBAJO_SURFACE_04_芝_条件戦,8142,25,993,3,83.66,hizume_code+tenkai_kigo_code+agari_shisu_juni,87.42
KEIBAJO_SURFACE_05_ダ,28213,25,1879,25,89.76,omo_tekisei_code+gekiso_juni+agari_shisu_juni,94.8
KEIBAJO_SURFACE_05_ダ_1勝クラス,2105,25,146,1,80.46,sogo_shisu_decile+idm_decile+gekiso_juni,82.2
KEIBAJO_SURFACE_05_ダ_OP重賞,1576,25,3,0,62.84,kishu_kitai_rentai_decile+kishu_shisu_decile+kishu_kitai_tansho_decile,72.24
KEIBAJO_SURFACE_05_ダ_新馬,8043,25,1074,5,82.77,kyusha_hyoka_code+pace_shisu_juni+ten_shisu_juni,90.23
KEIBAJO_SURFACE_05_ダ_未勝利,4711,25,654,4,85.19,kyusha_shisu_decile+kishu_minarai_code+kijun_ninkijun_tansho,88.7
KEIBAJO_SURFACE_05_ダ_条件戦,11778,25,1363,17,89.1,tenkai_kigo_code+agari_shisu_juni+gekiso_juni,91.41
KEIBAJO_SURFACE_05_芝,24227,25,1665,26,88.12,kyakushitsu+gekiso_juni+pace_shisu_juni,92.23
KEIBAJO_SURFACE_05_芝_1勝クラス,2232,25,135,0,79.18,tenkai_kigo_code+agari_shisu_juni+shiba_tekisei_code,82.65
