phase,segment,combo,total_bins,bins_1_9,bins_10_99,bins_100plus,min_bin_n,max_bin_n,mean_bin_n,median_bin_n,ratio_bins_1_9,ratio_bins_10_99,ratio_bins_100plus,has_any_1digit_bin,has_any_2digit_bin
2,GLOBAL_条件戦,kyori_tekisei_2+kijun_ninkijun_tansho,56,20,29,7,1,383,46.1,16.0,0.3571,0.5179,0.125,True,True
2,GLOBAL_条件戦,kyori_tekisei_2+umakigo_code,9,3,2,4,1,1097,287.0,35.0,0.3333,0.2222,0.4444,True,True
2,GLOBAL_条件戦,kyori_tekisei_2+ichi_shisu_juni,66,18,40,8,1,174,39.1,18.0,0.2727,0.6061,0.1212,True,True
2,GLOBAL_条件戦,kyori_tekisei_2+pace_shisu_juni,67,18,41,8,1,174,38.6,17.0,0.2687,0.6119,0.1194,True,True
2,GLOBAL_条件戦,kyori_tekisei_2+ten_shisu_juni,67,18,39,10,1,174,38.6,20.0,0.2687,0.5821,0.1493,True,True
2,GLOBAL_条件戦,kyori_tekisei_2+manken_shirushi,32,5,17,10,7,208,70.4,51.5,0.1562,0.5312,0.3125,True,True
2,GLOBAL_条件戦,kyori_tekisei_2+keibajo_code,40,6,25,9,2,167,64.6,50.5,0.15,0.625,0.225,True,True
2,GLOBAL_条件戦,kyori_tekisei_2+kyori_kubun,15,2,6,7,1,701,172.2,56.0,0.1333,0.4,0.4667,True,True
2,GLOBAL_条件戦,kyori_tekisei_2+kyakushitsu,17,2,6,9,1,444,151.9,124.0,0.1176,0.3529,0.5294,True,True
2,GLOBAL_条件戦,kyori_tekisei_2+tenkai_kigo_code,20,2,9,9,2,540,129.2,62.5,0.1,0.45,0.45,True,True
2,GLOBAL_条件戦,kyori_tekisei_2+da_tekisei_code,8,0,4,4,24,505,195.1,117.5,0.0,0.5,0.5,False,True
2,GLOBAL_条件戦,kyori_tekisei_2+kyori_tekisei,10,0,5,5,10,1051,258.3,77.0,0.0,0.5,0.5,False,True
2,GLOBAL_条件戦,kyori_tekisei_2+omo_tekisei_code,12,0,5,7,20,584,215.1,152.5,0.0,0.4167,0.5833,False,True
2,GLOBAL_条件戦,kyori_tekisei_2+pace_yoso,12,0,4,8,14,568,215.2,129.0,0.0,0.3333,0.6667,False,True
2,KEIBAJO_SURFACE_01_ダ,agari_shisu_juni+kijun_ninkijun_tansho,196,29,164,3,1,133,35.4,35.0,0.148,0.8367,0.0153,True,True
2,KEIBAJO_SURFACE_01_ダ,manken_shirushi+agari_shisu_juni,112,8,101,3,5,147,41.2,40.0,0.0714,0.9018,0.0268,True,True
2,KEIBAJO_SURFACE_01_芝,agari_shisu_juni+gekiso_juni,256,41,208,7,1,131,38.4,32.0,0.1602,0.8125,0.0273,True,True
2,KEIBAJO_SURFACE_01_芝,pace_shisu_juni+gekiso_juni,255,35,212,8,2,160,38.5,32.0,0.1373,0.8314,0.0314,True,True
2,KEIBAJO_SURFACE_02_ダ,hizume_code+ten_shisu_juni,245,132,109,4,1,114,21.6,7.0,0.5388,0.4449,0.0163,True,True
2,KEIBAJO_SURFACE_02_ダ,ichi_shisu_juni+pace_shisu_juni,184,52,128,4,1,201,29.9,22.0,0.2826,0.6957,0.0217,True,True
2,KEIBAJO_SURFACE_02_ダ,ten_shisu_juni+ichi_shisu_juni,185,49,132,4,1,202,29.7,25.0,0.2649,0.7135,0.0216,True,True
2,KEIBAJO_SURFACE_02_ダ_条件戦,kyakushitsu+pace_shisu_juni,69,15,50,4,1,112,40.1,34.0,0.2174,0.7246,0.058,True,True
2,KEIBAJO_SURFACE_02_ダ_条件戦,kyakushitsu+ten_shisu_juni,69,15,48,6,1,125,40.1,28.0,0.2174,0.6957,0.087,True,True
2,KEIBAJO_SURFACE_02_ダ_条件戦,kyakushitsu+gekiso_juni,70,11,56,3,2,122,39.6,32.0,0.1571,0.8,0.0429,True,True
2,KEIBAJO_SURFACE_02_芝,ten_shisu_juni+kijun_ninkijun_tansho,255,51,199,5,1,168,32.0,24.0,0.2,0.7804,0.0196,True,True
2,KEIBAJO_SURFACE_02_芝,manken_shirushi+agari_shisu_juni,128,14,110,4,2,146,40.5,39.0,0.1094,0.8594,0.0312,True,True
2,KEIBAJO_SURFACE_02_芝_新馬,ichi_shisu_juni+kyakushitsu,62,19,40,3,1,116,36.6,26.5,0.3065,0.6452,0.0484,True,True
2,KEIBAJO_SURFACE_03_ダ,ten_shisu_juni+kijun_ninkijun_tansho,256,30,222,4,1,170,42.5,40.5,0.1172,0.8672,0.0156,True,True
2,KEIBAJO_SURFACE_03_芝,uma_start_shisu+kyori_tekisei_2,90,49,38,3,1,230,22.5,8.0,0.5444,0.4222,0.0333,True,True
2,KEIBAJO_SURFACE_04_ダ_条件戦,hizume_code+ten_shisu_juni,267,137,127,3,1,102,21.1,8.0,0.5131,0.4757,0.0112,True,True
2,KEIBAJO_SURFACE_05_ダ_OP重賞,uma_start_shisu+kyori_tekisei,110,67,40,3,1,207,14.1,4.0,0.6091,0.3636,0.0273,True,True
2,KEIBAJO_SURFACE_05_ダ_新馬,nyukyu_nannichimae+kyori_tekisei,240,149,86,5,1,155,17.2,5.0,0.6208,0.3583,0.0208,True,True
2,KEIBAJO_SURFACE_05_ダ_新馬,gekiso_juni+kijun_ninkijun_tansho,255,48,203,4,1,174,31.5,27.0,0.1882,0.7961,0.0157,True,True
2,KEIBAJO_SURFACE_05_ダ_未勝利,uma_deokure_ritsu+kyori_tekisei,353,233,117,3,1,348,13.3,5.0,0.6601,0.3314,0.0085,True,True
2,KEIBAJO_SURFACE_05_ダ_条件戦,pace_shisu_juni+gekiso_juni,256,7,234,15,3,207,46.0,39.0,0.0273,0.9141,0.0586,True,True
2,KEIBAJO_SURFACE_05_ダ_条件戦,agari_shisu_juni+gekiso_juni,256,2,245,9,9,188,46.0,41.0,0.0078,0.957,0.0352,True,True
2,KEIBAJO_SURFACE_05_ダ_条件戦,ten_shisu_juni+gekiso_juni,256,2,243,11,9,212,46.0,39.0,0.0078,0.9492,0.043,True,True
2,KEIBAJO_SURFACE_05_ダ_条件戦,manken_shirushi+agari_shisu_juni,128,1,113,14,8,219,59.3,53.5,0.0078,0.8828,0.1094,True,True
