phase,segment,combo,bin_key,n_horses,sample_bucket,is_existing_bin,is_possible_bin_if_determinable,should_count_for_adoption_judgement,note
1,GLOBAL,kishu_kitai_tansho_ritsu,50.4,1,1_9,True,True,True,
1,GLOBAL,kishu_kitai_tansho_ritsu,45.6,1,1_9,True,True,True,
1,GLOBAL,kishu_kitai_tansho_ritsu,45.3,1,1_9,True,True,True,
1,GLOBAL,kishu_kitai_tansho_ritsu,45.0,1,1_9,True,True,True,
1,GLOBAL,kishu_kitai_tansho_ritsu,44.7,1,1_9,True,True,True,
1,GLOBAL,kishu_kitai_tansho_ritsu,45.8,1,1_9,True,True,True,
1,GLOBAL,kishu_kitai_tansho_ritsu,53.3,1,1_9,True,True,True,
1,GLOBAL,kishu_kitai_tansho_ritsu,58.6,1,1_9,True,True,True,
1,GLOBAL,kishu_kitai_tansho_ritsu,59.7,1,1_9,True,True,True,
1,GLOBAL,kishu_kitai_tansho_ritsu,50.8,1,1_9,True,True,True,
1,GLOBAL,kishu_kitai_tansho_ritsu,44.2,2,1_9,True,True,True,
1,GLOBAL,kishu_kitai_tansho_ritsu,51.7,2,1_9,True,True,True,
1,GLOBAL,kishu_kitai_tansho_ritsu,51.5,2,1_9,True,True,True,
1,GLOBAL,kishu_kitai_tansho_ritsu,45.5,2,1_9,True,True,True,
1,GLOBAL,kishu_kitai_tansho_ritsu,46.2,2,1_9,True,True,True,
1,GLOBAL,kishu_kitai_tansho_ritsu,45.9,2,1_9,True,True,True,
1,GLOBAL,kishu_kitai_tansho_ritsu,44.0,2,1_9,True,True,True,
1,GLOBAL,kishu_kitai_tansho_ritsu,50.6,2,1_9,True,True,True,
1,GLOBAL,kishu_kitai_tansho_ritsu,45.7,2,1_9,True,True,True,
1,GLOBAL,kishu_kitai_tansho_ritsu,48.2,2,1_9,True,True,True,
1,GLOBAL,kishu_kitai_tansho_ritsu,49.9,2,1_9,True,True,True,
1,GLOBAL,kishu_kitai_tansho_ritsu,51.8,2,1_9,True,True,True,
1,GLOBAL,kishu_kitai_tansho_ritsu,52.2,2,1_9,True,True,True,
1,GLOBAL,kishu_kitai_tansho_ritsu,45.2,2,1_9,True,True,True,
1,GLOBAL,kishu_kitai_tansho_ritsu,52.1,3,1_9,True,True,True,
1,GLOBAL,kishu_kitai_tansho_ritsu,52.0,3,1_9,True,True,True,
1,GLOBAL,kishu_kitai_tansho_ritsu,43.9,3,1_9,True,True,True,
1,GLOBAL,kishu_kitai_tansho_ritsu,44.5,3,1_9,True,True,True,
1,GLOBAL,kishu_kitai_tansho_ritsu,44.8,3,1_9,True,True,True,
1,GLOBAL,kishu_kitai_tansho_ritsu,49.3,3,1_9,True,True,True,
1,GLOBAL,kishu_kitai_tansho_ritsu,48.5,3,1_9,True,True,True,
1,GLOBAL,kishu_kitai_tansho_ritsu,45.4,3,1_9,True,True,True,
1,GLOBAL,kishu_kitai_tansho_ritsu,48.4,3,1_9,True,True,True,
1,GLOBAL,kishu_kitai_tansho_ritsu,49.2,3,1_9,True,True,True,
1,GLOBAL,kishu_kitai_tansho_ritsu,48.6,3,1_9,True,True,True,
1,GLOBAL,kishu_kitai_tansho_ritsu,48.9,4,1_9,True,True,True,
1,GLOBAL,kishu_kitai_tansho_ritsu,46.4,4,1_9,True,True,True,
1,GLOBAL,kishu_kitai_tansho_ritsu,53.6,4,1_9,True,True,True,
1,GLOBAL,kishu_kitai_tansho_ritsu,48.3,4,1_9,True,True,True,
1,GLOBAL,kishu_kitai_tansho_ritsu,44.3,4,1_9,True,True,True,
1,GLOBAL,kishu_kitai_tansho_ritsu,50.5,4,1_9,True,True,True,
1,GLOBAL,kishu_kitai_tansho_ritsu,49.7,4,1_9,True,True,True,
1,GLOBAL,kishu_kitai_tansho_ritsu,51.0,5,1_9,True,True,True,
1,GLOBAL,kishu_kitai_tansho_ritsu,49.0,5,1_9,True,True,True,
1,GLOBAL,kishu_kitai_tansho_ritsu,46.1,5,1_9,True,True,True,
1,GLOBAL,kishu_kitai_tansho_ritsu,47.5,5,1_9,True,True,True,
1,GLOBAL,kishu_kitai_tansho_ritsu,44.4,5,1_9,True,True,True,
1,GLOBAL,kishu_kitai_tansho_ritsu,46.3,5,1_9,True,True,True,
1,GLOBAL,kishu_kitai_tansho_ritsu,53.7,6,1_9,True,True,True,
1,GLOBAL,kishu_kitai_tansho_ritsu,46.6,6,1_9,True,True,True,
1,GLOBAL,kishu_kitai_tansho_ritsu,51.4,6,1_9,True,True,True,
1,GLOBAL,kishu_kitai_tansho_ritsu,51.3,6,1_9,True,True,True,
1,GLOBAL,kishu_kitai_tansho_ritsu,51.2,6,1_9,True,True,True,
1,GLOBAL,kishu_kitai_tansho_ritsu,49.4,6,1_9,True,True,True,
1,GLOBAL,kishu_kitai_tansho_ritsu,48.1,6,1_9,True,True,True,
1,GLOBAL,kishu_kitai_tansho_ritsu,48.7,6,1_9,True,True,True,
1,GLOBAL,kishu_kitai_tansho_ritsu,49.6,6,1_9,True,True,True,
1,GLOBAL,kishu_kitai_tansho_ritsu,47.2,6,1_9,True,True,True,
1,GLOBAL,kishu_kitai_tansho_ritsu,47.3,7,1_9,True,True,True,
1,GLOBAL,kishu_kitai_tansho_ritsu,0.1,7,1_9,True,True,True,
1,GLOBAL,kishu_kitai_tansho_ritsu,47.4,7,1_9,True,True,True,
1,GLOBAL,kishu_kitai_tansho_ritsu,48.8,7,1_9,True,True,True,
1,GLOBAL,kishu_kitai_tansho_ritsu,46.7,7,1_9,True,True,True,
1,GLOBAL,kishu_kitai_tansho_ritsu,44.1,7,1_9,True,True,True,
1,GLOBAL,kishu_kitai_tansho_ritsu,47.9,7,1_9,True,True,True,
1,GLOBAL,kishu_kitai_tansho_ritsu,43.7,8,1_9,True,True,True,
1,GLOBAL,kishu_kitai_tansho_ritsu,48.0,8,1_9,True,True,True,
1,GLOBAL,kishu_kitai_tansho_ritsu,50.9,8,1_9,True,True,True,
1,GLOBAL,kishu_kitai_tansho_ritsu,50.1,8,1_9,True,True,True,
1,GLOBAL,kishu_kitai_tansho_ritsu,49.1,8,1_9,True,True,True,
1,GLOBAL,kishu_kitai_tansho_ritsu,46.5,8,1_9,True,True,True,
1,GLOBAL,kishu_kitai_tansho_ritsu,47.7,8,1_9,True,True,True,
1,GLOBAL,kishu_kitai_tansho_ritsu,47.1,9,1_9,True,True,True,
1,GLOBAL,kishu_kitai_tansho_ritsu,49.8,9,1_9,True,True,True,
1,GLOBAL,kishu_kitai_tansho_ritsu,50.3,9,1_9,True,True,True,
1,GLOBAL,kishu_kitai_tansho_ritsu,54.8,9,1_9,True,True,True,
1,GLOBAL,kishu_kitai_tansho_ritsu,47.0,10,10_99,True,True,True,
1,GLOBAL,kishu_kitai_tansho_ritsu,47.6,10,10_99,True,True,True,
1,GLOBAL,kishu_kitai_tansho_ritsu,46.9,11,10_99,True,True,True,
1,GLOBAL,kishu_kitai_tansho_ritsu,50.2,11,10_99,True,True,True,
1,GLOBAL,kishu_kitai_tansho_ritsu,43.6,11,10_99,True,True,True,
1,GLOBAL,kishu_kitai_tansho_ritsu,49.5,12,10_99,True,True,True,
1,GLOBAL,kishu_kitai_tansho_ritsu,47.8,13,10_99,True,True,True,
1,GLOBAL,kishu_kitai_tansho_ritsu,43.5,14,10_99,True,True,True,
1,GLOBAL,kishu_kitai_tansho_ritsu,46.8,15,10_99,True,True,True,
1,GLOBAL,kishu_kitai_tansho_ritsu,39.6,17,10_99,True,True,True,
1,GLOBAL,kishu_kitai_tansho_ritsu,50.0,17,10_99,True,True,True,
1,GLOBAL,kishu_kitai_tansho_ritsu,40.2,18,10_99,True,True,True,
1,GLOBAL,kishu_kitai_tansho_ritsu,39.9,19,10_99,True,True,True,
1,GLOBAL,kishu_kitai_tansho_ritsu,39.8,19,10_99,True,True,True,
1,GLOBAL,kishu_kitai_tansho_ritsu,38.3,19,10_99,True,True,True,
1,GLOBAL,kishu_kitai_tansho_ritsu,42.8,19,10_99,True,True,True,
1,GLOBAL,kishu_kitai_tansho_ritsu,39.5,20,10_99,True,True,True,
1,GLOBAL,kishu_kitai_tansho_ritsu,53.8,21,10_99,True,True,True,
1,GLOBAL,kishu_kitai_tansho_ritsu,39.7,21,10_99,True,True,True,
