segment,n_rows,n_combos_eval,n_pass,best_clb,best_factors,best_mean_roi
KEIBAJO_SURFACE_08_ダ,21508,1570,4,83.42,omo_tekisei_code+pace_yoso+rotation+ichi_shisu_juni,87.96
KEIBAJO_SURFACE_08_ダ_1勝クラス,1649,1,0,48.44,kyori_kubun+kyori_tekisei+tenkai_kigo_code+kyakushitsu,63.92
KEIBAJO_SURFACE_08_ダ_OP重賞,1236,0,0,,,
KEIBAJO_SURFACE_08_ダ_新馬,6045,109,0,76.83,kyori_kubun+kyori_tekisei+hizume_code+uma_deokure_ritsu,81.67
KEIBAJO_SURFACE_08_ダ_未勝利,3569,22,0,69.71,kyori_kubun+omo_tekisei_code+uma_start_shisu+tenkai_kigo_code,71.41
KEIBAJO_SURFACE_08_ダ_条件戦,9009,740,3,84.97,pace_yoso+kyori_tekisei+hizume_code+ls_shisu_juni,87.41
KEIBAJO_SURFACE_08_芝,17759,800,1,82.98,joken_class_code+pace_shisu_juni+omo_tekisei_code+uma_start_shisu,84.55
KEIBAJO_SURFACE_08_芝_1勝クラス,1747,0,0,,,
KEIBAJO_SURFACE_08_芝_OP重賞,2175,5,0,73.93,kyori_kubun+kyori_tekisei+omo_tekisei_code+kyori_tekisei_2,80.54
KEIBAJO_SURFACE_08_芝_新馬,3700,59,0,75.96,kyori_tekisei+kyori_kubun+pace_yoso+uma_start_shisu,78.2
KEIBAJO_SURFACE_08_芝_未勝利,2920,34,0,73.99,omo_tekisei_code+agari_shisu_juni+shiba_tekisei_code+tenkai_kigo_code,78.69
KEIBAJO_SURFACE_08_芝_条件戦,7217,429,0,77.63,kyori_kubun+kyori_tekisei+uma_deokure_ritsu+omo_tekisei_code,81.6
KEIBAJO_SURFACE_09_ダ,27915,726,2,82.77,manken_shirushi+joken_class_code+rotation+hizume_code,87.79
KEIBAJO_SURFACE_09_ダ_1勝クラス,1986,25,0,69.74,kyori_kubun+umakigo_code+kyakushitsu+kyori_tekisei,73.5
KEIBAJO_SURFACE_09_ダ_OP重賞,1391,0,0,,,
KEIBAJO_SURFACE_09_ダ_新馬,7843,246,2,80.57,kyuyo_riyu_bunrui_code+kyori_kubun+pace_yoso+omo_tekisei_code,86.33
KEIBAJO_SURFACE_09_ダ_未勝利,4327,113,3,89.61,omo_tekisei_code+kyori_tekisei+kyakushitsu+uma_start_shisu,91.42
KEIBAJO_SURFACE_09_ダ_条件戦,12368,1727,11,93.89,pace_yoso+omo_tekisei_code+manken_shirushi+uma_start_shisu,98.5
KEIBAJO_SURFACE_09_芝,21956,1162,0,79.98,joken_class_code+omo_tekisei_code+kyakushitsu+pace_shisu_juni,95.05
KEIBAJO_SURFACE_09_芝_1勝クラス,2312,15,1,82.57,kyori_tekisei+kyori_kubun+kyori_tekisei_2+shiba_tekisei_code,86.23
KEIBAJO_SURFACE_09_芝_OP重賞,2721,42,0,77.87,pace_yoso+tenkai_kigo_code+ls_shisu_juni+kyakushitsu,79.95
KEIBAJO_SURFACE_09_芝_新馬,4951,234,0,79.16,uma_deokure_ritsu+uma_start_shisu+agari_shisu_juni+umakigo_code,82.22
KEIBAJO_SURFACE_09_芝_未勝利,3411,64,0,73.29,pace_yoso+kyori_kubun+kyori_tekisei+uma_start_shisu,78.17
KEIBAJO_SURFACE_09_芝_条件戦,8561,639,0,79.4,kyori_kubun+omo_tekisei_code+rotation+kyakushitsu,83.1
KEIBAJO_SURFACE_10_ダ,10096,384,3,82.73,kyori_kubun+joken_class_code+kishu_shisu+uma_deokure_ritsu,93.25
KEIBAJO_SURFACE_10_ダ_新馬,3992,13,0,72.16,ls_shisu_juni+kyori_kubun+uma_start_shisu+kyori_tekisei,77.45
KEIBAJO_SURFACE_10_ダ_未勝利,1323,0,0,,,
KEIBAJO_SURFACE_10_ダ_条件戦,4022,40,0,77.47,pace_yoso+omo_tekisei_code+kyori_tekisei+kyakushitsu,85.53
KEIBAJO_SURFACE_10_芝,16948,1781,2,92.75,pace_yoso+manken_shirushi+kishu_shisu+joshodo_code,96.11
KEIBAJO_SURFACE_10_芝_新馬,5703,326,0,79.74,pace_yoso+kyori_kubun+pace_shisu_juni+kyori_tekisei,85.68
KEIBAJO_SURFACE_10_芝_未勝利,1773,25,0,77.02,kyori_tekisei+kyakushitsu+shiba_tekisei_code+tenkai_kigo_code,85.5
KEIBAJO_SURFACE_10_芝_条件戦,8097,720,1,80.35,manken_shirushi+kyakushitsu+joshodo_code+kyori_kubun,87.25
SURFACE_2_ダ,177971,1570,0,77.75,manken_shirushi+hizume_code+uma_start_shisu+da_tekisei_code,79.48
SURFACE_2_ダ_1勝クラス,10462,75,0,72.52,kyori_kubun+keibajo_code+omo_tekisei_code+uma_deokure_ritsu,76.1
SURFACE_2_ダ_OP重賞,7658,442,1,82.29,uma_start_shisu+umakigo_code+kyakushitsu+rotation,82.99
SURFACE_2_ダ_新馬,57835,341,0,75.38,ichi_shisu+kyakushitsu+pace_yoso+ichi_shisu_juni,78.02
SURFACE_2_ダ_未勝利,25254,430,2,87.75,keibajo_code+manken_shirushi+joho_shisu+umakigo_code,90.63
SURFACE_2_ダ_条件戦,76762,2423,2,80.41,pace_yoso+manken_shirushi+keibajo_code+hizume_code,83.35
SURFACE_2_芝,170977,2120,0,76.99,manken_shirushi+joken_class_code+manken_shisu+uma_start_shisu,81.26
SURFACE_2_芝_1勝クラス,12680,131,0,76.72,manken_shirushi+kyusha_hyoka_code+pace_yoso+rotation,82.38
SURFACE_2_芝_OP重賞,15771,761,0,78.18,kyori_kubun+tenkai_kigo_code+uma_deokure_ritsu+agari_shisu_juni,79.1
SURFACE_2_芝_新馬,47181,188,0,79.54,kyori_kubun+rotation+uma_start_shisu+kijun_ninkijun_tansho,94.08
SURFACE_2_芝_未勝利,23911,460,0,75.53,kyori_kubun+keibajo_code+kyori_tekisei+manken_shirushi,81.46
SURFACE_2_芝_条件戦,71434,1974,7,85.43,kyori_tekisei_2+kyori_kubun+kyori_tekisei+joshodo_code,88.74
