segment,n_rows,p1_factors,n_pairs_eval,n_pass,best_clb,best_factors,best_mean_roi
KEIBAJO_SURFACE_05_ダ_新馬,8043,36,550,8,84.46,agari_shisu_juni+kishu_shisu_decile,91.74
KEIBAJO_SURFACE_05_ダ_未勝利,4711,34,394,0,77.6,kyusha_shisu_decile+kijun_ninkijun_tansho,85.01
KEIBAJO_SURFACE_05_ダ_条件戦,11778,35,543,4,85.09,agari_shisu_juni+gekiso_juni,89.36
KEIBAJO_SURFACE_05_芝,24227,40,755,3,87.21,bataiju+kishu_shisu_decile,92.24
KEIBAJO_SURFACE_05_芝_1勝クラス,2232,30,233,0,76.21,kyakushitsu+bataiju_zogen,80.13
KEIBAJO_SURFACE_05_芝_OP重賞,2734,30,278,2,84.28,uma_deokure_bin+agari_shisu_juni,87.38
KEIBAJO_SURFACE_05_芝_新馬,5346,36,530,7,87.67,agari_shisu_juni+chokyo_shisu_decile,91.49
KEIBAJO_SURFACE_05_芝_未勝利,3663,32,362,2,82.1,gekiso_juni+ninki_shisu_decile,87.12
KEIBAJO_SURFACE_05_芝_条件戦,10252,34,513,3,81.57,pace_shisu_juni+gekiso_juni,85.57
KEIBAJO_SURFACE_06_ダ,30839,40,764,0,75.29,manken_shirushi+uma_start_shisu_decile,77.59
KEIBAJO_SURFACE_06_ダ_1勝クラス,1910,29,173,0,72.77,bataiju_zogen+idm_decile,75.9
KEIBAJO_SURFACE_06_ダ_OP重賞,1424,27,56,0,76.52,kishu_shisu_decile+omo_tekisei_code,85.81
KEIBAJO_SURFACE_06_ダ_新馬,8731,36,555,2,83.53,kyori_tekisei_2+ninki_shisu_decile,90.28
KEIBAJO_SURFACE_06_ダ_未勝利,4527,34,391,0,79.22,uma_start_shisu_decile+ichi_shisu_juni,87.88
KEIBAJO_SURFACE_06_ダ_条件戦,14247,33,496,6,81.15,agari_shisu_juni+gekiso_juni,85.35
KEIBAJO_SURFACE_06_芝,22719,40,752,1,81.21,bataiju+ninki_shisu_decile,83.67
KEIBAJO_SURFACE_06_芝_1勝クラス,2216,28,158,0,76.87,kyori_tekisei_2+kyori_kubun,80.91
KEIBAJO_SURFACE_06_芝_OP重賞,2754,31,268,2,80.32,kijun_ninkijun_tansho+ninki_shisu_decile,83.34
KEIBAJO_SURFACE_06_芝_新馬,5378,35,479,5,85.62,agari_shisu_juni+chokyo_shisu_decile,90.98
KEIBAJO_SURFACE_06_芝_未勝利,4034,32,359,1,81.91,bataiju_zogen+ninki_shisu_decile,86.62
KEIBAJO_SURFACE_06_芝_条件戦,8337,33,472,5,84.29,gekiso_juni+kijun_ninkijun_tansho,88.25
KEIBAJO_SURFACE_07_ダ,21346,40,753,0,76.27,manken_shirushi+ten_shisu_juni,78.8
KEIBAJO_SURFACE_07_ダ_1勝クラス,1107,20,43,0,73.11,uma_deokure_bin+idm_decile,80.74
KEIBAJO_SURFACE_07_ダ_新馬,8487,35,543,3,86.18,bataiju+kyori_tekisei,90.41
KEIBAJO_SURFACE_07_ダ_未勝利,2609,30,264,0,74.54,kyakushitsu+ten_shisu_juni,83.58
KEIBAJO_SURFACE_07_ダ_条件戦,8251,35,549,1,82.37,manken_shirushi+ninki_shisu_decile,87.17
KEIBAJO_SURFACE_07_芝,17129,40,747,0,76.61,manken_shirushi+ichi_shisu_juni,80.1
KEIBAJO_SURFACE_07_芝_1勝クラス,1126,19,38,0,72.23,omo_tekisei_code+uma_deokure_bin,82.17
KEIBAJO_SURFACE_07_芝_OP重賞,1337,25,62,0,71.16,ls_shisu_juni+rotation_bin,79.53
KEIBAJO_SURFACE_07_芝_新馬,5768,36,494,0,78.91,gekiso_juni+sogo_shisu_decile,82.75
KEIBAJO_SURFACE_07_芝_未勝利,2322,31,258,0,75.18,kyori_tekisei_2+kyakushitsu,82.77
KEIBAJO_SURFACE_07_芝_条件戦,6576,33,452,9,86.66,gekiso_juni+kyusha_shisu_decile,90.38
KEIBAJO_SURFACE_08_ダ,21508,40,755,0,75.63,kyori_tekisei_2+agari_shisu_juni,79.92
KEIBAJO_SURFACE_08_ダ_1勝クラス,1649,28,114,0,77.46,bataiju_zogen+sogo_shisu_decile,80.01
KEIBAJO_SURFACE_08_ダ_OP重賞,1236,21,43,0,69.98,kyakushitsu+sogo_shisu_decile,74.24
KEIBAJO_SURFACE_08_ダ_新馬,6045,34,465,1,81.52,kishu_shisu_decile+agari_shisu_juni,84.22
KEIBAJO_SURFACE_08_ダ_未勝利,3569,33,351,0,77.27,rotation_bin+manken_shisu_decile,80.25
KEIBAJO_SURFACE_08_ダ_条件戦,9009,35,555,5,84.41,manken_shirushi+pace_shisu_juni,88.15
KEIBAJO_SURFACE_08_芝,17759,40,746,0,76.86,manken_shirushi+kyusha_hyoka_code,80.63
KEIBAJO_SURFACE_08_芝_1勝クラス,1747,28,117,0,74.13,rotation_bin+sogo_shisu_decile,78.25
KEIBAJO_SURFACE_08_芝_OP重賞,2175,30,199,0,78.11,rotation_bin+manken_shisu_decile,81.83
KEIBAJO_SURFACE_08_芝_新馬,3700,35,439,0,78.96,kijun_ninkijun_tansho+sogo_shisu_decile,82.73
KEIBAJO_SURFACE_08_芝_未勝利,2920,31,316,2,83.35,agari_shisu_juni+sogo_shisu_decile,87.61
KEIBAJO_SURFACE_08_芝_条件戦,7217,33,467,2,88.34,bataiju+kyori_kubun,96.86
KEIBAJO_SURFACE_09_ダ,27915,40,761,0,77.21,bataiju+manken_shisu_decile,80.39
KEIBAJO_SURFACE_09_ダ_1勝クラス,1986,29,188,0,75.62,kishu_kitai_tansho_decile+ninki_shisu_decile,79.47
KEIBAJO_SURFACE_09_ダ_OP重賞,1391,27,69,0,73.03,tenkai_kigo_code+sogo_shisu_decile,75.06
