phase,segment,combo,total_bins,existing_bins,possible_bins_if_determinable,bins_1_9,bins_10_99,bins_100_149,bins_150_299,bins_300_499,bins_500_plus,min_bin_n,max_bin_n,mean_bin_n,median_bin_n,ratio_1_9,ratio_10_99,ratio_500_plus,has_any_1digit_bin,has_any_2digit_bin,all_existing_bins_ge_150,all_existing_bins_ge_300,all_existing_bins_ge_500,eff_min_bin_n,eff_all_ge_150,eff_all_ge_300,eff_all_ge_500,n_shs_tail_bins,small_headcount_sensitive,review_note
4,COURSE_27_東京U字_芝,kyori_tekisei_2+omo_tekisei_code+uma_start_shisu+kyakushitsu,457,457,,353,101,1,2,0,0,1,180,8.5,3.0,0.7724,0.221,0.0,True,True,False,False,False,1,False,False,False,0,False,353 bins with n<10
4,COURSE_27_東京U字_芝,kyori_tekisei_2+uma_deokure_ritsu+kyori_tekisei+shiba_tekisei_code,381,381,,286,92,1,1,1,0,1,397,10.2,3.0,0.7507,0.2415,0.0,True,True,False,False,False,1,False,False,False,0,False,286 bins with n<10
4,COURSE_27_東京U字_芝,kyori_tekisei_2+uma_deokure_ritsu+shiba_tekisei_code+kyakushitsu,794,794,,705,86,2,1,0,0,1,202,4.9,2.0,0.8879,0.1083,0.0,True,True,False,False,False,1,False,False,False,0,False,705 bins with n<10
4,COURSE_27_東京U字_芝,pace_yoso+joken_class_code+idm+shiba_tekisei_code,2902,2902,,2508,391,3,0,0,0,1,109,5.9,2.0,0.8642,0.1347,0.0,True,True,False,False,False,1,False,False,False,0,False,2508 bins with n<10
4,COURSE_27_特殊A_芝,rotation+shiba_tekisei_code+uma_start_shisu+uma_deokure_ritsu,3106,3106,,3064,39,3,0,0,0,1,116,1.8,1.0,0.9865,0.0126,0.0,True,True,False,False,False,1,False,False,False,0,False,3064 bins with n<10
4,GLOBAL,class_code+pace_yoso+ten_shisu+kyori_tekisei,51571,51571,,42589,8979,3,0,0,0,1,106,6.0,2.0,0.8258,0.1741,0.0,True,True,False,False,False,1,False,False,False,0,False,42589 bins with n<10
4,GLOBAL_未勝利,kyori_kubun+omo_tekisei_code+ichi_shisu+umakigo_code,4907,4907,,3508,1396,3,0,0,0,1,111,10.0,3.0,0.7149,0.2845,0.0,True,True,False,False,False,1,False,False,False,0,False,3508 bins with n<10
4,GLOBAL_条件戦,kyori_tekisei_2+kyori_kubun+umakigo_code+hizume_code,183,183,600.0,128,52,3,0,0,0,1,139,14.1,4.0,0.6995,0.2842,0.0,True,True,False,False,False,1,False,False,False,0,False,128 bins with n<10; only 183/600 possible bins observed
4,GLOBAL_条件戦,kyori_tekisei_2+kyori_kubun+umakigo_code+keibajo_code,157,157,1500.0,96,58,3,0,0,0,1,113,16.5,5.0,0.6115,0.3694,0.0,True,True,False,False,False,1,False,False,False,0,False,96 bins with n<10; only 157/1500 possible bins observed
4,GLOBAL_条件戦,kyori_tekisei_2+kyori_kubun+umakigo_code+kyori_tekisei,48,48,750.0,25,16,2,2,2,1,1,636,53.8,8.5,0.5208,0.3333,0.0208,True,True,False,False,False,1,False,False,False,0,False,25 bins with n<10; only 48/750 possible bins observed
4,GLOBAL_条件戦,kyori_tekisei_2+kyori_kubun+umakigo_code+uma_start_shisu,297,297,,227,67,2,1,0,0,1,206,8.7,2.0,0.7643,0.2256,0.0,True,True,False,False,False,1,False,False,False,0,False,227 bins with n<10
4,GLOBAL_条件戦,kyori_tekisei_2+manken_shirushi+umakigo_code+kyori_tekisei,101,101,1350.0,66,28,5,2,0,0,1,195,22.3,4.0,0.6535,0.2772,0.0,True,True,False,False,False,1,False,False,False,0,False,66 bins with n<10; only 101/1350 possible bins observed
4,GLOBAL_条件戦,kyori_tekisei_2+pace_yoso+kyori_kubun+kyori_tekisei,80,80,625.0,43,29,4,3,1,0,1,334,32.3,8.0,0.5375,0.3625,0.0,True,True,False,False,False,1,False,False,False,0,False,43 bins with n<10; only 80/625 possible bins observed
4,GLOBAL_条件戦,kyori_tekisei_2+pace_yoso+kyori_kubun+umakigo_code,64,64,750.0,33,21,5,4,1,0,1,345,40.4,9.0,0.5156,0.3281,0.0,True,True,False,False,False,1,False,False,False,0,False,33 bins with n<10; only 64/750 possible bins observed
4,GLOBAL_条件戦,kyori_tekisei_2+pace_yoso+kyori_tekisei+uma_start_shisu,345,345,,276,66,2,1,0,0,1,151,7.5,3.0,0.8,0.1913,0.0,True,True,False,False,False,1,False,False,False,0,False,276 bins with n<10
4,GLOBAL_条件戦,kyori_tekisei_2+pace_yoso+umakigo_code+hizume_code,177,177,600.0,121,50,6,0,0,0,1,121,14.6,4.0,0.6836,0.2825,0.0,True,True,False,False,False,1,False,False,False,0,False,121 bins with n<10; only 177/600 possible bins observed
4,GLOBAL_条件戦,kyori_tekisei_2+pace_yoso+umakigo_code+uma_start_shisu,272,272,,201,67,2,2,0,0,1,155,9.5,3.0,0.739,0.2463,0.0,True,True,False,False,False,1,False,False,False,0,False,201 bins with n<10
4,GLOBAL_条件戦,kyori_tekisei_2+uma_deokure_ritsu+kyori_kubun+kyori_tekisei,437,437,,386,47,2,2,0,0,1,235,5.9,2.0,0.8833,0.1076,0.0,True,True,False,False,False,1,False,False,False,0,False,386 bins with n<10
