segment,factors,factor1,factor2,factor3,n_bins,n_bets,mean_roi,std_roi,clb,pass
KEIBAJO_SURFACE_04_芝_未勝利,shiba_tekisei_code+kishu_kitai_tansho_decile+ninki_shisu_decile,shiba_tekisei_code,kishu_kitai_tansho_decile,ninki_shisu_decile,3,382,70.77,13.76,55.2,False
KEIBAJO_SURFACE_04_芝_未勝利,kyori_kubun+shiba_tekisei_code+joho_shisu_decile,kyori_kubun,shiba_tekisei_code,joho_shisu_decile,3,558,62.64,6.75,55.0,False
KEIBAJO_SURFACE_04_芝_未勝利,kyori_kubun+rotation_bin+shiba_tekisei_code,kyori_kubun,rotation_bin,shiba_tekisei_code,5,705,66.78,13.65,54.81,False
KEIBAJO_SURFACE_04_芝_未勝利,rotation_bin+shiba_tekisei_code+omo_tekisei_code,rotation_bin,shiba_tekisei_code,omo_tekisei_code,4,775,68.17,14.13,54.33,False
KEIBAJO_SURFACE_04_芝_未勝利,tenkai_kigo_code+ls_shisu_juni+omo_tekisei_code,tenkai_kigo_code,ls_shisu_juni,omo_tekisei_code,3,381,66.87,11.6,53.74,False
KEIBAJO_SURFACE_04_芝_未勝利,shiba_tekisei_code+hizume_code+omo_tekisei_code,shiba_tekisei_code,hizume_code,omo_tekisei_code,5,735,64.06,11.81,53.71,False
KEIBAJO_SURFACE_04_芝_未勝利,shiba_tekisei_code+kyori_tekisei+joho_shisu_decile,shiba_tekisei_code,kyori_tekisei,joho_shisu_decile,3,580,59.89,6.06,53.03,False
KEIBAJO_SURFACE_04_芝_未勝利,tenkai_kigo_code+shiba_tekisei_code+hizume_code,tenkai_kigo_code,shiba_tekisei_code,hizume_code,3,475,69.33,14.84,52.53,False
KEIBAJO_SURFACE_04_芝_未勝利,tenkai_kigo_code+hizume_code+omo_tekisei_code,tenkai_kigo_code,hizume_code,omo_tekisei_code,3,383,60.74,7.5,52.25,False
KEIBAJO_SURFACE_04_芝_未勝利,kyori_tekisei+omo_tekisei_code+joho_shisu_decile,kyori_tekisei,omo_tekisei_code,joho_shisu_decile,3,444,69.4,15.5,51.86,False
KEIBAJO_SURFACE_04_芝_未勝利,shiba_tekisei_code+uma_deokure_bin+joho_shisu_decile,shiba_tekisei_code,uma_deokure_bin,joho_shisu_decile,4,536,64.06,14.12,50.23,False
KEIBAJO_SURFACE_04_芝_未勝利,tenkai_kigo_code+rotation_bin+kyori_tekisei,tenkai_kigo_code,rotation_bin,kyori_tekisei,3,338,62.08,10.64,50.04,False
KEIBAJO_SURFACE_04_芝_未勝利,tenkai_kigo_code+rotation_bin+kyakushitsu,tenkai_kigo_code,rotation_bin,kyakushitsu,4,486,63.66,15.03,48.93,False
KEIBAJO_SURFACE_04_芝_未勝利,tenkai_kigo_code+shiba_tekisei_code+ninki_shisu_decile,tenkai_kigo_code,shiba_tekisei_code,ninki_shisu_decile,4,433,61.66,13.27,48.66,False
KEIBAJO_SURFACE_04_芝_未勝利,tenkai_kigo_code+shiba_tekisei_code+bataiju_zogen,tenkai_kigo_code,shiba_tekisei_code,bataiju_zogen,3,331,63.63,13.78,48.03,False
KEIBAJO_SURFACE_04_芝_未勝利,shiba_tekisei_code+kyusha_shisu_decile+joho_shisu_decile,shiba_tekisei_code,kyusha_shisu_decile,joho_shisu_decile,3,377,63.51,16.77,44.53,False
KEIBAJO_SURFACE_04_芝_未勝利,kyori_kubun+shiba_tekisei_code+hizume_code,kyori_kubun,shiba_tekisei_code,hizume_code,3,350,54.97,9.25,44.51,False
KEIBAJO_SURFACE_04_芝_未勝利,shiba_tekisei_code+joho_shisu_decile+kishu_kitai_tansho_decile,shiba_tekisei_code,joho_shisu_decile,kishu_kitai_tansho_decile,3,414,66.87,19.98,44.26,False
KEIBAJO_SURFACE_04_芝_未勝利,kyori_kubun+kyori_tekisei+joho_shisu_decile,kyori_kubun,kyori_tekisei,joho_shisu_decile,3,514,60.35,14.51,43.93,False
KEIBAJO_SURFACE_04_芝_未勝利,kishu_kitai_rentai_decile+joho_shisu_decile+kishu_kitai_tansho_decile,kishu_kitai_rentai_decile,joho_shisu_decile,kishu_kitai_tansho_decile,4,472,68.05,24.72,43.83,False
KEIBAJO_SURFACE_04_芝_未勝利,rotation_bin+omo_tekisei_code+joho_shisu_decile,rotation_bin,omo_tekisei_code,joho_shisu_decile,3,339,68.74,26.92,38.28,False
KEIBAJO_SURFACE_04_芝_未勝利,tenkai_kigo_code+joho_shisu_decile+ninki_shisu_decile,tenkai_kigo_code,joho_shisu_decile,ninki_shisu_decile,3,333,63.69,22.86,37.82,False
KEIBAJO_SURFACE_04_芝_未勝利,shiba_tekisei_code+joho_shisu_decile+ninki_shisu_decile,shiba_tekisei_code,joho_shisu_decile,ninki_shisu_decile,5,613,63.83,30.74,36.89,False
KEIBAJO_SURFACE_04_芝_未勝利,shiba_tekisei_code+kishu_kitai_rentai_decile+joho_shisu_decile,shiba_tekisei_code,kishu_kitai_rentai_decile,joho_shisu_decile,3,382,65.47,29.63,31.94,False
