segment,factors,base_3combo,n_valid_bins,n_valid_bets,mean_corrected_roi,std_bin_roi,clb,pass,skip
KEIBAJO_SURFACE_08_ダ,agari_shisu_juni+goal_juni+prev1_kyakushitsu+shirushi_code_1,agari_shisu_juni+goal_juni+prev1_kyakushitsu,3,396,94.34,4.1,89.7,True,False
KEIBAJO_SURFACE_07_ダ,goal_juni+kijun_ninkijun_tansho+pace_yoso+prev1_bataiju_bin,goal_juni+kijun_ninkijun_tansho+prev1_bataiju_bin,3,408,91.68,1.75,89.7,True,False
KEIBAJO_SURFACE_07_ダ,kijun_ninkijun_fukusho+prev1_bataiju_bin+shirushi_code_2+yoso_juni,kijun_ninkijun_fukusho+prev1_bataiju_bin+yoso_juni,3,387,94.66,4.41,89.67,True,False
KEIBAJO_SURFACE_07_ダ,kijun_ninkijun_tansho+kijun_odds_fukusho+shirushi_code_6+yoso_juni,kijun_ninkijun_tansho+kijun_odds_fukusho+yoso_juni,3,517,92.25,2.36,89.59,True,False
KEIBAJO_SURFACE_07_ダ,goal_juni+kijun_ninkijun_tansho+shirushi_code_3+yoso_juni,goal_juni+kijun_ninkijun_tansho+yoso_juni,3,599,91.13,1.42,89.53,True,False
KEIBAJO_SURFACE_02_芝,bac_juryo_shubetsu_code+goal_juni+goal_sa+pace_yoso,goal_juni+goal_sa+pace_yoso,3,480,97.01,6.64,89.49,True,False
KEIBAJO_SURFACE_07_ダ,goal_juni+kijun_ninkijun_fukusho+prev1_bataiju_bin+shirushi_code_4,goal_juni+kijun_ninkijun_fukusho+prev1_bataiju_bin,5,795,91.05,1.8,89.48,True,False
KEIBAJO_SURFACE_07_ダ,goal_juni+kijun_ninkijun_tansho+pace_yoso+yoso_juni,goal_juni+kijun_ninkijun_tansho+yoso_juni,4,704,91.7,2.39,89.36,True,False
KEIBAJO_SURFACE_07_ダ,kijun_ninkijun_fukusho+kijun_odds_fukusho+pace_yoso+yoso_juni,kijun_ninkijun_fukusho+kijun_odds_fukusho+yoso_juni,3,437,90.6,1.1,89.36,True,False
KEIBAJO_SURFACE_08_芝,goal_juni+goal_sa+manken_shirushi+moshoku_code,goal_juni+goal_sa+manken_shirushi,3,389,93.77,3.96,89.29,True,False
KEIBAJO_SURFACE_07_ダ,goal_juni+kijun_ninkijun_tansho+prev1_bataiju_bin+shirushi_code_4,goal_juni+kijun_ninkijun_tansho+prev1_bataiju_bin,6,911,90.63,1.7,89.27,True,False
KEIBAJO_SURFACE_07_ダ,bac_shubetsu+goal_juni+pace_yoso+yoso_juni,bac_shubetsu+goal_juni+yoso_juni,6,744,91.92,3.34,89.25,True,False
KEIBAJO_SURFACE_08_芝,goal_juni+goal_sa+moshoku_code+yoso_juni,goal_sa+moshoku_code+yoso_juni,3,533,91.09,1.71,89.16,True,False
KEIBAJO_SURFACE_08_芝,goal_juni+goal_sa+omo_tekisei_code+prev2_chakujun,goal_sa+omo_tekisei_code+prev2_chakujun,3,450,89.84,0.62,89.14,True,False
KEIBAJO_SURFACE_07_ダ,goal_juni+kijun_ninkijun_tansho+shirushi_code_6+yoso_juni,goal_juni+kijun_ninkijun_tansho+yoso_juni,3,624,91.87,2.43,89.11,True,False
KEIBAJO_SURFACE_08_芝,goal_juni+goal_sa+omo_tekisei_code+yoso_juni,goal_juni+omo_tekisei_code+yoso_juni,5,749,91.67,2.96,89.08,True,False
KEIBAJO_SURFACE_07_ダ,goal_juni+kijun_ninkijun_fukusho+shirushi_code_6+yoso_juni,goal_juni+kijun_ninkijun_fukusho+yoso_juni,3,628,91.79,2.44,89.03,True,False
KEIBAJO_SURFACE_07_ダ,kijun_ninkijun_fukusho+prev1_bataiju_bin+shirushi_code_3+yoso_juni,kijun_ninkijun_fukusho+prev1_bataiju_bin+yoso_juni,3,444,93.14,3.66,88.99,True,False
KEIBAJO_SURFACE_07_ダ,goal_juni+kijun_ninkijun_fukusho+kijun_ninkijun_tansho+prev1_bataiju_bin,goal_juni+kijun_ninkijun_tansho+prev1_bataiju_bin,7,1057,90.7,2.41,88.91,True,False
KEIBAJO_SURFACE_07_ダ,goal_juni+kijun_odds_fukusho+shirushi_code_1+shirushi_code_6,goal_juni+kijun_odds_fukusho+shirushi_code_1,3,534,91.26,2.27,88.69,True,False
KEIBAJO_SURFACE_10_芝,agari_shisu_juni+goal_juni+goal_sa+kyori,agari_shisu_juni+goal_sa+kyori,3,407,89.12,0.43,88.64,True,False
KEIBAJO_SURFACE_07_ダ,kijun_ninkijun_tansho+prev1_bataiju_bin+shirushi_code_2+yoso_juni,kijun_ninkijun_tansho+prev1_bataiju_bin+yoso_juni,3,391,94.11,4.84,88.64,True,False
KEIBAJO_SURFACE_07_ダ,kijun_ninkijun_tansho+kijun_odds_fukusho+pace_yoso+yoso_juni,kijun_ninkijun_tansho+kijun_odds_fukusho+yoso_juni,3,438,90.21,1.4,88.62,True,False
KEIBAJO_SURFACE_08_芝,goal_sa+shirushi_code_3+shirushi_code_5+shirushi_code_6,goal_sa+shirushi_code_5+shirushi_code_6,3,675,91.35,2.42,88.61,True,False
KEIBAJO_SURFACE_05_芝,joa_odds_shisu+kijun_odds_tansho+shirushi_code_1+shirushi_code_4,joa_odds_shisu+kijun_odds_tansho+shirushi_code_1,7,791,93.92,7.2,88.58,True,False
KEIBAJO_SURFACE_07_ダ,kijun_ninkijun_tansho+prev1_bataiju_bin+shirushi_code_3+yoso_juni,kijun_ninkijun_tansho+prev1_bataiju_bin+yoso_juni,3,446,92.62,3.62,88.52,True,False
KEIBAJO_SURFACE_08_芝,goal_juni+goal_sa+kyi_kyusha_rank+shirushi_code_6,goal_juni+goal_sa+kyi_kyusha_rank,5,728,91.62,3.55,88.51,True,False
KEIBAJO_SURFACE_08_芝,goal_juni+goal_sa+hobokusaki_rank+prev2_chakujun,goal_sa+hobokusaki_rank+prev2_chakujun,3,482,89.75,1.24,88.35,True,False
KEIBAJO_SURFACE_08_ダ,goal_juni+goal_sa+joa_ls_shisu+shirushi_code_2,goal_juni+goal_sa+shirushi_code_2,3,543,93.9,4.93,88.33,True,False
KEIBAJO_SURFACE_08_芝,gekiso_juni+goal_juni+goal_sa+shirushi_code_2,gekiso_juni+goal_juni+goal_sa,3,515,88.74,0.38,88.32,True,False
KEIBAJO_SURFACE_07_ダ,goal_juni+kyori+kyori_tekisei+yoso_juni,goal_juni+kyori_tekisei+yoso_juni,6,766,91.1,3.51,88.29,True,False
KEIBAJO_SURFACE_07_ダ,goal_juni+ichi_shisu_juni+kijun_ninkijun_fukusho+shirushi_code_1,goal_juni+ichi_shisu_juni+kijun_ninkijun_fukusho,3,476,92.65,3.89,88.26,True,False
KEIBAJO_SURFACE_07_ダ,goal_juni+kijun_odds_fukusho+shirushi_code_2+shirushi_code_4,kijun_odds_fukusho+shirushi_code_2+shirushi_code_4,3,533,89.76,1.33,88.26,True,False
KEIBAJO_SURFACE_08_ダ,goal_juni+goal_sa+kyori_tekisei+shirushi_code_1,goal_juni+goal_sa+kyori_tekisei,6,1439,90.86,3.36,88.17,True,False
KEIBAJO_SURFACE_07_ダ,goal_juni+kijun_ninkijun_fukusho+kijun_odds_fukusho+shirushi_code_4,goal_juni+kijun_ninkijun_fukusho+kijun_odds_fukusho,4,785,91.28,3.19,88.15,True,False
KEIBAJO_SURFACE_10_芝,agari_shisu_juni+manken_shirushi+shutoku_shokin_ruikei+tenkai_kigo_code,agari_shisu_juni+manken_shirushi+shutoku_shokin_ruikei,3,367,95.87,6.82,88.15,True,False
KEIBAJO_SURFACE_10_芝,agari_shisu_juni+joken_class_code+manken_shirushi+tenkai_kigo_code,agari_shisu_juni+joken_class_code+manken_shirushi,3,367,95.87,6.82,88.15,True,False
KEIBAJO_SURFACE_07_ダ,dochu_juni+goal_juni+kijun_ninkijun_tansho+shirushi_code_1,dochu_juni+goal_juni+kijun_ninkijun_tansho,3,444,91.04,2.64,88.05,True,False
KEIBAJO_SURFACE_08_芝,goal_sa+hobokusaki_rank+kyi_kyusha_rank+prev1_kyakushitsu,goal_sa+kyi_kyusha_rank+prev1_kyakushitsu,3,395,89.82,1.56,88.05,True,False
KEIBAJO_SURFACE_07_ダ,goal_juni+kijun_odds_fukusho+shirushi_code_1+shirushi_code_4,goal_juni+kijun_odds_fukusho+shirushi_code_1,3,620,90.29,1.99,88.03,True,False
KEIBAJO_SURFACE_07_ダ,bac_shubetsu+goal_juni+kijun_ninkijun_fukusho+prev1_corner4_bin,bac_shubetsu+goal_juni+kijun_ninkijun_fukusho,3,478,89.49,1.3,88.01,True,False
KEIBAJO_SURFACE_07_ダ,dochu_juni+goal_juni+kijun_ninkijun_fukusho+shirushi_code_1,dochu_juni+goal_juni+kijun_ninkijun_fukusho,3,441,91.2,2.83,88.0,True,False
KEIBAJO_SURFACE_07_ダ,goal_juni+ichi_shisu_juni+kijun_ninkijun_tansho+shirushi_code_1,goal_juni+ichi_shisu_juni+kijun_ninkijun_tansho,3,482,92.62,4.08,88.0,True,False
KEIBAJO_SURFACE_07_ダ,goal_juni+kijun_ninkijun_fukusho+shirushi_code_4+yoso_juni,goal_juni+kijun_ninkijun_fukusho+yoso_juni,4,914,89.83,1.94,87.93,True,False
KEIBAJO_SURFACE_08_芝,gekiso_juni+goal_juni+goal_sa+moshoku_code,gekiso_juni+goal_sa+moshoku_code,3,516,89.67,1.57,87.9,True,False
KEIBAJO_SURFACE_08_ダ,goal_juni+goal_sa+kyori_tekisei+taikei_tomo,goal_sa+kyori_tekisei+taikei_tomo,4,473,94.91,7.17,87.88,True,False
KEIBAJO_SURFACE_06_ダ,goal_sa+manken_shirushi+pace_yoso+prev1_keibajo,goal_sa+manken_shirushi+prev1_keibajo,4,491,93.47,5.7,87.88,True,False
