segment,factors,base_3combo,combo_clb,oot_clb,oot_n_bins,oot_n_bets,oot_roi_2023,oot_roi_2024,oot_roi_2025,oot_min_yearly_roi,f1_pass,f1_reason,has_shirushi,best_shirushi_clb,optimal_odds_t,optimal_rank_t,f2_pass,f2_reason,n_subsets_evaluated,max_subset_clb,cross_gain,f3_pass,f3_reason,all_pass
KEIBAJO_SURFACE_05_芝,joa_odds_shisu+kijun_odds_tansho+kishu_shisu+shirushi_code_4,joa_odds_shisu+kijun_odds_tansho+kishu_shisu,89.89,88.73,10,6903,80.39,77.77,79.17,77.77,True,pass,True,74.54,10.0,3.0,False,shirushi_clb_low,0,,,False,skipped_f2_fail,False
KEIBAJO_SURFACE_06_ダ,goal_sa+pace_yoso+shirushi_code_2+wakuban,goal_sa+shirushi_code_2+wakuban,89.84,84.52,7,8946,79.94,81.56,79.93,79.93,True,pass,True,70.08,5.0,3.0,False,shirushi_clb_low,0,,,False,skipped_f2_fail,False
KEIBAJO_SURFACE_07_ダ,goal_juni+kijun_ninkijun_fukusho+pace_yoso+yoso_juni,goal_juni+kijun_ninkijun_fukusho+yoso_juni,89.77,89.5,3,6282,75.75,73.86,74.71,73.86,True,pass,False,,,,True,no_shirushi_auto_pass,14,86.4,3.37,True,pass,True
KEIBAJO_SURFACE_07_ダ,goal_juni+kijun_ninkijun_tansho+kijun_odds_fukusho+shirushi_code_1,goal_juni+kijun_ninkijun_tansho+kijun_odds_fukusho,89.7,89.92,3,6282,77.75,79.24,78.8,77.75,True,pass,True,,,,False,no_valid_grid,0,,,False,skipped_f2_fail,False
KEIBAJO_SURFACE_08_ダ,agari_shisu_juni+goal_juni+prev1_kyakushitsu+shirushi_code_1,agari_shisu_juni+goal_juni+prev1_kyakushitsu,89.7,61.03,4,7800,78.22,79.19,77.99,77.99,False,oot_clb_low,True,,,,False,skipped_f1_fail,0,,,False,skipped_f1_fail,False
KEIBAJO_SURFACE_07_ダ,goal_juni+kijun_ninkijun_tansho+pace_yoso+prev1_bataiju_bin,goal_juni+kijun_ninkijun_tansho+prev1_bataiju_bin,89.7,88.78,3,6282,76.18,73.84,75.3,73.84,True,pass,False,,,,True,no_shirushi_auto_pass,14,88.77,0.93,True,pass,True
KEIBAJO_SURFACE_07_ダ,kijun_ninkijun_fukusho+prev1_bataiju_bin+shirushi_code_2+yoso_juni,kijun_ninkijun_fukusho+prev1_bataiju_bin+yoso_juni,89.67,87.28,3,6282,79.32,80.03,80.2,79.32,True,pass,True,,,,False,no_valid_grid,0,,,False,skipped_f2_fail,False
KEIBAJO_SURFACE_07_ダ,kijun_ninkijun_tansho+kijun_odds_fukusho+shirushi_code_6+yoso_juni,kijun_ninkijun_tansho+kijun_odds_fukusho+yoso_juni,89.59,92.02,3,6282,79.87,78.9,77.64,77.64,True,pass,True,,,,False,no_valid_grid,0,,,False,skipped_f2_fail,False
KEIBAJO_SURFACE_07_ダ,goal_juni+kijun_ninkijun_tansho+shirushi_code_3+yoso_juni,goal_juni+kijun_ninkijun_tansho+yoso_juni,89.53,88.83,4,6282,78.56,79.73,79.13,78.56,True,pass,True,,,,False,no_valid_grid,0,,,False,skipped_f2_fail,False
KEIBAJO_SURFACE_02_芝,bac_juryo_shubetsu_code+goal_juni+goal_sa+pace_yoso,goal_juni+goal_sa+pace_yoso,89.49,79.69,4,2257,74.39,73.3,75.26,73.3,True,pass,False,,,,True,no_shirushi_auto_pass,14,91.93,-2.44,False,no_cross_gain,False
KEIBAJO_SURFACE_07_ダ,goal_juni+kijun_ninkijun_fukusho+prev1_bataiju_bin+shirushi_code_4,goal_juni+kijun_ninkijun_fukusho+prev1_bataiju_bin,89.48,88.2,5,6282,80.9,77.59,79.33,77.59,True,pass,True,69.27,8.0,3.0,False,shirushi_clb_low,0,,,False,skipped_f2_fail,False
KEIBAJO_SURFACE_07_ダ,goal_juni+kijun_ninkijun_tansho+pace_yoso+yoso_juni,goal_juni+kijun_ninkijun_tansho+yoso_juni,89.36,89.5,3,6282,75.75,73.86,74.71,73.86,True,pass,False,,,,True,no_shirushi_auto_pass,14,86.2,3.16,True,pass,True
KEIBAJO_SURFACE_07_ダ,kijun_ninkijun_fukusho+kijun_odds_fukusho+pace_yoso+yoso_juni,kijun_ninkijun_fukusho+kijun_odds_fukusho+yoso_juni,89.36,80.76,3,6282,75.75,73.86,74.71,73.86,True,pass,False,,,,True,no_shirushi_auto_pass,14,82.95,6.41,True,pass,True
KEIBAJO_SURFACE_08_芝,goal_juni+goal_sa+manken_shirushi+moshoku_code,goal_juni+goal_sa+manken_shirushi,89.29,85.1,4,6414,74.97,77.61,76.86,74.97,True,pass,False,,,,True,no_shirushi_auto_pass,14,82.9,6.39,True,pass,True
KEIBAJO_SURFACE_07_ダ,goal_juni+kijun_ninkijun_tansho+prev1_bataiju_bin+shirushi_code_4,goal_juni+kijun_ninkijun_tansho+prev1_bataiju_bin,89.27,88.2,5,6282,80.9,77.59,79.33,77.59,True,pass,True,69.43,8.0,3.0,False,shirushi_clb_low,0,,,False,skipped_f2_fail,False
KEIBAJO_SURFACE_07_ダ,bac_shubetsu+goal_juni+pace_yoso+yoso_juni,bac_shubetsu+goal_juni+yoso_juni,89.25,88.38,6,6282,75.75,73.86,74.71,73.86,True,pass,False,,,,True,no_shirushi_auto_pass,14,83.93,5.32,True,pass,True
KEIBAJO_SURFACE_08_芝,goal_juni+goal_sa+moshoku_code+yoso_juni,goal_sa+moshoku_code+yoso_juni,89.16,84.56,4,6414,74.86,74.51,74.31,74.31,True,pass,False,,,,True,no_shirushi_auto_pass,14,89.97,-0.81,False,no_cross_gain,False
KEIBAJO_SURFACE_08_芝,goal_juni+goal_sa+omo_tekisei_code+prev2_chakujun,goal_sa+omo_tekisei_code+prev2_chakujun,89.14,84.59,5,6414,74.32,75.43,75.9,74.32,True,pass,False,,,,True,no_shirushi_auto_pass,14,84.47,4.67,True,pass,True
KEIBAJO_SURFACE_07_ダ,goal_juni+kijun_ninkijun_tansho+shirushi_code_6+yoso_juni,goal_juni+kijun_ninkijun_tansho+yoso_juni,89.11,85.83,4,6282,79.87,78.9,77.64,77.64,True,pass,True,,,,False,no_valid_grid,0,,,False,skipped_f2_fail,False
