segment,factors,n_valid_bins,n_valid_bets,mean_corrected_roi,std_bin_roi,clb,pass,skip
KEIBAJO_SURFACE_07_ダ,dochu_juni+goal_juni+kyori_tekisei,4.0,514.0,90.71,2.67,88.1,True,False
KEIBAJO_SURFACE_06_ダ,goal_sa+prev1_keibajo+yy_int,10.0,1221.0,91.49,5.49,88.08,True,False
KEIBAJO_SURFACE_07_ダ,goal_juni+kohan_3f_juni+kyori_tekisei,5.0,660.0,91.79,4.27,88.04,True,False
KEIBAJO_SURFACE_08_ダ,manken_shirushi+shirushi_code_4+shirushi_code_5,3.0,391.0,92.76,4.17,88.04,True,False
KEIBAJO_SURFACE_01_ダ,kijun_ninkijun_fukusho+shirushi_code_6+taikei_dou,3.0,467.0,89.93,1.7,88.01,True,False
KEIBAJO_SURFACE_08_芝,gekiso_juni+prev1_chakujun+shirushi_code_6,3.0,491.0,90.74,2.41,88.01,True,False
KEIBAJO_SURFACE_02_芝,joa_ls_shisu+kijun_ninkijun_tansho+shirushi_code_1,3.0,480.0,90.46,2.18,87.99,True,False
KEIBAJO_SURFACE_08_芝,goal_sa+prev1_kyakushitsu+shirushi_code_2,5.0,859.0,90.19,2.53,87.97,True,False
KEIBAJO_SURFACE_08_ダ,goal_sa+manken_shirushi+shirushi_code_5,3.0,371.0,92.22,3.78,87.94,True,False
KEIBAJO_SURFACE_07_ダ,goal_juni+shirushi_code_4+yy_int,3.0,389.0,90.2,2.01,87.93,True,False
KEIBAJO_SURFACE_05_ダ,manken_shirushi+shirushi_code_3+shirushi_code_5,11.0,1580.0,92.9,8.44,87.91,True,False
KEIBAJO_SURFACE_06_ダ,goal_sa+manken_shirushi+prev1_keibajo,5.0,794.0,94.03,6.99,87.9,True,False
KEIBAJO_SURFACE_01_ダ,kijun_ninkijun_fukusho+shirushi_code_3+yuso_kubun,3.0,456.0,93.44,4.93,87.87,True,False
KEIBAJO_SURFACE_06_ダ,goal_sa+manken_shirushi+shirushi_code_2,6.0,1138.0,94.21,7.94,87.85,True,False
KEIBAJO_SURFACE_06_芝,shirushi_code_2+shirushi_code_5+yoso_juni,3.0,505.0,91.42,3.15,87.85,True,False
KEIBAJO_SURFACE_08_ダ,goal_juni+manken_shirushi+omo_tekisei_code,5.0,577.0,91.75,4.46,87.84,True,False
KEIBAJO_SURFACE_01_ダ,barei+kijun_ninkijun_fukusho+shirushi_code_2,4.0,553.0,92.47,4.74,87.82,True,False
KEIBAJO_SURFACE_07_ダ,kijun_odds_fukusho+ls_shisu_juni+shirushi_code_2,3.0,450.0,90.36,2.24,87.82,True,False
KEIBAJO_SURFACE_08_芝,goal_sa+hobokusaki_rank+prev2_chakujun,4.0,664.0,89.6,1.82,87.81,True,False
KEIBAJO_SURFACE_07_ダ,kijun_ninkijun_fukusho+manken_shirushi+yoso_juni,3.0,336.0,90.83,2.69,87.79,True,False
KEIBAJO_SURFACE_07_ダ,hizume_code+shirushi_code_1+yy_int,3.0,319.0,89.94,1.92,87.77,True,False
KEIBAJO_SURFACE_01_芝,kijun_odds_fukusho+shirushi_code_4+shirushi_code_6,4.0,485.0,91.73,4.06,87.76,True,False
KEIBAJO_SURFACE_08_芝,dochu_sa+omo_tekisei_code+wakuban,4.0,430.0,91.42,3.75,87.75,True,False
KEIBAJO_SURFACE_08_芝,kishu_shisu+shirushi_code_1+shirushi_code_6,3.0,488.0,88.98,1.09,87.75,True,False
KEIBAJO_SURFACE_01_ダ,babajotai_code_dirt+goal_juni+kyi_kyusha_rank,3.0,338.0,91.09,2.96,87.74,True,False
KEIBAJO_SURFACE_01_ダ,babajotai_heavy+goal_juni+kyi_kyusha_rank,3.0,338.0,91.09,2.96,87.74,True,False
KEIBAJO_SURFACE_07_ダ,kijun_odds_fukusho+shirushi_code_2+shirushi_code_5,3.0,451.0,89.09,1.19,87.73,True,False
KEIBAJO_SURFACE_06_芝,goal_sa+shirushi_code_5+yoso_juni,3.0,520.0,89.8,1.84,87.71,True,False
KEIBAJO_SURFACE_08_芝,goal_sa+shirushi_code_3+shutoku_shokin_ruikei,4.0,804.0,92.45,4.86,87.69,True,False
KEIBAJO_SURFACE_08_芝,goal_juni+shirushi_code_2+yoso_juni,4.0,654.0,92.51,4.94,87.67,True,False
KEIBAJO_SURFACE_06_ダ,goal_sa+shirushi_code_2+wakuban,8.0,1530.0,93.67,8.67,87.66,True,False
KEIBAJO_SURFACE_08_芝,goal_sa+prev1_kyakushitsu+yoso_juni,4.0,580.0,90.57,2.99,87.64,True,False
KEIBAJO_SURFACE_08_芝,goal_sa+shirushi_code_4+shutoku_shokin_ruikei,4.0,820.0,89.24,1.65,87.62,True,False
KEIBAJO_SURFACE_08_芝,pace_shisu_juni+ten_shisu_juni+yoso_juni,3.0,359.0,90.5,2.62,87.53,True,False
KEIBAJO_SURFACE_07_ダ,goal_juni+kijun_ninkijun_fukusho+yy_int,3.0,397.0,89.85,2.05,87.53,True,False
KEIBAJO_SURFACE_08_芝,goal_sa+prev1_kyakushitsu+shirushi_code_3,4.0,750.0,88.24,0.73,87.52,True,False
KEIBAJO_SURFACE_08_芝,kyori+shirushi_code_4+yoso_juni,3.0,390.0,94.17,5.88,87.52,True,False
KEIBAJO_SURFACE_06_ダ,goal_sa+prev1_kyakushitsu+prev3_chakujun,7.0,989.0,89.63,2.85,87.51,True,False
KEIBAJO_SURFACE_01_ダ,prev1_kyakushitsu+shirushi_code_1+shirushi_code_2,8.0,1099.0,91.94,6.44,87.48,True,False
KEIBAJO_SURFACE_01_ダ,kijun_ninkijun_tansho+shirushi_code_1+shirushi_code_2,3.0,572.0,94.0,5.78,87.46,True,False
KEIBAJO_SURFACE_02_ダ,joa_ls_shisu+shirushi_code_3+shirushi_code_5,3.0,353.0,91.46,3.55,87.45,True,False
KEIBAJO_SURFACE_06_芝,kijun_ninkijun_fukusho+shirushi_code_2+wakuban,6.0,750.0,89.49,2.57,87.43,True,False
KEIBAJO_SURFACE_06_芝,goal_sa+moshoku_code+shirushi_code_2,6.0,1192.0,90.06,3.31,87.42,True,False
KEIBAJO_SURFACE_08_芝,kyori+prev1_chakujun+shirushi_code_1,3.0,389.0,88.79,1.21,87.42,True,False
KEIBAJO_SURFACE_07_ダ,goal_juni+shirushi_code_4+ten_shisu_juni,3.0,490.0,90.83,3.03,87.4,True,False
KEIBAJO_SURFACE_06_ダ,manken_shirushi+shirushi_code_2+uma_deokure_ritsu,3.0,356.0,95.68,7.32,87.39,True,False
KEIBAJO_SURFACE_08_芝,gekiso_juni+goal_juni+shirushi_code_2,4.0,622.0,90.16,2.86,87.37,True,False
KEIBAJO_SURFACE_08_ダ,goal_sa+kyori_tekisei+shirushi_code_1,6.0,1563.0,89.67,2.89,87.35,True,False
KEIBAJO_SURFACE_01_ダ,babajotai_heavy+kijun_ninkijun_tansho+shirushi_code_2,3.0,427.0,90.99,3.23,87.34,True,False
KEIBAJO_SURFACE_01_ダ,babajotai_code_dirt+kijun_ninkijun_tansho+shirushi_code_2,3.0,427.0,90.99,3.23,87.34,True,False
