segment,factors,combo_clb,oot_clb,oot_n_bins,oot_n_bets,oot_roi_2023,oot_roi_2024,oot_roi_2025,oot_min_yearly_roi,f1_pass,f1_reason,has_shirushi,best_shirushi_clb,optimal_odds_t,optimal_rank_t,f2_pass,f2_reason,max_subset_clb,cross_gain,f3_pass,f3_reason,all_pass
KEIBAJO_SURFACE_07_ダ,dochu_juni+goal_juni+kijun_ninkijun_tansho,86.48,77.7,3,6282,75.75,73.86,74.71,73.86,True,pass,False,,,,True,no_shirushi_auto_pass,70.65,15.83,True,pass,True
KEIBAJO_SURFACE_07_ダ,goal_juni+kijun_ninkijun_fukusho+yoso_juni,86.4,88.69,6,6282,75.75,73.86,74.71,73.86,True,pass,False,,,,True,no_shirushi_auto_pass,67.55,18.85,True,pass,True
KEIBAJO_SURFACE_08_ダ,agari_shisu_juni+kyori_tekisei+manken_shirushi,86.27,82.46,10,7800,72.74,75.69,79.08,72.74,True,pass,False,,,,True,no_shirushi_auto_pass,72.89,13.38,True,pass,True
KEIBAJO_SURFACE_08_ダ,goal_sa+kyori_tekisei+manken_shirushi,86.27,87.86,9,7800,72.74,75.69,79.08,72.74,True,pass,False,,,,True,no_shirushi_auto_pass,76.07,10.2,True,pass,True
KEIBAJO_SURFACE_07_ダ,goal_juni+kijun_ninkijun_fukusho+ten_shisu_juni,86.25,78.07,3,6282,75.75,73.86,74.71,73.86,True,pass,False,,,,True,no_shirushi_auto_pass,70.34,15.91,True,pass,True
KEIBAJO_SURFACE_07_ダ,goal_juni+kijun_ninkijun_tansho+ten_shisu_juni,86.22,78.07,3,6282,75.75,73.86,74.71,73.86,True,pass,False,,,,True,no_shirushi_auto_pass,70.34,15.88,True,pass,True
KEIBAJO_SURFACE_07_ダ,goal_juni+kijun_ninkijun_tansho+yoso_juni,86.2,88.69,6,6282,75.75,73.86,74.71,73.86,True,pass,False,,,,True,no_shirushi_auto_pass,67.55,18.65,True,pass,True
KEIBAJO_SURFACE_08_芝,goal_sa+prev1_kyakushitsu+prev2_chakujun,86.19,84.81,4,6414,74.32,75.26,75.9,74.32,True,pass,False,,,,True,no_shirushi_auto_pass,73.7,12.49,True,pass,True
KEIBAJO_SURFACE_06_ダ,goal_sa+manken_shirushi+prev1_kyakushitsu,86.18,76.87,10,8946,75.03,78.16,76.61,75.03,True,pass,False,,,,True,no_shirushi_auto_pass,74.31,11.87,True,pass,True
KEIBAJO_SURFACE_08_芝,bac_jouken+goal_sa+shirushi_code_5,86.12,83.84,8,6414,80.65,75.17,76.78,75.17,True,pass,True,90.22,8.0,5.0,True,pass,73.1,13.02,True,pass,True
KEIBAJO_SURFACE_06_芝,goal_sa+manken_shirushi+prev1_kyakushitsu,86.11,82.43,6,6647,74.53,77.6,75.48,74.53,True,pass,False,,,,True,no_shirushi_auto_pass,73.48,12.63,True,pass,True
KEIBAJO_SURFACE_08_芝,gekiso_juni+goal_sa+moshoku_code,86.07,86.21,6,6414,74.86,74.51,74.31,74.31,True,pass,False,,,,True,no_shirushi_auto_pass,74.11,11.96,True,pass,True
